,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,Description,T.8Nve.Sp.OT1#3,T.8Nve.Sp.OT1#4,T.8Nve.Sp.OT1#5,T.8Eff.Sp.OT1.d5.VSVOva#1,T.8Eff.Sp.OT1.d5.VSVOva#2,T.8Eff.Sp.OT1.d5.VSVOva#4,T.8Eff.Sp.OT1.d6.VSVOva#1,T.8Eff.Sp.OT1.d6.VSVOva#3,T.8Eff.Sp.OT1.d6.VSVOva#4,T.8Eff.Sp.OT1.d8.VSVOva#2,T.8Eff.Sp.OT1.d8.VSVOva#3,T.8Eff.Sp.OT1.d8.VSVOva#4,T.8Eff.Sp.OT1.d15.VSVOva#3,T.8Eff.Sp.OT1.d15.VSVOva#4,T.8Mem.Sp.OT1.d45.VSVOva#1,T.8Mem.Sp.OT1.d45.VSVOva#2,T.8Mem.Sp.OT1.d45.VSVOva#3,T.8Mem.Sp.OT1.d106.VSVOva#2,T.8Mem.Sp.OT1.d106.VSVOva#3,T.8Eff.Sp.OT1.12hr.LisOva#1,T.8Eff.Sp.OT1.24hr.LisOva#1,T.8Eff.Sp.OT1.24hr.LisOva#2,T.8Eff.Sp.OT1.48hr.LisOva#1,T.8Eff.Sp.OT1.d6.LisOva#1,T.8Eff.Sp.OT1.d6.LisOva#2,T.8Eff.Sp.OT1.d6.LisOva#3,T.8Eff.Sp.OT1.d8.LisOva#1,T.8Eff.Sp.OT1.d8.LisOva#2,T.8Eff.Sp.OT1.d8.LisOva#3,T.8Eff.Sp.OT1.d10.LisOva#1,T.8Eff.Sp.OT1.d10.LisOva#2,T.8Eff.Sp.OT1.d10.LisOva#3,T.8Eff.Sp.OT1.d15.LisOva#1,T.8Eff.Sp.OT1.d15.LisOva#2,T.8Eff.Sp.OT1.d15.LisOva#3,T.8Mem.Sp.OT1.d45.LisOva#1,T.8Mem.Sp.OT1.d45.LisOva#3,T.8Mem.Sp.OT1.d100.LisOva#1,T.8Mem.Sp.OT1.d100.LisOva#3,T.8Mem.Sp.OT1.d100.LisOva#4,T.8Eff.Sp.tet.d8.LisOva#1,T.8Eff.Sp.tet.d8.LisOva#2,T.8Eff.Sp.tet.d45.LisOva#1,T.8Eff.Sp.tet.d45.LisOva#2
,10404389,Irf4,43.8133,63.5105,65.4505,220.9621,199.3664,254.5044,95.8336,105.0363,157.1023,106.7664,112.987,107.2844,71.6756,107.7491,55.9491,75.7966,74.2885,57.0123,42.5801,2261.7949,1794.9247,1767.5025,899.4894,208.2901,176.5676,167.0614,89.0243,109.8964,104.9355,71.6053,75.2611,93.6828,54.5775,78.7694,77.9992,61.3632,58.949,40.8306,42.2764,56.6436,112.8541,125.6809,73.8709,46.2803
,10404422,Serpinb6b,160.139,219.3908,134.6752,1223.5035,1329.2899,1205.9619,396.1701,576.8896,645.1639,301.9272,347.0531,360.0535,125.293,208.3052,186.6019,160.2316,177.6176,165.3472,167.3197,2107.9529,2039.5643,2012.402,1115.3763,1334.4756,1079.0816,1042.9829,591.9594,521.8653,315.1716,549.6503,412.7908,363.6221,211.5959,214.0399,248.848,225.8207,357.9189,203.3989,223.1743,258.3668,869.0338,1139.3366,425.55,451.2086
,10404429,Serpinb9,100.8747,124.9918,114.0839,603.3777,686.2653,503.3387,142.8061,199.4285,309.74,134.0391,170.5648,157.3858,78.1743,142.3943,121.3736,121.5675,124.4631,93.9335,125.6958,1994.4204,1562.196,1552.0347,730.7949,807.36,568.7028,537.7796,271.4399,275.6437,97.2693,332.2392,232.2894,144.7842,232.098,157.2982,157.4499,168.9302,375.9969,200.9405,235.8166,212.9826,376.4834,396.8789,329.0188,198.4181
,10420302,Gzmc,18.0587,17.0717,17.9686,20.7914,26.0404,19.3422,19.6819,20.3687,22.3819,18.5904,19.8493,14.3623,17.3351,14.2872,13.9883,22.0711,17.0429,23.0997,18.6057,149.6646,71.5503,100.2607,20.4861,32.5566,18.0242,24.7291,24.5709,17.0421,23.5737,15.675,21.6947,24.2447,23.1103,17.3656,16.7966,16.2509,19.1104,26.6382,21.7752,20.8348,17.0078,19.4069,15.3315,27.6096
,10420308,Gzmb,49.068,82.4515,71.4759,3312.6574,4629.0619,3559.2124,1603.3074,2167.0207,2818.3279,657.9402,1335.4684,920.8965,593.6142,497.5739,249.6145,210.2664,286.0311,212.3935,149.9354,10380.4979,6936.369,6056.538,3622.3543,7063.1901,6139.6979,4804.2289,3545.3252,3579.182,2935.829,2579.3099,2518.9235,1960.1424,2107.9028,2096.7101,1526.6118,1561.8759,2226.7851,948.1273,957.2057,1252.6898,4942.0603,5633.0538,1930.9363,1325.799
,10427035,Nr4a1,279.3682,406.0136,521.6693,213.7359,235.0997,220.3148,109.7731,107.0306,155.5654,121.1715,130.6212,138.1279,93.6616,146.7257,97.0573,103.9203,135.2394,115.0177,112.16,2458.2799,2051.0944,1761.8869,362.7233,259.1268,230.5685,203.1213,150.1644,195.9927,143.8304,187.0747,165.7547,157.9861,161.9671,138.4279,117.9324,277.5419,89.4823,90.2312,114.0215,122.8735,190.6606,159.1489,137.8159,114.1866
,10439651,Cd200,38.4658,43.676,45.5337,68.8791,59.6447,70.2423,51.9809,51.8347,64.611,48.1454,48.0526,47.443,47.9283,43.0209,28.0795,42.4301,32.6368,39.6496,26.2343,304.6867,274.3073,236.4872,60.3821,26.0478,44.1456,42.1762,40.1514,48.3881,24.8036,30.9127,42.348,36.3719,23.2012,53.953,35.3241,54.5137,30.3846,27.6961,34.0467,43.0145,34.3078,32.8726,29.5952,32.1577
,10469278,Il2ra,36.3034,36.5922,30.14,60.964,115.262,68.925,39.9354,71.2834,52.1036,38.5336,58.2262,46.45,73.2865,49.8779,86.5261,86.3343,69.7964,94.1333,87.499,1816.1538,1240.2661,1180.8814,780.7335,346.0659,159.993,197.5192,106.3633,85.2141,57.5248,111.5962,95.7507,67.5711,110.1904,106.2964,110.0645,195.4871,233.7865,239.0656,179.5794,187.9195,67.7541,76.7039,174.4827,140.9523
,10497878,Il2,19.6454,18.8205,27.9109,18.0468,20.9425,17.4834,28.4785,25.3711,25.649,27.9915,27.3484,23.8504,19.233,29.0803,27.5221,34.3077,22.0277,22.1515,23.6106,1657.0055,659.2471,561.3427,35.386,18.8123,18.5677,18.2814,24.3627,19.8146,32.7214,21.9179,24.8091,22.0951,30.7358,21.3381,18.2773,19.5858,19.447,19.1459,19.7978,19.09,19.8653,26.6047,26.1588,29.1987
,10497886,Il21,14.4887,13.695,12.0181,12.9278,14.0363,11.8019,21.4989,13.2995,12.3157,13.8869,13.5812,14.8825,18.2814,15.1992,11.6033,14.7115,12.6287,12.604,17.2778,246.8553,34.5609,25.8961,19.571,15.0182,14.187,13.0906,16.6973,16.2169,14.5051,12.6367,13.6455,13.4047,18.5075,16.7657,18.5512,18.5106,13.9058,15.2904,13.9912,15.309,14.7872,12.6969,12.757,14.7414
,10504838,Nr4a3,98.8483,142.3554,116.4341,75.6562,75.3999,66.375,71.5767,73.3337,60.1013,68.9326,77.5721,72.3793,89.3331,85.6895,98.1563,101.2821,94.6016,103.9681,60.6276,1359.9474,968.6747,819.5294,107.0531,66.6249,67.6288,69.939,70.1953,60.4045,59.7694,69.1465,63.0019,89.2862,88.0116,86.4444,97.8638,129.5649,107.2274,98.996,91.4358,100.8708,79.3599,66.4189,77.3557,78.6313
,10510580,Tnfrsf9,122.7278,175.1483,195.3465,285.8015,236.7536,227.1003,97.2505,94.1809,95.0511,108.0415,80.2432,116.548,119.055,93.0845,95.4543,90.273,90.5536,103.9982,87.9352,1727.5821,1559.7793,1807.8996,425.521,249.201,155.6055,158.3364,90.446,106.2481,67.8012,88.7501,92.1035,106.6899,124.5661,121.7075,89.267,87.8687,86.0003,113.1379,100.1462,90.0373,113.7658,116.3877,88.269,68.2086
,10516064,Mfsd2,73.5463,49.2441,38.7436,87.7165,135.8271,118.923,80.6123,72.3725,73.5803,74.3874,78.2862,73.0214,120.8023,95.9973,79.164,51.1137,62.1041,68.4981,85.4497,588.9548,547.736,448.9264,355.8775,97.0986,67.1055,86.5932,73.3495,77.348,53.4548,59.258,79.5323,51.3516,70.7653,76.6097,78.6528,101.1001,43.9953,67.7587,58.2748,65.5242,73.4993,69.5055,58.7828,60.8118
,10531415,Cxcl10,65.7216,311.4972,66.0638,62.9852,84.6266,73.5987,61.9684,53.8338,56.1579,54.3631,75.5575,75.8744,59.361,64.4913,67.0068,84.0182,63.0627,57.3497,49.5276,1605.5431,1310.0956,1425.0559,205.4788,62.9569,56.7279,66.7896,47.0405,46.6186,60.9007,46.879,51.3311,59.4149,44.7718,73.9671,56.4188,58.9459,57.9189,56.8603,61.941,72.0486,48.3534,52.7382,51.3532,69.7859
,10545588,Hk2,63.7779,85.2388,71.5462,197.0318,226.8793,184.6693,139.6985,98.5995,130.8623,116.9941,95.9036,108.2346,85.0753,110.0547,94.9963,74.9087,63.9888,71.4707,93.9094,1289.3958,1060.5474,1003.6515,834.772,219.0068,155.7507,152.937,144.1865,88.508,109.9075,112.4857,108.8039,112.5921,124.6541,97.7565,96.6307,87.8722,69.3833,100.7007,84.1813,78.6291,83.0247,113.2308,71.4016,90.3722
,10558580,Utf1,38.2789,48.707,42.0852,46.9263,51.3201,46.0646,60.16,43.6843,45.1108,35.6109,63.0821,52.8339,89.6445,47.4017,40.8306,49.6372,34.7503,42.4748,56.8848,259.9597,294.0743,449.1473,98.7552,30.428,47.6019,37.3139,34.4239,46.0967,60.382,41.5376,44.1296,47.31,44.3056,68.9439,46.5709,67.5246,38.2909,41.7904,40.3097,41.0334,54.0189,43.5579,43.6732,52.5153
,10576034,Irf8,98.6397,105.6138,110.9529,175.9611,199.9548,151.6926,181.7035,143.7488,166.335,146.4146,158.8159,138.3362,129.4945,132.2382,123.1274,114.3317,140.2522,128.7441,149.4205,1164.1255,1028.9914,1077.658,347.9096,210.0854,171.2803,134.7846,101.2381,118.4959,98.3728,131.7693,123.279,129.9062,122.4156,177.0886,147.8187,131.3877,119.6548,105.102,109.7529,151.1425,159.3084,136.6674,115.5502,115.2611
,10582545,Mela,10.8873,14.5484,13.4711,16.9496,33.0671,13.7861,29.8366,15.3235,25.9345,17.0623,48.7597,23.3836,65.4066,17.8881,21.7072,18.256,15.2859,21.5825,15.8814,1896.5003,2248.6566,2559.6818,2678.9769,31.0605,18.327,15.9909,16.8651,21.0929,17.1891,17.2361,13.2051,17.9943,16.6277,23.9984,14.0141,20.8652,15.3582,17.2749,19.6537,13.6716,19.9375,20.7964,18.2004,18.7528
,10585778,Sema7a,63.2774,105.104,71.0121,246.353,281.3974,278.5959,130.5914,184.551,160.4096,131.7116,143.0867,125.0938,110.8711,95.3485,76.0507,78.7766,79.8848,68.7633,98.7385,1603.5257,996.1745,1010.964,417.2558,168.25,158.9241,160.6832,108.212,107.5428,100.4643,103.2026,102.7841,83.0104,67.8512,94.6655,79.2547,96.9601,84.2164,66.7981,76.9333,70.341,130.575,107.9082,66.9595,86.827
II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10345698,Rpl31,3772.838,3021.9479,2779.631,1623.7271,1709.0279,1174.313,744.7022,694.1484,933.8193,505.6267,569.5538,490.9198,493.3688,776.0974,1168.5781,873.5689,1263.5646,1022.5944,667.8887,4213.9583,4508.6959,4702.5586,4472.2978,1763.7152,1264.3291,1481.5741,759.023,793.3004,640.2831,1214.7685,680.9435,617.5999,887.6776,570.7161,745.9738,707.9972,2203.9124,1230.7579,1186.1529,1419.9481,1580.9839,1795.9621,1600.6007,1503.0791
,10346074,Wdr75,388.4146,424.6174,399.2891,272.8757,276.9155,324.6134,108.8209,142.1082,177.7273,152.3217,156.0093,193.4148,145.5869,270.4943,277.1712,262.628,301.0293,316.2026,309.8235,1175.8643,990.4894,970.0011,806.5321,255.364,201.7064,297.1514,183.2495,157.4643,228.7021,214.1782,193.3116,214.434,222.3973,185.9387,260.6863,239.0229,305.0799,326.8422,282.1558,277.6504,148.4315,184.9102,338.2171,271.0594
,10346303,Hspe1,1103.7452,1142.3487,1143.0527,655.8424,829.5988,590.0857,263.5209,315.9743,396.6229,446.3975,376.5558,355.7385,339.6364,465.3739,814.0098,601.5012,627.6816,679.6021,595.021,2569.6826,2595.761,3112.6808,2968.1885,719.7348,519.6047,601.8146,495.5866,456.6538,325.1303,693.8465,444.4965,433.8146,502.9934,298.4669,481.3273,422.0861,1118.1654,647.5283,892.2374,1160.4645,580.3707,635.2561,1127.9395,1074.8947
,10346840,Gm11599,214.1481,148.5487,176.4181,162.0525,140.0051,122.4938,102.6621,82.5359,101.5096,71.431,98.7573,73.9231,94.9043,95.9795,117.5656,122.724,117.6958,139.4159,106.9652,282.752,274.2606,286.3878,310.8328,132.6708,113.3211,108.5462,75.3156,94.3134,67.5641,86.7979,92.9685,65.7265,104.0792,58.8389,75.0504,94.2869,154.84,151.7579,152.6232,140.6422,98.1873,126.9758,144.9392,88.3994
,10346914,Fastkd2,166.5763,189.5272,201.3869,126.2509,119.3949,145.4626,33.8831,45.3297,71.3469,54.0897,50.2689,60.4033,60.6086,87.1119,110.5621,82.6709,81.7779,100.1277,102.8656,266.178,343.9034,316.8502,334.4085,130.3436,93.7246,106.0004,64.7034,75.0645,59.3464,63.8697,60.8555,82.5269,81.4659,74.3877,117.7201,101.0584,118.4106,130.9794,130.6012,151.8249,58.817,81.6727,100.724,89.0827
,10349239,Mki67ip,718.8304,832.9502,700.1813,513.6356,518.7433,500.8385,233.0911,196.1573,285.416,175.5166,197.856,240.0787,164.5859,312.1025,406.4484,281.3676,385.1828,419.5472,386.1776,1585.1635,1542.4563,1552.2245,1367.3725,440.3256,365.8753,431.5328,239.5706,277.9526,177.3272,285.1772,308.6108,222.5238,252.1991,247.5105,293.5468,352.6824,542.3844,425.0383,437.4019,551.3421,296.5668,398.0118,471.4816,396.4143
,10349832,Gm7246,358.1947,357.6923,291.1811,142.5213,136.9944,161.9323,91.8152,107.5282,125.6464,43.3001,88.1298,91.2416,87.4119,117.8917,128.734,124.3328,107.1085,108.9715,91.8542,291.9764,372.0762,790.4841,595.8354,195.6373,145.4575,147.6189,116.0146,98.6466,59.6229,112.7276,111.4407,87.0566,82.6931,92.1848,88.341,113.5328,246.2286,130.6134,133.5671,208.7346,216.4512,210.9609,174.0281,206.3424
,10350816,Rpl35,2088.6467,1802.1282,1704.9714,1214.1383,1223.7033,946.8728,634.5073,589.7164,730.0712,473.8879,548.3612,477.18,429.0352,565.6338,1028.3536,866.5545,1173.295,782.498,682.2267,2838.8526,3065.0899,3424.4448,3162.3503,1358.0905,1042.3185,1023.4552,653.3655,652.0655,591.9637,1085.2759,610.021,587.8291,649.8576,448.3463,689.7026,543.2991,1518.7145,885.007,1376.3521,1807.8351,1505.2487,1495.784,1734.7905,1733.0506
,10351037,Gas5,2985.6374,2523.8354,2156.3236,2088.9491,2628.7666,1118.725,386.7526,463.3991,1224.2179,886.4602,761.1247,1166.9161,200.7087,1221.8588,1943.8417,971.3665,799.41,2144.82,1369.0122,4821.9697,4369.0341,3775.9069,4751.2402,1061.5013,1560.9697,1377.8258,378.9788,1136.7698,388.8172,1249.8378,1019.3697,463.4929,646.5292,334.3479,863.7631,955.2197,3672.9581,2369.5662,1358.1399,1193.7641,598.7354,806.5774,1174.4947,883.4411
,10353034,Snord87,245.9108,177.8206,143.3104,78.2881,67.573,96.8516,30.0024,42.6542,45.4363,43.6339,44.9355,51.729,36.1936,92.0137,87.8931,82.8327,88.2361,112.9356,80.8426,328.4753,315.2257,406.223,374.517,80.484,37.7806,122.4235,59.1054,82.2742,50.6809,72.4114,72.83,71.0274,67.5322,47.3327,101.7735,81.0092,318.6471,151.3087,56.5107,84.2197,47.4475,40.6821,73.2859,76.1936
,10354470,Rpl15,2819.2987,2547.8075,2488.5107,1613.8343,1660.5406,1253.8985,794.7186,745.3177,990.0364,723.9931,759.0817,708.1601,503.6186,913.6688,1159.2792,947.2616,1107.463,1032.5421,895.589,3731.9627,3592.4584,4517.1742,4514.5711,1585.3217,1259.2786,1315.4064,811.5807,899.5923,736.8361,1005.4191,775.0551,673.0524,691.6681,601.6424,905.4898,834.4161,2009.9346,1125.0554,1671.2908,1720.8904,1479.4162,1719.7441,1549.0326,1139.372
,10355931,Farsb,835.7283,905.8269,868.3292,663.8976,660.2598,571.7009,207.1779,299.2165,347.5159,300.2169,248.5198,306.1947,235.8922,422.8706,411.9673,419.9418,426.9936,431.8758,479.8599,1299.333,1355.4949,1361.706,1369.376,489.9935,427.2824,455.8959,249.4478,321.2934,224.0486,332.7769,344.7756,318.5397,356.8563,245.5638,371.5643,314.9081,572.9342,528.8392,555.7407,574.6046,385.1194,457.0147,529.6407,487.5532
,10356333,Snord82,892.2215,630.5661,507.9117,550.6235,601.4459,504.0146,130.9482,149.7282,319.1318,338.6435,262.6981,535.6863,56.702,360.3149,948.7141,422.5132,310.9495,924.0296,362.245,1556.788,1268.1904,1337.5012,1087.9213,336.2447,542.7466,575.9721,136.6544,449.9547,51.0199,492.7085,400.9421,101.9397,130.6861,114.1199,366.3705,359.7176,1687.3894,803.5993,287.2453,317.4637,238.9117,205.2493,328.8314,276.9551
,10357478,Rpl31,3801.025,3075.8676,2839.1791,1557.1369,1645.8477,1146.6292,712.7682,683.2457,902.9053,504.4089,570.9056,482.8917,479.6731,714.8992,1120.4354,855.6535,1158.353,962.5648,651.9336,4218.5626,4578.4682,4907.8412,4617.8087,1730.5755,1251.4276,1442.8792,756.167,781.256,598.9159,1146.6792,675.8505,600.7339,838.7035,537.0784,702.9333,691.3545,2224.8017,1142.5427,1220.9085,1428.3804,1668.7925,1810.8611,1684.3214,1603.7399
,10358709,Cox7b,571.3771,469.1487,453.7279,487.0458,542.0081,331.7941,159.4948,182.5347,201.124,159.4287,166.1807,152.226,111.8988,132.3751,242.8013,212.2328,273.0666,190.7453,137.8761,1093.8214,1050.08,1223.0467,1262.4709,490.4731,365.5067,383.2862,212.5647,211.0806,146.0005,379.5642,167.3329,166.2006,230.2132,105.0257,141.7098,131.7829,619.3612,202.0211,323.3924,357.7176,633.8173,626.412,451.3715,424.0771
,10361007,Smyd2,197.9682,180.3188,262.3314,141.276,145.0687,150.8797,84.9944,52.6632,89.8805,73.3429,62.1872,77.3584,130.4158,85.9611,132.9838,112.9499,152.9202,130.9767,180.6347,516.7207,520.0157,612.7154,495.0235,108.3329,93.6443,88.0667,85.3287,70.1393,82.6726,52.9642,77.9069,72.076,57.3118,61.8043,95.7162,118.0525,118.4747,151.9393,173.6703,200.9103,86.7837,56.9027,115.8756,87.3385
,10362674,Rnu3a,610.6399,296.3973,249.2134,144.4701,191.5132,181.0673,84.3343,70.7919,142.6804,68.1174,69.7087,116.8892,38.8412,108.3863,203.9719,115.3047,87.777,286.2504,152.7835,538.3384,422.8183,567.1179,405.9259,98.936,185.6266,219.8513,41.9365,122.8549,152.4484,89.2554,118.8659,70.5071,54.3127,63.8197,173.6151,81.5569,1007.2272,185.9404,104.9938,134.3084,151.5855,175.887,119.8441,147.6594
,10363735,Egr2,154.0112,219.0221,191.3076,88.9743,85.0361,94.15,97.6254,121.0444,85.551,111.7203,99.2002,104.044,126.926,107.9024,84.7825,106.2694,69.6286,84.8922,75.9422,405.4579,466.421,387.0659,162.4511,64.5072,79.5833,74.4501,78.3078,62.6079,68.2273,73.2066,91.8137,90.2791,89.8782,96.2493,93.9073,113.7648,77.5896,93.8135,89.8887,88.2042,99.2831,81.1373,75.6635,86.0344
,10364051,Snrpd3,907.1056,793.3282,890.3573,709.3764,901.831,559.4579,271.7918,285.7669,368.5786,270.4353,327.1924,260.6983,164.4965,355.3406,436.2625,393.7535,396.0942,370.3779,346.9464,1684.4161,1457.8431,1582.7552,1793.2715,624.0372,560.1059,670.4658,314.1498,422.1732,186.1125,488.1872,380.8724,275.9044,363.4626,294.9321,354.0126,400.234,754.2235,602.7207,482.2984,507.3694,545.6908,582.0243,533.6262,470.338
,10364239,Slc19a1,264.1706,306.6529,296.8681,196.108,207.4906,200.7566,156.419,155.8414,158.0907,205.4033,154.7567,198.7698,198.4305,207.4414,198.1859,211.0399,177.3318,209.4691,179.4263,948.143,823.0403,725.861,802.1149,149.6859,139.9021,148.2864,127.942,136.783,131.7326,146.3992,126.0848,138.5724,141.9866,154.6614,198.8614,179.6735,212.3077,197.8897,246.9879,205.5063,140.9153,152.8242,159.1007,137.2659
,10364696,Atp5d,1508.2267,1388.2481,1528.9922,972.5687,1032.0425,811.0777,567.0227,556.9083,724.4039,447.1435,537.5845,452.9829,299.0734,470.1288,530.2397,532.3941,599.5493,465.1734,448.3484,2412.7546,2757.9606,2445.3513,2553.5858,1261.5415,850.216,758.523,651.561,567.1704,423.9698,691.7042,515.9039,372.1439,526.5895,340.5179,431.5148,443.156,1379.7444,585.9239,1225.7589,1272.5411,1451.9467,1707.5215,1125.9579,824.752
,10365450,Pwp1,348.5102,422.5012,390.4158,311.6313,316.6672,303.0744,99.7514,149.3076,181.6644,155.1043,154.3486,190.756,77.5838,219.9551,225.0902,184.4825,240.6679,243.6231,158.3787,845.8877,871.2731,1018.7607,933.4428,322.4843,274.038,222.2857,193.3816,206.3209,156.935,224.2897,223.7054,209.4798,195.6524,169.6617,195.5382,199.187,288.0704,261.4561,254.1957,292.3394,200.2253,216.1608,234.4198,140.8319
