gs_name,gene_symbol
CD8-cytotoxic,Ncr1
CD8-cytotoxic,Klrg1
CD8-cytotoxic,Ctsw
CD8-cytotoxic,Cd244A
CD8-cytotoxic,Cmc1
CD8-cytotoxic,Cst7
CD8-cytotoxic,Cx3Cr1
CD8-cytotoxic,Fcrl6
CD8-cytotoxic,Tmcc3
CD8-cytotoxic,Tyrobp
CD8-cytotoxic,Tprg
CD8-cytotoxic,1500009L16Rik
CD8-cytotoxic,Plcg2
CD8-cytotoxic,Plek
CD8-cytotoxic,Rcan2
CD8-cytotoxic,Dkk3
CD8-cytotoxic,Adrb2
CD8-cytotoxic,Nkg7
CD8-cytotoxic,Ppp2R2B
CD8-cytotoxic,Syngr1
CD8-cytotoxic,Dapk2
CD8-cytotoxic,F2R
CD8-cytotoxic,Kir3Dl1
CD8-cytotoxic,B3Gat1
CD8-cytotoxic,Cd8B1
CD8-cytotoxic,Ttc16
CD8-cytotoxic,Galnt3
CD8-cytotoxic,Pdgfd
CD8-cytotoxic,Abcb1A
CD8-cytotoxic,Mxra7
CD8-cytotoxic,Ctbp2
CD8-cytotoxic,Cd8A
CD8-cytotoxic,Zeb2
CD8-cytotoxic,Sytl2
CD8-cytotoxic,Chn2
CD8-cytotoxic,Fgr
CD8-cytotoxic,Tgfbr3
CD8-cytotoxic,Setbp1
CD8-cytotoxic,Colgalt2
CD8-cytotoxic,Fkbp1B
CD8-cytotoxic,Adgrg1
CD8-cytokine,Ccl3
CD8-cytokine,Ifng
CD8-cytokine,Ccl4
CD8-cytokine,Gzme
CD8-cytokine,Xcl1
CD8-cytokine,Xcl1
CD8-cytokine,Csf2
CD8-cytokine,Ccr1
CD8-cytokine,Il10
CD8-cytokine,Hopx
CD8-cytokine,Fasl
CD8-cytokine,Batf3
CD8-cytokine,Timd4
CD8-cytokine,Fez1
CD8-cytokine,Havcr2
CD8-cytokine,Zbtb32
CD8-cytokine,Slc27A2
CD8-cytokine,Lag3
CD8-cytokine,Prf1
CD8-cytokine,Il18Rap
CD8-cytokine,Gzma
CD8-cytokine,Ptms
CD8-cytokine,Phlda1
CD8-cytokine,Ncs1
CD8-cytokine,Iqcg
CD8-cytokine,Jakmip1
CD8-cytokine,Klrc1
CD8-cytokine,Crtam
CD8-cytokine,Ccr5
CD8-cytokine,Egr2
CD8-cytokine,Tnfrsf9
CD8-cytokine,Tnf
CD8-cytokine,Slc4A10
CD8-cytokine,Adam19
CD8-cytokine,Msc
CD8-cytokine,Metrnl
CD8-cytokine,Slamf7
CD8-cytokine,Nkg7
CD8-cytokine,Cxcr6
CD8-cytokine,Cd70
CD8-cytokine,Atp8B4
CD8-cytokine,Sdc4
CD8-cytokine,Elovl6
CD8-cytokine,Adap1
CD8-cytokine,Rdh10
CD8-cytokine,Lta
CD8-cytokine,Mical2
CD8-cytokine,Tnip3
CD8-cytokine,Ccl20
CD8-cytokine,Ulbp1
CD8-cytokine,Cebpd
CD8-cytokine,Rcan2
CD8-cytokine,Zeb2
CD8-cytokine,Cd226
CD8-cytokine,Sema4A
CD8-cytokine,Slamf1
CD8-cytokine,Sema7A
CD8-cytokine,Fam3C
CD8-cytokine,Il9
CD8-cytokine,Spag1
CD8-cytokine,Prdm1
CD8-cytokine,Klrd1
CD8-cytokine,St8Sia4
CD8-cytokine,Ier3
CD8-cytokine,Plek
