gene_name,WT2-Day5-EEC,WT2-Day5-SLEC,KO2-Day5-EEC,KO2-Day5-SLEC,WT3-Day5-EEC,WT3-Day5-SLEC,KO3-Day5-EEC,KO3-Day5-SLEC,WT2-Day8-EEC,WT2-Day8-SLEC,WT2-Day8-MPEC,KO2-Day8-EEC,KO2-Day8-SLEC,KO2-Day8-MPEC,WT3-Day8-EEC,WT3-Day8-SLEC,WT3-Day8-MPEC,KO3-Day8-EEC,KO3-Day8-SLEC,KO3-Day8-MPEC
1110017D15Rik,0,0,0,0.682375,0.140741,0,0,0,0,0,0,0.115405,0.98351,0.064507,0,0.044873,0,0.3447,0,0.125237
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110032A03Rik,11.493238,4.830849,8.322338,9.121243,9.726577,2.702072,6.511594,7.446375,12.935232,10.39125,16.41728,18.943005,12.645266,14.68333,15.093207,8.821163,15.086968,18.649513,10.580904,18.533511
1110032F04Rik,0.812202,1.171007,0.889447,0.041173,0.957392,1.268332,1.048409,0.342019,0.090781,0.016304,0.053605,0.05996,0.015023,0.30509,0.029012,0,0.015015,0.080858,0.013506,0.190965
1110051M20Rik,23.775614,23.419675,19.863634,18.80425,28.186784,26.936304,22.309355,27.244231,24.469942,7.882037,21.121582,21.804401,12.389626,26.283956,19.469833,9.198959,23.023511,14.634575,13.095457,25.989761
1110057P08Rik,0,0,0,0,0,0,0,0,0.388911,0,0,0,0.130793,0,0.127213,0,0,0,0,0
1110059E24Rik,153.439659,133.109858,128.212992,69.14519,164.636928,89.68913,116.049657,71.008096,35.59197,43.471648,58.917623,53.197575,39.028641,65.793004,58.277999,50.736744,63.797661,59.290559,48.45546,64.947461
1110059G10Rik,52.643344,54.615605,53.365232,47.784833,58.207972,80.143487,59.328341,54.071964,57.440241,46.493556,58.868615,53.070582,44.820077,47.722494,55.109334,49.467234,63.295722,52.368929,45.940564,56.546819
1110065P20Rik,12.516663,10.462643,11.711933,17.764009,9.797134,8.423109,9.292908,9.373424,9.556809,16.473174,12.347321,18.877712,23.663689,17.465707,15.303988,16.939086,12.002117,21.793173,28.306694,17.401263
1190002N15Rik,7.460148,9.592375,6.398838,5.339517,9.236836,17.196875,8.151041,7.676524,3.803567,4.659153,4.758774,4.472289,2.803034,5.54556,4.868354,3.403695,5.35934,3.271612,3.062798,4.61837
1190005I06Rik,0.054952,0,0.062,0,0.37854,0.14121,0.061735,0,0.108706,0,0.05982,0.108137,0.431308,0.068736,0.127649,0.234593,0.283811,0.223758,0.248296,0.329572
1190007I07Rik,108.963932,82.733433,69.486556,54.79451,110.805074,29.003801,82.062283,49.211232,53.837203,27.789075,65.922469,60.695724,31.52458,76.334822,45.206691,27.964347,57.615924,49.915832,33.982342,72.54076
1300017J02Rik,0,0.061738,0.25434,0,0,0.20802,0.191492,0,0.197044,0.380644,0,0.034168,0.067144,0.193836,0.030391,0.34704,0,0.137,0.161222,0.159568
1500009C09Rik,0.026211,0.032513,0,0,0.03007,0.070746,0,0,0.207733,0.116586,0,0,0.053787,0,0,0,0,0,0,0
1500009L16Rik,708.030332,477.893692,108.540112,98.463569,431.496408,273.941861,76.307828,80.85,84.075777,54.705326,66.134053,19.742364,23.8503,12.514632,112.722722,58.922956,82.552308,54.132835,31.473744,34.932958
1500011B03Rik,28.505023,17.733023,20.914749,29.91288,18.369024,15.249139,21.768804,25.756662,56.00107,61.302845,65.033846,67.254135,68.997016,56.589943,52.612764,61.339688,59.535468,66.03988,70.130664,64.901631
1500011K16Rik,41.040268,30.591221,34.715198,21.994231,44.215068,39.326448,40.10896,28.467041,39.258436,24.318186,42.820191,54.654602,20.807274,86.216328,30.171609,19.713298,41.121342,37.76105,24.379367,69.93525
1500015O10Rik,0,0,0,0,0.115765,0,0,0.147442,0,0,0.089739,0.049734,0.050597,0,0,0,0,0,0,0
1520401A03Rik,0.29823,0,0,0,0,0.172989,0,0,0.341538,0.011013,0.012957,0.060845,0,0.07349,0.014023,0,0,0.018175,0.039174,0.03153
1600002K03Rik,17.312688,13.480049,18.530899,19.070474,15.377292,17.945719,18.032103,20.877978,32.870013,31.270638,35.890079,29.895443,26.048679,34.641778,29.631398,28.618534,36.441458,33.839353,25.24218,34.586518
1600012H06Rik,11.77736,10.925029,10.972781,11.279328,10.091804,12.65698,8.766646,9.784304,7.857162,12.599269,10.047056,9.823244,7.895379,10.073394,11.758835,12.011489,10.063858,10.53294,12.297075,9.085898
1600014C10Rik,2.535802,2.953032,5.464443,11.532099,2.857294,3.333128,5.210751,8.058832,13.402341,15.191525,16.998325,19.012693,20.721125,19.685226,9.659334,14.945748,11.959835,17.192146,14.594452,16.579575
1600015I10Rik,0,0,0,0,0,0,0,0.015469,0.080969,0,0,0.062379,0.031265,0,0.045287,0.027082,0,0.042077,0,0
1600029O15Rik,0.447064,0.450176,0.478811,0.239591,0.840942,1.526117,0.439056,0.680113,0.630715,0.40747,0.495413,0.308467,0.311403,0.30558,0.232751,0.407317,0.300549,0.21229,0.280769,0.345838
1700001C02Rik,0,0,0,0,0,0,0,0,0.507192,0,0,0.074729,0,0,0,0,0,0.064697,0.06842,0
1700001C19Rik,0.025741,0.031918,0.038281,0,0.080016,0,0,0,0.130505,0,0.036992,0.082618,0.044644,0.029366,0.082344,0.196761,0,0,0.074278,0.139802
1700001F09Rik,0,0,0,0,0,0,0,0,0.125146,0,0,0.11813,0.202161,0,0,0,0,0,0,0
1700001J03Rik,0.373478,0,0,0,0,0.115876,0,0.226041,0.596475,0,0,0.1774,0.400958,0.063445,0,0.052186,0,0.054751,0.106484,0.257514
1700001J11Rik,0.035068,0,0,0,0.017965,0.161983,0,0,0.076814,0,0,0,0.023583,0,0,0.054761,0,0,0.056847,0.05018
1700001K19Rik,0.046631,0.115337,0,0,0.107646,0,0.052781,0.045809,0.486863,0.101796,0,0,0.094147,0,0.347743,0,0.047346,0.042536,0.084205,0
1700001L19Rik,0,0,0,0,0,0,0,0,0,0,0,0.021836,0.021948,0,0,0,0,0,0,0
1700001O22Rik,0.416835,0.296443,0.208334,0.153519,0.110475,0.194666,0.271803,0.172592,2.660807,3.156053,2.305906,4.986348,3.940685,3.167739,3.561445,1.360865,2.435017,2.694066,3.777116,2.472308
1700001P01Rik,0.08499,0.104553,0,0,0,0,0,0.318165,0,0.179355,0,0,0.083279,0,0,0.07185,0,0,0,0
1700003E16Rik,0,0,0,0,0.022338,0,0,0,0.152364,0,0,0.019534,0,0,0,0.033068,0,0.035229,0,0
1700003F12Rik,0,0,0,0,0,0,0,0,0.060466,0,0,0.136946,0,0.220472,0,0,0,0,0.062586,0.110154
1700003H04Rik,0,0,0.066987,0,0,0,0,0,0.135826,0,0,0,0,0,0,0,0,0,0,0
1700003N22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0.026779,0,0.031433,0,0,0.023676,0,0,0,0,0.023846,0.021408,0,0
1700007E05Rik,0.38601,0.591035,0.418693,0.589696,0.370845,0.757533,0.763117,0.480403,0.872528,0.176598,0.122836,0.551124,0.567303,0.37606,0.183761,0.509888,0.190476,0.148078,0.64194,0.485819
1700007K13Rik,0.521396,0,0.080525,0,0.066385,0,0.12982,0,0.382391,0,0,0,0.075881,0.143972,0.147158,0.065496,0.175278,0.257464,0.067561,0
1700008O03Rik,0.051756,0.061151,0.052786,0.067029,0.021457,0,0.020842,0.0183,0.624635,0.160599,0.17886,0.090577,0.218119,0.069803,0.143324,0.147162,0.107483,0.117584,0.234617,0.130522
1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0,0.059524,0,0.127732,0,0,0,0.055127,0,0
1700009N14Rik,0,0.081764,0.035639,0,0,0,0.037814,0,0.116164,0,0,0.033333,0,0,0,0,0,0,0.030181,0
1700010B08Rik,0.211297,0,0.053866,0.266448,0.29075,0.052151,0,0.057024,0.407409,0.292178,0.199829,0.399552,0.158708,0.066633,0.147739,0,0,0.15349,0.092062,0.171332
1700010I14Rik,0,0,0.390168,0.288472,0.037711,1.108069,0.079796,0.031047,1.566202,1.563035,1.505552,1.432289,1.666788,1.339309,0.063256,1.312351,0.31033,1.311538,1.279138,1.85919
1700010N08Rik,0.093143,0.019239,0,0,0.072404,0.025956,0.053466,0,0.365275,0,0,0.031439,0.086729,0.134787,0.046188,0.034788,0,0.028575,0.098777,0.071704
1700011L22Rik,0,0,0,0,0,0,0,0,0,0.100613,0,0,0,0,0,0,0,0,0,0
1700011M02Rik,0,0,0,0,0,0.048286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0.042641,0,0,0.080942,0,0.086919,0,0,0,0,0.044237,0
1700012B07Rik,0.490401,0,0,0,0.339093,0.063423,0.110773,0.048025,0.255493,0.534111,0.087651,0.395885,0.092248,0,0.334766,0.138632,0.04972,0.144874,0.220884,0.199344
1700012B09Rik,0.079103,0.100374,0,0,0,0.049493,0,0,0.06701,0.083892,0,0.461646,0,0,0,0,0.252096,0,0.216284,0.062008
1700012P22Rik,0,0,0,0,0,0,0,0,0.039586,0,0,0,0,0.048505,0,0,0.046183,0,0,0
1700013F07Rik,0.277557,0,0,0,0.088082,0.369783,0,0,0.163629,0,0,0.123759,0,0.19923,0.061312,0,0.063857,0,0,0.0501
1700013G24Rik,0,0,0,0,0,0,0.047071,0,0.108519,0,0,0.041391,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700014D04Rik,0.059652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700015F17Rik,0.210113,0.431702,0,0,0,0,0,0,0.821704,0.074867,0.30684,0,0,0.361375,0.067279,0.059938,0,0.063043,0.061866,0.034132
1700015G11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700016C15Rik,0,0,0,0,0.143034,0,0,0,0.053747,0.067358,0,0,0,0.065494,0,0,0,0.056588,0,0
1700016D06Rik,0.250729,0.468795,0.353482,0.188502,0.367152,0.63614,0.262308,0.196764,2.532532,0.072669,0.406385,0.922296,0.816617,0.436568,0.160984,0.259721,0.26883,0.686106,0.474769,0.291661
1700016H13Rik,0,0,0,0,0,0.036961,0,0,0.049329,0.185753,0,0.028364,0,0.12159,0.083714,0,0,0,0,0.023756
1700016K19Rik,0,0,0,0,0.056359,0,0,0,0.127396,0,0.043706,0.096922,0.049275,0.051974,0,0,0,0.044548,0,0.079533
1700017B05Rik,4.813773,5.724838,2.281887,2.501973,5.054629,7.22244,2.540039,3.943403,2.936075,1.549777,2.82303,1.475016,1.965569,1.254553,3.327874,1.788964,3.545416,1.915309,2.929445,1.661469
1700017D01Rik,0.317195,0.087305,0.016701,0.032391,0.163929,0,0,0.105815,0.323943,0.030543,0.042833,0.058814,0.105554,0.038061,0,0,0,0.0656,0.04859,0.02961
1700017N19Rik,0,0,0,0,0,0.069658,0,0,0.022029,0,0.048175,0.047571,0,0,0.074015,0,0.065258,0,0,0.043562
1700018B08Rik,0,0,0,0.042197,0,0,0,0,0.533841,0,0,0,0,0,0,0,0,0.066994,0,0.152427
1700018F24Rik,0,0,0,0,0,0,0,0,0.092801,0,0,0,0,0,0,0,0,0,0.171209,0
1700018G05Rik,0,0,0,0,0,0,0,0,0.308487,0,0,0,0,0,0,0,0,0,0.156984,0
1700018M17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123715,0.121093,0.098109
1700019A02Rik,0.241778,0.099208,0.084101,0.209155,0.18207,0.453099,0.088515,0,0,0,0,0.076964,0.237701,0.165264,0,0,0.0802,0,0.211525,0
1700019D03Rik,0.112428,0.228028,0.949856,0.060394,0.128417,0.165643,0.252581,0.289763,0.243387,0.12308,0.226203,0.252903,0.367241,0.237165,0.090335,0.067417,0.140565,0.255912,0.124979,0.472729
1700019M22Rik,0,0,0,0,0,0,0,0,0,0,0,0.386728,0,0,0,0,0,0,0,0
1700019N19Rik,0,0,0,0,0,0,0,0,0.07827,0,0,0.044725,0,0.04875,0,0,0,0.041011,0,0
1700020A23Rik,0,0,0,0,0,0,0,0,0,0.117264,0,0,0,0.112746,0,0,0,0,0,0
1700020D05Rik,0.171176,0.370641,0.780077,0.077846,0.099036,0.222921,0.145803,0.21123,0.186762,0.09374,0.03847,0.128156,0.086659,0.274832,0.16769,0.187358,0.087099,0,0.077553,0.246796
1700020L24Rik,4.173751,3.269116,1.893477,2.880252,1.790382,1.965299,2.000812,2.877515,5.783739,11.586035,7.044745,4.009274,10.032103,2.399322,7.441721,10.0527,4.921768,5.452997,9.305524,2.176622
1700020N01Rik,0.081407,0.201506,0,0,0.047163,0,0,0.161171,0,0.08933,0.109991,0,0.206407,0,0.079866,0,0,0.074512,0,0
1700020N15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0.053956,0,0,0,0,0,0,0
1700021F05Rik,45.942208,50.589594,50.357709,50.085688,58.725709,33.390827,53.946427,55.380927,30.158171,60.320347,29.128186,37.766927,63.457325,39.607151,30.494172,56.542194,29.911737,34.023498,57.120568,36.09371
1700021F07Rik,0.080593,0,0,0,0,0,0,0,0.545519,0,0,0,0,0.082632,0.153693,0,0,0,0,0.122789
1700022A21Rik,0,0,0,0,0,0,0,0,0,0,0.037131,0.085024,0.028567,0,0,0,0,0,0.074855,0
1700022I11Rik,0,0.110286,0,0.077979,0.426405,0,0.246819,0.301006,0.127986,0.258517,0.221667,0.283525,0.414655,0.207305,0.418902,0.34938,0.146016,0.482927,0.247692,0.223746
1700023F06Rik,0,0,0,0,0,0,0,0,0.23704,0,0,0.075881,0.11521,0,0,0,0,0,0.070973,0
1700024B05Rik,0,0,0.12085,0,0,0,0,0,0.423887,0,0.095137,0.074537,0,0.034357,0,0,0.130098,0.046947,0.103854,0.079049
1700024J04Rik,0.044377,0.133442,0.046953,0.020377,0,0.201719,0.024969,0,0.312353,0.038455,0.039381,0.170612,0.216235,0.110576,0.127693,0.076192,0,0.063816,0.034097,0.082127
1700024P04Rik,0,0,0,0,0,0,0,0,0.426649,0,0,0,0,0,0,0,0,0.113468,0.109639,0
1700025B11Rik,0,0,0,0,0,0,0,0,0.085705,0,0,0.384062,0,0,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0,0,0,0.54633,0,0,0,0.07051,0,0,0.121754,0,0.06405,0,0.055273
1700025F22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188791,0,0,0,0.086291,0
1700025G04Rik,3.039027,6.503424,6.415574,11.311433,5.821711,7.082785,10.753033,14.484304,4.51264,13.635491,5.833105,7.156469,15.390314,6.088797,3.59189,11.399235,7.141033,5.346518,15.181244,6.432915
1700028B04Rik,0.336197,0.610146,0.588536,0.093892,0.399531,0.519709,0.386167,0.674922,2.12383,0.622564,0.976597,1.499077,1.45517,0.957473,0.624086,0.312856,0.352504,0.401541,0.810992,0.862477
1700028J19Rik,2.900934,1.308238,2.333545,2.510311,1.003255,0.664126,1.04923,1.476237,0.996696,1.024043,0.82845,0.878433,0.591616,0.618091,0.490474,1.102975,0.656423,1.806385,1.05043,1.101882
1700028K03Rik,0.020389,0.0118,0.032694,0.021904,0.008053,0.12787,0.135724,0.075164,0.389986,0.072533,0.016972,0.027605,0.233281,0.062417,0.102467,0.009308,0.03375,0.141638,0.028127,0.043931
1700029F12Rik,0,0,0.058769,0.049465,0,0.142068,0,0.053727,1.243759,0.059901,0.351629,0.40188,0.350131,0.116731,0.302997,0,0.157303,0.210163,0.105243,0.032052
1700029H14Rik,0,0,0,0,0,0,0,0,0.064828,0.037958,0,0,0,0.04247,0,0.030332,0.035177,0.176404,0.12566,0
1700029I15Rik,0.081021,0.350972,0.347642,0.319458,0,0.105786,0.138312,0.200559,1.250199,0.955843,0.328468,0,0.600252,0.814926,0.619401,0.533114,0.573609,0.259584,1.27886,0.938288
1700029J07Rik,0.400778,0.08438,0.029775,0.316086,0.358822,0.040376,0.280937,0.306759,0.378769,0.015392,0.063605,0.658536,0.042532,0.32625,0.423072,0.108215,0.125382,0.399102,0.025313,0.496305
1700029P11Rik,0,0,0.04572,0.038786,0,0,0,0,0,0,0,0.042567,0.043173,0.045642,0,0,0,0,0,0
1700030C10Rik,0,0.033932,3.127794,0.894675,0,0.018136,0,0,0.563548,0.132209,0.735752,0.250563,0.294161,1.410948,0.216895,0.072844,0.084331,0.126203,0.188687,1.278282
1700030J22Rik,0,0.033637,0.030649,0.035327,0.02929,0.058566,0.014494,0.025515,0.11832,0,0.022976,0.025714,0,0,0.049714,0.024074,0.192919,0,0.011577,0.032831
1700030K09Rik,2.08783,4.943808,3.435177,3.71982,5.108586,12.290143,5.001217,7.44675,2.452949,2.210773,1.62278,2.015614,2.151677,3.829804,2.256175,1.131757,1.72172,2.285569,1.729846,4.755546
1700031F05Rik,0.090033,0,0,0,0.035017,0.019828,0,0,0,0.033255,0,0.121711,0.122793,0.032612,0.029674,0.053135,0,0,0.092005,0
1700031M16Rik,0,0,0,0,0.062773,0.044166,0,0,0.140984,0,0,0,0,0,0,0,0,0,0.061748,0
1700034E13Rik,0,0,0,0,0,0,0,0,0.123902,0,0,0,0.14365,0,0,0,0,0,0,0
1700034I23Rik,0,0,0,0,0,0,0,0,0.200938,0,0.014829,0.099479,0,0.035523,0.048172,0.014402,0.033249,0.059685,0.014945,0.014058
1700034J05Rik,0.018975,0,0,0,0.043451,0.008275,0.014334,0,0.06591,0.02764,0,0.050863,0.025698,0.040861,0.024583,0.011029,0.063596,0,0.05725,0.04244
1700037C18Rik,1.092418,1.71546,3.316435,1.330535,1.907715,2.059535,1.324543,2.122426,4.487663,3.951844,3.736179,2.480903,3.313458,5.103011,1.777522,3.693789,4.755239,4.507401,3.611769,3.88844
1700037H04Rik,2.003963,1.828415,2.742589,5.805124,2.616573,1.934946,1.287427,3.13631,3.574374,13.272073,6.852582,7.75921,13.669749,6.996612,7.440485,12.825413,7.270772,15.333568,19.773894,7.463199
1700042G07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0.178797,0.182004,0,0,0,0,0,0.124671
1700047I17Rik2,2.98602,9.724469,3.152367,6.175726,7.152123,18.527601,5.681227,8.826696,0,0,0,0,0,0,0,0,0,0,0,4.986724
1700049E17Rik1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0,0,0.112324,0,0,0,0,0,0,0,0,0,0,0,0
1700049L16Rik,0,0,0,0,0,0,0,0,0.352519,0.110081,0,0.098627,0,0,0,0,0,0,0,0
1700056E22Rik,0.091761,0.340471,0.098175,0.249357,0.105963,0.297733,0.207863,0.652443,0.319549,0.300673,0.822494,0.091266,0.370741,0.391489,0.448449,0.080138,0.38192,0.797281,0.3277,0.938052
1700057G04Rik,0.283047,0.275296,0.755626,0.559234,0.560807,0.302545,0.471086,0.412235,2.819993,0.628006,0.581648,0.715581,0.841366,0.433278,0.877373,0.242088,0.779011,0.382013,0.481413,0.809192
1700061G19Rik,0.125267,0.069161,0.091494,0.013182,0.049239,0.056215,0.04871,0.07141,0.254534,0.125236,0.115813,0.144623,0.100965,0.138785,0.069635,0.149934,0.187392,0.159659,0.168592,0.207978
1700063K16Rik,0.209723,0,0,0.159793,0,0.119543,0,0,0.248264,0.203977,0,0,0.38415,0,0,0.165316,0,0.174638,0.338611,0.132603
1700064H15Rik,0.558046,0.225693,0.184251,1.875574,0.398964,0.107221,0.77272,1.115371,0.297739,0.183284,0.448591,0.812186,0.687852,1.051425,0.836306,0.591996,0.17628,0,0.303472,0.602899
1700065I16Rik,0,0,0,0,0,0.044334,0,0,0,0.3614,0,0,0.112206,0,0,0,0.116661,0,0,0.054593
1700066B19Rik,2.291036,2.064454,2.880582,2.308086,2.452708,1.962178,2.774653,2.029686,3.703276,2.254561,2.415513,2.793577,2.171502,2.478869,2.099711,1.734019,2.665638,2.468008,1.99618,2.699726
1700066M21Rik,5.535277,7.932558,4.612076,4.640856,5.828868,8.875649,6.023304,5.881642,1.812976,2.606037,2.476066,2.695465,1.473333,4.23483,2.015079,2.116909,2.186908,1.626972,2.019959,2.597173
1700067K01Rik,0.044739,0,0.069128,0.081178,0,0,0.03668,0,0.140841,0.306767,0.261425,0.194062,0.065317,0.069336,0.094719,0.141303,0.25747,0.117662,0.087832,0.241738
1700069L16Rik,0,0,0,0,0,0.065718,0,0,0.163175,0.075446,0,0,0,0,0,0,0,0,0,0
1700071K01Rik,0,0,0.060751,0,0,0,0,0,0.049433,0,0,0,0.11463,0,0,0,0,0,0,0.09149
1700073E17Rik,0.072718,0.08961,0.076305,0,0.089648,0.101097,0.160868,0.138193,0.067677,0,0.127116,0,0.071924,0.275085,0,0,0.145404,0.070806,0.058398,0.056275
1700074P13Rik,0,0,0,0.02411,0,0,0,0,0,0,0,0.052772,0.120408,0,0,0.052011,0,0.023902,0.023847,0
1700080E11Rik,0,0,0,0.129596,0,0.066679,0,0,0.35841,0,0,0.071465,0,0,0.071156,0,0,0,0,0
1700080O16Rik,0,0,0,0,0,0,0,0,0,0,0.06138,0,0,0,0,0,0,0,0,0
1700084J12Rik,0.019335,0,0,0,0.022744,0.012952,0,0.019741,0.048886,0.021657,0.058053,0.119463,0.07989,0,0.038641,0,0.02001,0,0.072684,0
1700084M14Rik,0,0,0,0,0,0,0,0,0.421561,0,0,0.09451,0,0,0.095168,0,0,0,0.26095,0
1700086D15Rik,0.039298,0,0,0,0.045576,0,0,0,0.172014,0,0,0,0,0,0,0,0,0,0,0.032624
1700086L19Rik,0,0,0,0,0,0,0,0,0.111118,0,0,0.116733,0,0,0,0,0,0,0,0
1700088E04Rik,1.99787,1.828597,2.054265,0.839961,3.616932,3.939765,2.145905,1.316719,2.262242,1.544542,1.250792,1.960649,2.351968,1.150001,1.757416,1.277586,1.072994,0.821348,1.255846,3.199805
1700091H14Rik,0,0,0,0,0,0,0.146393,0,0.128614,0,0,0,0,0,0,0,0,0,0,0
1700092M07Rik,0.794827,0,0,0,0.152284,0.34153,0.205705,0.169037,0,0.583293,0,0,0,0,0,0,0,0.482764,0,0
1700093K21Rik,0,0.143141,0.136174,0.115543,0,0,0.04808,0.056087,0.4577,0,0.195778,0.439957,0.295582,0.26792,0.14544,0.100535,0,0.102132,0.426208,0.508251
1700102P08Rik,0.583437,0.674119,0.501925,0.14227,0.270728,0.457903,0.265993,0.308763,0.136247,0.470271,0.350964,0.741207,0.592574,0.752835,0.267469,0.64926,0.158702,0.106915,0.318382,0.096956
1700109H08Rik,0.582845,0.467311,2.525481,0.299117,2.108242,4.759849,2.141168,2.721977,3.302667,0.456415,2.314895,0.390549,3.341481,3.573871,0.230006,0.447183,1.880748,2.131949,1.074585,2.408502
1700113H08Rik,0,0,0,0.041197,0,0.037937,0,0,0.079172,0,0,0.058084,0,0,0.044441,0,0,0,0.052942,0
1700122O11Rik,0,0,0,0,0,0,0,0,0.106938,0,0,0,0,0,0.060139,0,0,0,0.110787,0
1700123K08Rik,0,0,0,0,0,0.235508,0,0.028797,0.433997,0,0.233425,0.072037,0.074002,0.152916,0,0,0,0.105193,0.103508,0.082913
1700123L14Rik,0,0,0,0,0,0.029875,0,0,0.079613,0,0.020548,0.068808,0,0,0,0,0,0,0,0
1700125H20Rik,0,0.181125,0,0,0,0,0,0,0,0,0,0,0,0.097997,0,0,0,0,0.398893,0.05679
1700128F08Rik,0.041331,0.1861,0,0,0,0.206209,0.185318,0,4.294705,0.662939,0.058162,1.49085,1.455288,0.859271,0.760067,0.34998,0.470308,0.843146,0.726577,0.633846
1700129C05Rik,0.30518,0.318678,0,0,0,0,0,0,0.353868,0,0,0.222639,0,0.240773,0.231225,0,0,0,0.170764,0.319395
1810009A15Rik,180.780815,168.992199,182.406333,174.348885,175.713512,132.202873,164.431681,177.990813,244.518255,269.901201,269.625587,222.798745,244.941038,210.180489,212.309791,247.091378,234.222815,224.323139,242.345072,223.692627
1810009J06Rik,0.077875,0.192008,0,0,0,0,0.466772,0,0,0,0,0,0,0,0,0,0,0.047104,0,0
1810010D01Rik,0,0,0,0,0,0,0,0,1.259506,0.111406,0.045701,0.101288,0.103087,0,0.235446,0.089103,0.221826,0,0,0.041467
1810010H24Rik,0.155761,0.385648,0.343736,1.11328,0.135515,0.203734,0.355047,0.193185,0.145894,0.427989,0.150598,0.585799,0.118646,0.801695,0.420773,0.752603,0.119159,0.238845,0.303566,0.87351
1810014B01Rik,23.406472,19.864072,12.38575,14.585515,31.743609,12.209347,22.298727,26.373002,9.808494,14.043358,8.5517,10.909635,7.834818,16.122325,8.190701,8.090687,11.636533,11.717058,16.728042,21.617585
