gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cend1,1.1843426828959254,0.38946241726747977,4.838542950309566,0.08049167306504168,0.935846218679057,NA
Alyref2,116.48735806096663,-0.006879144900778391,1.051934467313618,-0.006539518491438004,0.9947822563503539,1
Vmn1r228,0.3090796063312391,0.7151826903381434,4.837027037693718,0.14785583887890372,0.882456540519462,NA
Olfr980,0,NA,NA,NA,NA,NA
Tdpoz4,0,NA,NA,NA,NA,NA
Scrt2,0.8638820382099287,2.1767252243860784,3.090113676286709,0.7044159058257623,0.4811738033880774,NA
Pwwp2b,26.950724770602886,-0.09391872775896525,0.9113341459984627,-0.10305630286251084,0.9179182855634124,1
Gtf2i,8883.822745277086,0.2711488002304631,0.3683553294813114,0.7361066300093262,0.4616658082520704,1
Armh1,1.1244690213609434,0.7114666515659162,4.8376219223719366,0.14706950294641394,0.8830771612147247,NA
Nrg2,0.2252995522603608,-0.8902973894080815,4.8061193507576405,-0.18524246370780081,0.8530388641771305,NA
Ap2a1,452.02495095087176,0.43812456171300246,0.4337454851984899,1.0100959587222185,0.3124493182358826,1
Sp7,0.3392640123067529,1.5655040122080783,4.824283061635992,0.3245050077300379,0.7455557315967755,NA
Ppih,265.8165165638469,0.5237103573961126,0.727347282741051,0.720027928642944,0.47150779999552767,1
2610008E11Rik,122.35011443665627,0.41122875134208786,0.4151758366741897,0.9904929791586129,0.3219332191225975,1
Olfr1447,0,NA,NA,NA,NA,NA
Mucl1,0,NA,NA,NA,NA,NA
Zfp941,6.299893985757671,-0.20613825383867826,0.8863038100909593,-0.23258193352178275,0.816086057587309,1
Acnat2,0,NA,NA,NA,NA,NA
Tmc2,0.5423793273348378,-0.8955903985837362,3.7836999640622526,-0.23669699159290983,0.8128918690136286,NA
Olfr384,0.04447431096389741,0.027924738315181132,4.838542950708021,0.005771311446371458,0.9953951852642585,NA
Zfp937,25.86788193310189,0.9131009887626853,0.9022445597971273,1.0120326898596088,0.3115224235357165,1
Caln1,0.6597335541218191,1.5407532253502407,2.9359058153664384,0.524796543978348,0.5997246343066681,NA
Hnrnpc,10782.727555519044,-0.31635329841143467,0.46361867297710807,-0.6823566798549875,0.49501344106248074,1
Bckdha,2054.3324940362636,-0.10922043625996786,0.2344345893762418,-0.4658887434254893,0.6412951388899903,1
Rpl36a-ps1,28.10672401772134,-2.0721942610420983,0.7617921892327192,-2.7201568752355185,0.006525095213311399,0.31330402278355196
Zfp128,51.03546034815636,0.3232647988209574,0.6338305071144746,0.5100177337512933,0.610039037873112,1
Chst8,0,NA,NA,NA,NA,NA
Olfr1369-ps1,1.4995589969739187,0.806841904071701,2.0655734955427225,0.39061398968023936,0.6960825833457887,NA
Cyp2a12,0,NA,NA,NA,NA,NA
Tas2r124,0,NA,NA,NA,NA,NA
Gm8603,0,NA,NA,NA,NA,NA
Rps16-ps2,107281.59601392006,-1.1681146603467985,0.778724548851467,-1.5000357470040453,0.133605143053937,1
Zfp868,374.6115983612036,0.40763083224928515,0.5216842481781883,0.7813746220492618,0.4345821926741646,1
Sntb1,413.97578765873334,0.0323467315463123,0.5332275717221951,0.060662151137159386,0.9516282751578256,1
Rps10-ps1,93.32658305229272,-0.5711779314562446,0.6931261018583829,-0.824060628974763,0.4099051093536215,1
Trim5,365.4386514451805,0.14322321663106627,0.3410071204347205,0.42000066288493737,0.6744849694423187,1
Sycp2,0,NA,NA,NA,NA,NA
Rnf14,1393.1218598158773,0.22919320280880612,0.7361661289739797,0.31133353435893696,0.7555470764212404,1
Kng2,0,NA,NA,NA,NA,NA
Dppa5a,0,NA,NA,NA,NA,NA
Gm10080,77.65576235422161,0.1996484356016703,1.2623748083907111,0.15815305745540365,0.874336192848867,1
Krtap19-3,0,NA,NA,NA,NA,NA
Adgrg3,153.749060802235,1.8516618887544964,0.8436406005883627,2.1948468192061057,0.028174587712669272,0.6847845866270211
Wtap,1309.106219937743,0.2391933569546687,0.24379434668758485,0.9811275782419508,0.3265298321626699,1
Irak2,327.12945572981374,-0.23287962167590182,0.7553433924547176,-0.3083096032906157,0.7578467593672156,1
Olfr171,0,NA,NA,NA,NA,NA
Samd5,2.153597775546709,-0.7504100148129526,1.8218324490813238,-0.4118984790238827,0.6804138356598957,NA
4930522H14Rik,0,NA,NA,NA,NA,NA
Rpl10l,0.29124169580172093,0.38854424909257834,4.83854295059486,0.08030191176556777,0.9359971377573048,NA
Olfr715,4.256077858076391,-0.07624212274284908,1.250688961966899,-0.0609600988425985,0.9513909864364812,1
Nlrp9b,0.3340506492859265,-2.560359906015634,4.704942934375445,-0.5441851137681243,0.5863140946125487,NA
Xcr1,187.7060354409506,2.2654036319683475,0.3954732687126369,5.728335670683371,1.0142073201214441e-8,9.431531484588184e-6
Zfp266,242.86039276356905,-0.5649519437590268,0.5792531652968173,-0.975310930704259,0.3294060500657997,1
0610040J01Rik,1.4587582553521536,-1.219765099222801,3.2371771169204377,-0.3767989996120994,0.7063229842370211,NA
Tor3a,1640.4766913472008,-0.19779396181224165,0.6340189643566947,-0.3119685260722961,0.755064443002129,1
Olfr726,0,NA,NA,NA,NA,NA
A930017M01Rik,0,NA,NA,NA,NA,NA
Dcc,0.05987527547889516,0.02792473831518046,4.838542950708021,0.005771311446371319,0.9953951852642586,NA
Tmem219,1201.7146269998564,-0.0656310232614987,0.5338089945779612,-0.12294851515828754,0.9021478674870652,1
Tnfrsf19,0,NA,NA,NA,NA,NA
H2-Q7,41787.784012825745,-0.987023057707278,0.501843646071812,-1.9667939714554814,0.049206967878197366,0.8410731630594678
Olfr1418,0.048889969706622106,0.02792473831518073,4.838542950708021,0.005771311446371375,0.9953951852642586,NA
Ces4a,0,NA,NA,NA,NA,NA
Gm5591,0,NA,NA,NA,NA,NA
Rpl21-ps3,34.206292755137326,-1.6345746289441019,1.0505165663671545,-1.555972253342666,0.1197146904403969,1
Fam78b,56.10311003925789,0.5209809085845095,0.8987137450461219,0.5796961618271153,0.562119532125205,1
Mfap2,0,NA,NA,NA,NA,NA
