gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
RMND5A,2.068157173,5.935125363,5.700682407,9.48E-08,2.43E-05,7.586219397
DVL3,-2.683700718,5.475178494,-5.674095568,1.07E-07,2.69E-05,7.472218224
CXCL2,-4.166236705,4.108639232,-5.664111997,1.12E-07,2.71E-05,7.429484444
LAT2,-3.364748037,4.574904363,-5.663536444,1.12E-07,2.71E-05,7.427022091
ATXN7,2.634158276,5.739929665,5.632619172,1.29E-07,3.04E-05,7.294950962
CD63,-2.383952632,7.855385564,-5.629559985,1.31E-07,3.04E-05,7.281904336
SNURF,1.176326664,1.843574974,5.573368836,1.69E-07,3.85E-05,7.042958578
GLRX,-2.459223167,6.408694327,-5.561926547,1.78E-07,3.98E-05,6.994464341
C1QA,-4.648532778,5.669568375,-5.519547492,2.15E-07,4.65E-05,6.815340014
GPX3,-4.223530965,3.863332163,-5.519271663,2.16E-07,4.65E-05,6.814176679
CLIC3,-2.717908499,3.55408763,-5.514179566,2.21E-07,4.68E-05,6.792706118
TREM2,-2.96005704,2.789618034,-5.502760626,2.32E-07,4.74E-05,6.744599312
ALOX5AP,-2.096513352,7.652037783,-5.502170664,2.33E-07,4.74E-05,6.742115388
CGRRF1,2.445593296,5.369362436,5.500187441,2.35E-07,4.74E-05,6.733766512
LGMN,-3.505602549,5.381169934,-5.494538769,2.41E-07,4.78E-05,6.709996312
FPR1,-3.558568302,3.849090205,-5.48797809,2.48E-07,4.84E-05,6.682405619
CAPRIN2,2.46335926,5.232018547,5.451928891,2.91E-07,5.60E-05,6.531135944
CHD2,1.254319509,7.750177724,5.443425044,3.03E-07,5.73E-05,6.495534876
SLCO3A1,-2.711110676,5.376076266,-5.425201343,3.28E-07,6.12E-05,6.419349052
PARP9,-2.811337332,5.576335075,-5.401173487,3.65E-07,6.71E-05,6.319122782
FCGR3A,-4.139913371,5.199353325,-5.396242805,3.73E-07,6.75E-05,6.298587361
FOSB,2.435161036,7.967698407,5.372551272,4.15E-07,7.39E-05,6.200067635
SERPING1,-4.087747389,3.913908849,-5.369431653,4.21E-07,7.39E-05,6.187113622
SFTPB,-5.126755064,4.119315801,-5.357683776,4.43E-07,7.67E-05,6.13837059
MGAT1,-1.962393316,7.479896518,-5.352477476,4.53E-07,7.69E-05,6.116789044
MSC,-2.836449406,3.715317603,-5.351027925,4.56E-07,7.69E-05,6.110782433
ELF2,2.613078401,5.713954843,5.346512679,4.65E-07,7.73E-05,6.092078357
VEGFA,-3.197351507,3.811588837,-5.335702261,4.88E-07,8.00E-05,6.047334471
FTL,-2.122264382,12.82273566,-5.332351582,4.95E-07,8.02E-05,6.033476895
FAR2,-2.485244098,3.283800982,-5.321938237,5.19E-07,8.28E-05,5.990442446
SERPINE1,-3.490069574,3.323529961,-5.31601533,5.32E-07,8.39E-05,5.965987316
SPARC,-3.586353909,3.23923065,-5.311146165,5.44E-07,8.46E-05,5.945894971
ATP6V0B,-1.73121832,7.507199534,-5.308521608,5.50E-07,8.46E-05,5.935069372
FUS,1.904828055,6.837321632,5.29033083,5.96E-07,9.05E-05,5.860123924
TOE1,2.712518487,5.49062077,5.268736135,6.55E-07,9.83E-05,5.771351925
ACACB,2.491079835,3.471021501,5.251551961,7.06E-07,0.000104653,5.700864824
ECI1,-2.581154838,5.233380198,-5.244661115,7.28E-07,0.000106569,5.67263804
TREM1,-3.393775147,3.240535987,-5.239122881,7.46E-07,0.000107428,5.649967945
GON4L,2.185667144,6.660161565,5.237433995,7.51E-07,0.000107428,5.643057542
CD58,-2.362099018,5.501429832,-5.234676704,7.60E-07,0.000107479,5.631778409
CXCL8,-4.215200708,4.394939623,-5.224456993,7.95E-07,0.000111102,5.590004064
ANXA2,-2.047703081,8.451497155,-5.211692593,8.40E-07,0.000114384,5.537896707
C1QC,-3.655181524,4.514211867,-5.210274808,8.46E-07,0.000114384,5.532113688
EIF4EBP1,-2.290261862,4.993299098,-5.210077238,8.46E-07,0.000114384,5.531307893
NAGLU,-2.697089126,4.916181369,-5.199788571,8.85E-07,0.000116438,5.489370632
MS4A4A,-3.557379515,3.954630748,-5.199272863,8.87E-07,0.000116438,5.487269887
TNFRSF18,-2.758799686,4.780587101,-5.198529518,8.90E-07,0.000116438,5.484242078
FCGR2A,-3.622786135,4.312217111,-5.158813324,1.06E-06,0.000136876,5.322849733
KANK3,-2.587240506,3.372380148,-5.155637331,1.07E-06,0.000137325,5.309976024
C5AR1,-3.141379592,3.640772626,-5.14065127,1.14E-06,0.000145007,5.249295949
PMAIP1,2.101889453,8.362561876,5.137189582,1.16E-06,0.00014569,5.235294525
DUSP16,2.791895428,5.252988272,5.122305955,1.24E-06,0.000152598,5.175160592
TCEB3,2.757078931,6.224194106,5.121772474,1.24E-06,0.000152598,5.173007162
OLR1,-3.590490831,3.70066594,-5.112163473,1.29E-06,0.000157474,5.134243336
C1QB,-4.457196849,5.962160723,-5.103741261,1.34E-06,0.000161688,5.100303859
NFATC2IP,-2.257401279,6.032309472,-5.082128078,1.47E-06,0.000175704,5.013365429
POLR1C,2.356103306,5.5891629,5.076638322,1.51E-06,0.000178162,4.99131925
VSTM2L,-0.989181495,1.762023339,-5.061966649,1.60E-06,0.000187717,4.932471894
BRMS1L,2.181682732,3.258476097,5.060004492,1.62E-06,0.000187717,4.924609769
MFSD1,-2.754255048,5.98274897,-5.057448872,1.64E-06,0.000188009,4.914372543
STYK1,-1.831742386,2.116390935,-5.047678489,1.71E-06,0.00019422,4.875264202
GSTO1,-1.954080998,6.488594262,-5.025103731,1.88E-06,0.000211914,4.785083112
KCNAB2,-1.673323993,6.214504492,-5.020251251,1.92E-06,0.000214377,4.765731439
U2AF1,1.599206287,3.680318264,5.009812392,2.00E-06,0.000222107,4.724140903
RGS9,-2.541873217,3.27792197,-5.004920028,2.05E-06,0.000224756,4.704667369
MAFB,-3.275221528,4.134624072,-4.991371753,2.17E-06,0.000235977,4.65080215
C3AR1,-3.155537771,4.538552265,-4.969470231,2.38E-06,0.000256687,4.563920243
THEM6,-2.563697657,4.86949663,-4.96340252,2.44E-06,0.000261003,4.539892622
SCPEP1,-2.711627814,6.026446291,-4.961059486,2.47E-06,0.000261003,4.530619368
PMP22,-2.77876661,3.062185409,-4.959400012,2.48E-06,0.000261003,4.524053177
LMNB2,2.507634462,4.735881473,4.956833419,2.51E-06,0.000261618,4.513900444
TMPRSS3,-2.159313736,2.550439632,-4.953612545,2.54E-06,0.000262979,4.501164257
ZNF350,2.434098388,5.011223845,4.948104958,2.60E-06,0.000265866,4.479397936
BCLAF1,1.742188312,8.293920603,4.947089175,2.62E-06,0.000265866,4.475385174
LGALS3,-2.503103842,5.997293777,-4.939533337,2.70E-06,0.00027224,4.445552884
IFITM3,-2.288967186,5.608629316,-4.935491,2.75E-06,0.000273689,4.429604626
KTI12,2.49956462,4.986119836,4.934424844,2.76E-06,0.000273689,4.425399693
FAM110A,-1.800567658,4.801440059,-4.923188068,2.89E-06,0.000284676,4.381116839
PLTP,-3.852638021,4.464605786,-4.916129517,2.98E-06,0.000290942,4.353332748
CYP27A1,-3.629005375,3.789705417,-4.911640856,3.04E-06,0.000294158,4.335677549
CTSA,-1.299835362,7.545227714,-4.903368164,3.15E-06,0.000301343,4.303165625
MCOLN1,-2.384527485,4.497341984,-4.902190686,3.16E-06,0.000301343,4.298540945
CLU,-3.167098435,4.24161305,-4.896464212,3.24E-06,0.000305356,4.276059689
SRSF1,1.826083633,5.630989344,4.895381954,3.25E-06,0.000305356,4.2718128
GCLM,-2.083435303,4.738021163,-4.88916022,3.34E-06,0.000311066,4.247409741
APOE,-4.56246168,5.957293323,-4.872296831,3.58E-06,0.000331351,4.181367749
DOK2,-1.435475403,8.576829142,-4.869694921,3.62E-06,0.000332482,4.17119095
ZFAND2A,-2.670094596,7.410990561,-4.865429563,3.69E-06,0.000335685,4.154515507
BAG1,-2.151754925,6.324285493,-4.86386628,3.71E-06,0.000335685,4.148406196
CST3,-3.639071134,5.412526254,-4.840579373,4.09E-06,0.000367298,4.057550835
PRKAB1,-2.103442008,6.09133431,-4.835914124,4.17E-06,0.000371803,4.039382932
WDR74,1.923740091,6.293080141,4.827553992,4.32E-06,0.00038222,4.006854394
ANKRD36B,2.51725866,6.951626381,4.815349577,4.55E-06,0.000399273,3.959433615
METTL21A,-2.112416151,4.828600761,-4.81292559,4.59E-06,0.000400459,3.950024388
SPIRE2,-2.63624691,3.72966832,-4.795138096,4.94E-06,0.000428139,3.881072703
GPR108,-1.983984262,7.74560003,-4.790430986,5.04E-06,0.00043353,3.862853834
NDUFB6,-1.344302222,5.634022891,-4.784860721,5.16E-06,0.000440578,3.841309213
DTX1,2.126188125,3.320648492,4.774269892,5.39E-06,0.000454016,3.800391291
RRAD,-2.520691233,3.186953002,-4.771856136,5.44E-06,0.000454016,3.791073986
TYROBP,-3.014804782,4.628451656,-4.771181593,5.46E-06,0.000454016,3.788470746
AGAP4,1.944518616,3.462346576,4.770990239,5.46E-06,0.000454016,3.787732302
MUS81,-2.13278988,6.260001841,-4.756093954,5.81E-06,0.000479613,3.730306574
MCEMP1,-2.592690116,2.866472972,-4.732969829,6.39E-06,0.000524087,3.641396134
BTN2A1,-2.173915309,6.021516998,-4.724800737,6.61E-06,0.000538419,3.610054903
PIGK,-2.561790918,5.08147425,-4.72102266,6.71E-06,0.000543169,3.595572169
RAB31,-3.017876651,3.935045344,-4.719465316,6.76E-06,0.000543169,3.589604535
ITGB5,-2.541169493,2.7510836,-4.704894505,7.17E-06,0.000572215,3.533833335
IGFBP7,-2.526224437,2.789152948,-4.703149897,7.23E-06,0.000572215,3.527163338
CWC22,2.548694075,5.860198323,4.702050619,7.26E-06,0.000572215,3.522961412
FABP4,-3.451026694,3.530317441,-4.695904021,7.44E-06,0.000583082,3.499478419
IDH1,-2.960722656,4.892304952,-4.686320208,7.74E-06,0.00060259,3.462904302
CCNL1,1.652080567,9.761937616,4.682549144,7.86E-06,0.000608113,3.448526648
UNC93B1,-2.307513989,6.287983594,-4.680201666,7.94E-06,0.000610144,3.439580483
CACNA1C,1.264560235,2.326426154,4.675624544,8.09E-06,0.00061781,3.422145806
IGSF6,-2.617710838,3.366105018,-4.671781778,8.22E-06,0.000623716,3.407517142
POLR2H,-1.84938396,5.517415894,-4.663245289,8.51E-06,0.00064188,3.375049101
SOCS2,-2.458356357,4.337589146,-4.656078235,8.76E-06,0.00065505,3.347820258
GM2A,-2.987444603,4.298607162,-4.655277035,8.79E-06,0.00065505,3.344778106
MNDA,-2.859689198,3.478737159,-4.653342131,8.86E-06,0.00065626,3.337432726
CPM,-3.474568583,4.412686289,-4.651612137,8.92E-06,0.000656946,3.330866969
PLIN2,-2.367409137,9.111810908,-4.64152888,9.29E-06,0.000680411,3.292631039
CD163,-4.214391222,5.346115173,-4.632168915,9.66E-06,0.000702633,3.257187657
TCP11L2,2.620029463,4.654830403,4.628230941,9.81E-06,0.000703192,3.242290088
KLRC1,-2.131083743,3.326490666,-4.627229552,9.85E-06,0.000703192,3.238503139
ATP5C1,-1.458092803,7.730352918,-4.627002741,9.86E-06,0.000703192,3.237645485
NIT1,-1.896400488,4.478521501,-4.626216101,9.89E-06,0.000703192,3.234671135
RNF41,2.62843177,5.450446856,4.623331048,1.00E-05,0.00070739,3.223765424
QPCT,-2.687136485,3.187170808,-4.618621092,1.02E-05,0.000713878,3.205971286
ANTXR2,-2.569440206,5.942099746,-4.618265791,1.02E-05,0.000713878,3.204629462
MRC1,-3.621850109,4.317999872,-4.615974535,1.03E-05,0.000716474,3.195977997
PLBD1,-2.956517664,3.438408655,-4.612556136,1.05E-05,0.000722395,3.183075971
DNAJB1,-2.209029568,13.32109978,-4.609903939,1.06E-05,0.000726124,3.173070251
RPAP3,-1.984079561,5.19714455,-4.607549606,1.07E-05,0.000729012,3.164191513
ELK3,-2.200967098,5.387693505,-4.60467119,1.08E-05,0.000733488,3.153340492
SCARB2,-2.633664369,4.942867596,-4.602919066,1.09E-05,0.000734652,3.146737594
SLC11A1,-3.320933081,4.181297658,-4.598400975,1.11E-05,0.000740907,3.129718954
PSIP1,1.887164668,7.072408824,4.598124812,1.11E-05,0.000740907,3.128679075
KLRK1,1.34234837,2.455330522,4.591059609,1.14E-05,0.000758265,3.102089755
ZNF92,2.519144985,4.291755593,4.584999996,1.17E-05,0.000772885,3.079306936
DGKA,1.264810587,9.462682024,4.57863139,1.20E-05,0.000788778,3.055384344
LRP1,-2.405241925,3.090573292,-4.576523045,1.21E-05,0.000791286,3.047469668
PILRA,-2.738009606,3.602329832,-4.573724874,1.22E-05,0.000796035,3.036969223
WIPI1,-2.102847611,4.368185462,-4.568684101,1.25E-05,0.000808105,3.018064166
ALDH1A1,-2.667297514,2.709089443,-4.558837102,1.30E-05,0.000836401,2.981174581
RRP12,2.861766523,6.013447199,4.553681988,1.33E-05,0.000849485,2.961883696
DNAJB4,-1.941200678,6.46116667,-4.550363064,1.34E-05,0.000855525,2.949471858
MBNL1,1.675425468,8.30462364,4.549343482,1.35E-05,0.000855525,2.945660148
COLGALT1,-2.306026942,5.629755854,-4.531880771,1.45E-05,0.000912965,2.880466256
SERPINF1,-2.73126396,3.326086763,-4.522797952,1.50E-05,0.000941985,2.846624943
LIPA,-2.012277544,6.891069443,-4.51511768,1.55E-05,0.00096647,2.81804561
FAM76B,2.020544936,5.287413464,4.509707639,1.58E-05,0.000981657,2.797934107
VCAN,-2.925852515,3.051757579,-4.508694494,1.59E-05,0.000981657,2.794169641
ACP5,-2.560556223,4.786774031,-4.503134028,1.62E-05,0.0009984,2.773519381
KLF2,2.097055712,8.234339016,4.50196019,1.63E-05,0.0009984,2.769162258
LPL,-2.774139356,2.995319968,-4.491102893,1.70E-05,0.001037457,2.728898546
EIF4E2,-1.908347283,6.035913679,-4.487269692,1.73E-05,0.001048247,2.714699309
BLVRB,-2.246208502,5.094652642,-4.485016562,1.75E-05,0.001048284,2.70635699
ARMC1,-2.262842075,5.506781235,-4.484801019,1.75E-05,0.001048284,2.705559083
RAB13,-2.318552589,2.60633582,-4.477223213,1.80E-05,0.001072123,2.67752403
SLCO2B1,-3.158672416,3.844531365,-4.476717559,1.80E-05,0.001072123,2.675654463
NOP10,-1.521710746,6.497144176,-4.47325732,1.83E-05,0.001081322,2.662864748
HPGD,-2.611493951,4.284314128,-4.472154158,1.84E-05,0.001081322,2.658788683
FAM53C,2.743529033,6.642011357,4.46973176,1.86E-05,0.001086592,2.64984062
S100A6,-1.370954546,7.805922732,-4.46250057,1.91E-05,0.001102736,2.623149364
NMB,-1.644923179,3.132607037,-4.462352143,1.91E-05,0.001102736,2.622601814
TFPI,-2.091539453,2.516358711,-4.461737781,1.92E-05,0.001102736,2.620335554
TAF4B,3.227888058,5.294132048,4.461273348,1.92E-05,0.001102736,2.618622498
KHNYN,2.417860963,5.549429846,4.458037329,1.94E-05,0.00110804,2.60668989
TNFSF14,-2.364517302,4.756279215,-4.457722313,1.95E-05,0.00110804,2.605528608
AKT1S1,-1.463739334,3.154435395,-4.455153128,1.97E-05,0.00111424,2.596059643
CAPN10,-2.081111495,6.077007393,-4.451366822,2.00E-05,0.001125916,2.582111757
OLFML2B,-2.459420929,2.430045485,-4.449147665,2.01E-05,0.001126954,2.573940712
KRT86,-1.536552668,1.931348784,-4.448831733,2.02E-05,0.001126954,2.572777668
CORO1C,-2.827786825,5.295184474,-4.443760164,2.06E-05,0.001144634,2.554115431
PDK4,-3.783670824,4.190830546,-4.440410227,2.08E-05,0.0011547,2.54179652
NCL,1.067020562,9.137408816,4.423009612,2.23E-05,0.00123143,2.477912185
COA1,1.616177696,6.743913145,4.420545466,2.25E-05,0.001233143,2.468879475
MSANTD3,-1.862744777,3.65826311,-4.418990825,2.27E-05,0.001233143,2.463182503
EMP2,-1.97709701,2.2830681,-4.41849978,2.27E-05,0.001233143,2.461383359
ALDH2,-3.149911098,4.14980927,-4.418156066,2.28E-05,0.001233143,2.460124106
CHD1,2.032310448,6.884192424,4.416244729,2.29E-05,0.001237033,2.453122858
SNAI3,-1.967508329,4.001053749,-4.411028125,2.34E-05,0.001257243,2.434025142
PAFAH1B1,1.586592851,5.860594217,4.407965888,2.37E-05,0.001266984,2.422821786
AP2S1,-1.544336743,4.465239744,-4.406219859,2.39E-05,0.001270211,2.41643628
GUSB,-1.700428352,7.466248657,-4.403766854,2.41E-05,0.001277021,2.407468235
PLA2G7,-2.044049233,2.548423545,-4.399947656,2.45E-05,0.001290813,2.393512418
HTRA1,-2.350092193,2.72021493,-4.39621018,2.48E-05,0.001304348,2.379863417
TRIM5,-1.948984574,3.491439555,-4.394314368,2.50E-05,0.001308523,2.372943152
STIP1,-0.956219413,7.931168004,-4.390774115,2.54E-05,0.001321251,2.360025784
ACTRT3,-1.723372841,2.441605321,-4.387396285,2.57E-05,0.001333265,2.347707854
MARVELD1,-1.832334705,2.457314401,-4.381478467,2.63E-05,0.001358896,2.326143366
KYNU,-2.603855542,3.205250926,-4.376077119,2.69E-05,0.001382211,2.306478714
RNF144B,-2.515065895,3.264839584,-4.369258484,2.76E-05,0.001413763,2.281678488
HIST1H2BJ,-1.827176325,2.937494042,-4.361388942,2.85E-05,0.001451489,2.253089775
PHOSPHO2,1.29211382,2.561519855,4.359966979,2.86E-05,0.001451489,2.247927895
TBC1D4,2.219283346,6.228597253,4.359365688,2.87E-05,0.001451489,2.2457455
RBM48,1.87127177,6.023288769,4.358305899,2.88E-05,0.001451549,2.241899492
SRD5A3,-1.826414609,3.191666674,-4.354752371,2.92E-05,0.001456512,2.229008439
GLIPR2,-2.066612967,6.47580753,-4.353563793,2.93E-05,0.001456512,2.224698313
RIT1,2.190192118,4.693403166,4.353462183,2.94E-05,0.001456512,2.224329885
FAM89A,-2.058164922,4.046721096,-4.353277979,2.94E-05,0.001456512,2.223661996
BBS2,-2.388283329,6.40332498,-4.342139385,3.07E-05,0.001515209,2.18331246
HNRNPH1,1.624209201,7.229531962,4.327451133,3.25E-05,0.001591906,2.13021595
HNRNPDL,0.932751811,8.849410811,4.326278634,3.26E-05,0.001591906,2.125982976
PLEKHA3,2.00937833,5.319358197,4.325756174,3.27E-05,0.001591906,2.124097041
FBXO6,-2.424507125,4.674029764,-4.324937032,3.28E-05,0.001591906,2.121140493
MGST1,-2.739915825,3.114726159,-4.324142716,3.29E-05,0.001591906,2.118273932
SGSH,-2.309864468,6.555599857,-4.323372002,3.30E-05,0.001591906,2.115492902
CD36,-2.62241148,3.248452205,-4.318543955,3.36E-05,0.001610473,2.098079453
NT5E,2.363837389,3.508980165,4.318386538,3.37E-05,0.001610473,2.097511924
TUBG2,2.566330499,4.350599137,4.313717596,3.43E-05,0.001632751,2.08068588
CTSC,-2.21934357,7.755795633,-4.31286211,3.44E-05,0.001632751,2.077604259
C10orf128,-2.68955608,4.331818055,-4.311174765,3.46E-05,0.001637177,2.071527396
S100A4,-1.233176174,8.651917589,-4.30841415,3.50E-05,0.001648497,2.061588862
CD59,-1.974809951,6.442370944,-4.291028902,3.74E-05,0.00175683,1.999103935
SPATS2L,-2.107182659,4.640423196,-4.283095118,3.86E-05,0.001804771,1.970648612
REEP5,-1.424973651,7.034171489,-4.277792807,3.94E-05,0.00182305,1.951652267
TLR4,-2.483674446,2.74466406,-4.277765634,3.94E-05,0.00182305,1.951554958
TCP1,-2.123110027,8.264540708,-4.277560083,3.94E-05,0.00182305,1.950818882
CSTA,-1.729577272,2.354690615,-4.275870749,3.97E-05,0.001828128,1.944770344
RDX,-1.993570346,4.605507084,-4.270444143,4.05E-05,0.001859916,1.925352318
CSF1,-3.31849411,5.505456721,-4.265069556,4.14E-05,0.001891872,1.906137799
HSPA8,-1.735710822,13.0957653,-4.257660871,4.26E-05,0.001939529,1.879679613
AFAP1,-2.136993049,3.658584906,-4.255179808,4.30E-05,0.001950947,1.870826504
DIDO1,2.372829583,6.308133759,4.254065278,4.32E-05,0.001952144,1.866850759
DENND6B,-1.563463532,2.666729531,-4.247258677,4.43E-05,0.001996672,1.842586491
MPHOSPH9,2.251478223,5.282278059,4.244477823,4.48E-05,0.002010797,1.832681283
ACSL1,-2.738997175,5.178836896,-4.243028767,4.51E-05,0.00201469,1.827521689
ATP1B1,-1.774672655,2.843064085,-4.239660954,4.56E-05,0.002028111,1.815534941
GALNT12,1.942179028,4.147919191,4.239419427,4.57E-05,0.002028111,1.814675558
CALCOCO2,-1.709064951,7.5159328,-4.238389197,4.59E-05,0.002028838,1.811010271
MSMO1,-2.232563155,5.152289798,-4.23533067,4.64E-05,0.002045478,1.800132603
FN1,-3.300428229,3.38030222,-4.232693809,4.69E-05,0.002058931,1.790759122
CCL2,-2.798611829,2.868661499,-4.223331064,4.86E-05,0.002126697,1.757510472
MRPL43,-1.724265278,5.230487953,-4.221190625,4.90E-05,0.002129362,1.749916861
ZNF107,2.004074764,4.800498179,4.221155749,4.90E-05,0.002129362,1.749793154
LETM2,1.71495806,4.617029557,4.216205765,4.99E-05,0.002162519,1.732242878
NUDT14,-1.881696111,4.20683531,-4.205351316,5.21E-05,0.002245704,1.69381018
ATPAF1,-2.226291666,6.161939729,-4.204515784,5.22E-05,0.002245704,1.69085475
ARFRP1,-1.990592991,6.437537597,-4.202876274,5.26E-05,0.002250505,1.685056731
BTBD6,-1.673066364,6.071449601,-4.202135628,5.27E-05,0.002250505,1.682438022
SPI1,-2.591131674,3.661780396,-4.197618272,5.36E-05,0.002278111,1.666473176
CXCR5,1.084430375,2.506567069,4.197136236,5.37E-05,0.002278111,1.664770339
SRSF7,1.229290309,11.0778715,4.190905365,5.50E-05,0.002324962,1.642771941
SDC2,-2.549138783,2.804212017,-4.188016258,5.56E-05,0.002342692,1.632579829
MYO1E,-1.968373129,2.645508236,-4.186024699,5.60E-05,0.002352505,1.625557026
EXOG,-1.871201345,3.963540484,-4.176198962,5.82E-05,0.002433985,1.590944112
GRN,-3.146638924,7.419868812,-4.17402853,5.87E-05,0.002444006,1.583306329
C12orf79,1.587657524,3.421219925,4.173339874,5.88E-05,0.002444006,1.580883541
ZNF683,-2.729705847,3.329196098,-4.169011394,5.98E-05,0.002463515,1.565661988
NLRX1,-2.246680639,4.352858675,-4.1685143,5.99E-05,0.002463515,1.563914636
SLC35G2,-1.528699966,2.065995754,-4.168418,5.99E-05,0.002463515,1.563576147
IL17A,-2.656495806,2.721028636,-4.167723803,6.01E-05,0.002463515,1.561136251
RASD1,-2.384191788,5.585045537,-4.15956251,6.20E-05,0.002532707,1.532473855
POR,-2.111970898,7.025828276,-4.157558772,6.25E-05,0.002543608,1.525442991
TACSTD2,-1.626458493,2.01689167,-4.152020906,6.38E-05,0.002587253,1.506024131
DIS3,2.583401022,5.563770425,4.151338646,6.40E-05,0.002587253,1.503633051
ELP5,1.994223186,5.885680292,4.149067239,6.45E-05,0.002601088,1.495674628
HAVCR2,-2.572391418,5.506491153,-4.144680883,6.56E-05,0.00263607,1.480314952
ATG9B,1.840996568,4.15542167,4.137357235,6.74E-05,0.002701403,1.454696181
BIVM,-1.673012754,2.872641445,-4.134579739,6.81E-05,0.002721091,1.4449889
SAA1,-2.220495005,2.249176897,-4.131619499,6.89E-05,0.002742835,1.434648172
PARVB,-1.394569011,3.006629774,-4.127872824,6.99E-05,0.002773001,1.421568024
CCL23,-1.000991428,1.950477198,-4.125812797,7.04E-05,0.002783717,1.414379883
ETS2,-2.906410804,5.144579642,-4.125151003,7.06E-05,0.002783717,1.412071215
MMP19,-3.079055612,3.483693611,-4.123635217,7.10E-05,0.002785106,1.406784417
