gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
GPX1,-2.019299065,7.147153011,-4.993846508,2.15E-06,0.000501479,4.671699185
PDK4,-4.441167139,4.190830546,-4.992140893,2.16E-06,0.000501479,4.664986183
DOK2,-1.525698822,8.576829142,-4.957409307,2.50E-06,0.000570292,4.52860125
PLAUR,-3.670001433,5.487045094,-4.945975583,2.63E-06,0.000587664,4.483833903
ID2,-1.505510887,9.781544413,-4.9359589,2.74E-06,0.000602113,4.444668365
S100A6,-1.57827614,7.805922732,-4.92060142,2.93E-06,0.000631133,4.384717615
HLA-DRB5,-2.942506209,6.14285296,-4.879086817,3.48E-06,0.000733042,4.223251806
MNDA,-3.129010431,3.478737159,-4.876779602,3.52E-06,0.000733042,4.214303761
MS4A7,-3.207579294,3.895304901,-4.832522958,4.23E-06,0.000867327,4.043189135
ACP5,-2.865248364,4.786774031,-4.826394287,4.34E-06,0.00087518,4.019572238
GLUL,-2.412545005,8.807803063,-4.820285801,4.45E-06,0.00088325,3.99605237
FCGR3A,-3.836255882,5.199353325,-4.789473388,5.06E-06,0.00098796,3.877707465
TYROBP,-3.138102428,4.628451656,-4.75678841,5.79E-06,0.001112587,3.752709972
IL10,-3.607819889,4.323289061,-4.753211027,5.88E-06,0.001112587,3.739062874
UQCRB,-1.507423194,5.947290701,-4.737362585,6.28E-06,0.001158706,3.678684694
SPI1,-3.05224643,3.661780396,-4.736014475,6.31E-06,0.001158706,3.673554867
ARPC3,-1.336954563,7.992394119,-4.727711349,6.53E-06,0.001173291,3.641980967
HMOX1,-3.793875626,5.051151847,-4.725831775,6.58E-06,0.001173291,3.634838655
HIST1H3H,-2.711503729,5.307698321,-4.679839229,7.95E-06,0.001396684,3.460652771
FABP4,-3.571907517,3.530317441,-4.655336378,8.79E-06,0.001521931,3.368315134
SH3PXD2B,-2.210497732,2.166309383,-4.644486393,9.18E-06,0.001568627,3.327530674
CTSD,-2.660999188,6.354895769,-4.62901897,9.78E-06,0.001645951,3.269499425
ZNF385A,-1.828927873,2.377059403,-4.625916278,9.90E-06,0.001645951,3.257874226
S100A11,-1.983031607,6.934888095,-4.611097253,1.05E-05,0.001724653,3.202422214
CD14,-3.411503425,5.085206625,-4.606690124,1.07E-05,0.00172542,3.185954008
IL1RN,-3.372697176,3.105538558,-4.60281942,1.09E-05,0.00172542,3.171499001
APOC1,-2.279569251,2.89661246,-4.601305913,1.09E-05,0.00172542,3.165849085
S100A4,-1.369679838,8.651917589,-4.583437875,1.18E-05,0.001769813,3.09924237
ALOX5AP,-1.823042422,7.652037783,-4.582612834,1.18E-05,0.001769813,3.096171082
FGR,-3.489937736,4.413739856,-4.581805619,1.18E-05,0.001769813,3.093166516
FES,-3.378807163,3.64884618,-4.580200611,1.19E-05,0.001769813,3.087193515
GCNT4,1.626794329,2.876481813,4.579652833,1.19E-05,0.001769813,3.085155294
TYMP,-2.08073028,6.3630766,-4.568603053,1.25E-05,0.001815178,3.044075491
SIRPA,-2.811197275,2.953603314,-4.567273761,1.26E-05,0.001815178,3.039138102
CMC2,-1.565562791,5.470331134,-4.564572033,1.27E-05,0.001815178,3.029106064
KIAA1683,2.426958159,3.115976626,4.55648137,1.31E-05,0.001838052,2.999087932
SERPINH1,-3.248493074,5.288354096,-4.55575182,1.32E-05,0.001838052,2.996382919
APOE,-4.448794723,5.957293323,-4.550476164,1.34E-05,0.001856157,2.976830651
PILRA,-2.842361474,3.602329832,-4.547726572,1.36E-05,0.001856157,2.966646404
S100A8,-2.89100618,4.016103325,-4.544837123,1.37E-05,0.001857201,2.955948641
ANXA2,-1.861915928,8.451497155,-4.538912837,1.41E-05,0.001881247,2.934029291
PLIN2,-2.401297762,9.111810908,-4.509347681,1.58E-05,0.002095056,2.824932049
C5AR1,-2.86063981,3.640772626,-4.48374465,1.75E-05,0.002295795,2.730849405
CD74,-2.321730663,10.63666856,-4.461584693,1.92E-05,0.002480987,2.649716113
COMMD7,-1.044656048,7.165992528,-4.443660386,2.06E-05,0.002623894,2.584293445
SDS,-2.625061873,2.274203333,-4.442214782,2.07E-05,0.002623894,2.579025007
F2RL2,1.155308973,2.166588412,4.435470661,2.13E-05,0.002667407,2.554462042
IFI30,-2.111280967,2.518059921,-4.415839292,2.30E-05,0.002853487,2.483109335
SPP1,-3.74680109,2.954788915,-4.408224129,2.37E-05,0.002911097,2.455490243
CD1E,-1.873008507,2.077686837,-4.401551735,2.43E-05,0.002937374,2.431317708
FBP1,-3.240107206,4.666961968,-4.40091815,2.44E-05,0.002937374,2.4290237
RHOB,-1.928647007,5.595647376,-4.383342735,2.61E-05,0.003117063,2.365480646
UBB,-1.334272045,8.431814929,-4.365668439,2.80E-05,0.003278284,2.301759369
ENO1,-1.142310397,10.02336272,-4.361278993,2.85E-05,0.003278284,2.285962024
PLXDC2,-2.708289509,3.137975913,-4.361089351,2.85E-05,0.003278284,2.285279763
RGS16,-2.289396168,5.349247745,-4.360770977,2.85E-05,0.003278284,2.284134424
RAB31,-2.907446877,3.935045344,-4.354948968,2.92E-05,0.003304776,2.263200281
SIGLEC12,-2.133278788,1.991851899,-4.353982781,2.93E-05,0.003304776,2.259728072
KIF9,1.902453264,3.846988491,4.350876056,2.96E-05,0.003314764,2.248567025
ETS2,-3.195896145,5.144579642,-4.344656817,3.04E-05,0.003365726,2.226240958
RAB32,-2.836304686,3.044490616,-4.321569915,3.32E-05,0.003649952,2.14355944
MGST1,-2.846443301,3.114726159,-4.302741981,3.58E-05,0.003862604,2.076360995
CSTB,-1.706087596,6.964104703,-4.302452696,3.58E-05,0.003862604,2.075330132
IFITM3,-2.080514598,5.608629316,-4.296764319,3.66E-05,0.003909156,2.055069671
DSE,-2.439264953,3.607632915,-4.29488328,3.69E-05,0.003909156,2.048374098
RTN1,-2.012446754,2.309558591,-4.273300807,4.01E-05,0.004213543,1.971700148
GSTO1,-1.733836662,6.488594262,-4.270616951,4.05E-05,0.004221397,1.96218468
ATP5E,-1.283583709,7.367230636,-4.252113961,4.35E-05,0.004495726,1.896699283
AQP9,-2.445699813,2.69323016,-4.247030906,4.44E-05,0.004546414,1.878744978
PYCARD,-1.60470813,3.602373848,-4.244632415,4.48E-05,0.004550667,1.870278389
XCL1,-2.225628049,3.765382101,-4.223576157,4.85E-05,0.004893771,1.796097559
TMEM50A,-0.995423327,7.807746484,-4.220967908,4.90E-05,0.004902795,1.786927153
SFTPB,-4.208029334,4.119315801,-4.212047251,5.07E-05,0.00503241,1.755593554
H2AFY,-1.32076463,7.224895598,-4.193862124,5.44E-05,0.005351743,1.69186646
PHACTR1,-2.415110094,3.164417592,-4.186040416,5.60E-05,0.00547018,1.664517562
RAB13,-2.260608825,2.60633582,-4.181163808,5.71E-05,0.00552898,1.647484973
DDIT4,-1.500185878,8.397512169,-4.173993726,5.87E-05,0.00563771,1.622467994
MYL6,-0.877732792,9.322872083,-4.170551335,5.95E-05,0.005667797,1.610468252
PMP22,-2.430467477,3.062185409,-4.15476868,6.31E-05,0.005971936,1.555543735
FCGR2B,-2.272888664,3.165670081,-4.150750977,6.41E-05,0.006017409,1.54158602
PTAFR,-2.785928437,3.521520325,-4.136984927,6.75E-05,0.006248493,1.493836429
ADAP1,-1.813126063,3.135769617,-4.136810344,6.76E-05,0.006248493,1.493231601
GAPDH,-1.021897706,9.879715416,-4.113706954,7.37E-05,0.006757521,1.413356192
ATF3,-2.53199367,6.365552252,-4.112133935,7.42E-05,0.006757521,1.407929657
CSF3R,-2.614710128,3.031749683,-4.107265391,7.56E-05,0.006808652,1.391143963
THBD,-3.226693271,3.28399872,-4.106232787,7.58E-05,0.006808652,1.387585638
PTMS,-1.310103105,2.881781259,-4.085552996,8.20E-05,0.007268899,1.316461507
IFNG,-2.706014929,5.442989551,-4.084989475,8.22E-05,0.007268899,1.314527071
C1QC,-2.988381952,4.514211867,-4.080071307,8.37E-05,0.007314551,1.29765244
TMEM176B,-2.793955897,3.426149056,-4.079515273,8.39E-05,0.007314551,1.295745583
C15orf48,-1.31181217,1.916109396,-4.07715654,8.46E-05,0.007327586,1.287658686
TREM2,-2.283891868,2.789618034,-4.066642991,8.80E-05,0.007568723,1.251654869
HSPH1,-2.540639428,9.575145758,-4.037925708,9.80E-05,0.008367245,1.153661151
CAPZA2,-1.251640547,7.807011913,-4.02831203,0.000101545,0.008557256,1.120970403
PCBP1,-1.052806454,5.056520359,-4.028191346,0.00010159,0.008557256,1.120560392
OAZ1,-1.009613907,9.097553721,-4.021049558,0.000104325,0.008727782,1.096313032
QSOX2,1.314643414,2.860122449,4.015246409,0.000106598,0.008857712,1.076634016
AXIN2,1.267894594,2.474752206,4.005518237,0.000110515,0.009062992,1.043692174
MS4A6A,-2.951936174,5.050483811,-4.00497598,0.000110738,0.009062992,1.041857712
C1QA,-3.520380917,5.669568375,-4.003660129,0.000111279,0.009062992,1.037406936
FCER1A,-2.239537311,2.305115704,-3.997713733,0.000113757,0.009203875,1.017307222
TPI1,-0.9246517,9.603877323,-3.993569016,0.000115516,0.009257052,1.003310589
ISG15,-1.221902987,6.797501264,-3.992624699,0.00011592,0.009257052,1.000123157
GNG5,-1.48448035,6.177714192,-3.980283249,0.000121329,0.009626501,0.958517659
PAK1,-2.472540345,4.839680701,-3.973104568,0.000124586,0.009821504,0.934361053
SLC2A9,-2.093356736,2.656874991,-3.970551152,0.000125764,0.009851242,0.925776531
TGFBI,-3.25670026,4.305034842,-3.9628247,0.000129394,0.010071476,0.899825496
PSAP,-1.530241165,10.18452647,-3.955238865,0.000133056,0.010251027,0.874383515
UGP2,-1.242112707,8.029359952,-3.954601254,0.000133368,0.010251027,0.872246707
THBS1,-3.085489441,3.565457405,-3.950311082,0.000135488,0.010349228,0.857875869
RASGRP2,1.425595811,8.335341567,3.937054565,0.000142241,0.010797996,0.813544225
SLC4A11,-1.294555089,2.036438647,-3.934434071,0.000143613,0.010835296,0.804794158
HGNC:9982,1.14191881,2.62711104,3.924918525,0.000148704,0.011093788,0.773057678
ANPEP,-2.875746935,3.23026956,-3.924305152,0.000149038,0.011093788,0.771013922
DUS3L,2.018833273,6.485659019,3.922888583,0.000149812,0.011093788,0.766294842
CST3,-3.077872844,5.412526254,-3.921366576,0.000150647,0.011093788,0.761225937
MS4A4A,-2.798629087,3.954630748,-3.917759046,0.000152647,0.011174095,0.749217296
PRDX1,-1.369369971,6.431814918,-3.914473684,0.000154489,0.011242061,0.738288315
GNPDA1,-1.766615116,5.374084507,-3.90201769,0.00016167,0.011695372,0.696915347
VNN1,-1.943674336,2.256014383,-3.892878856,0.000167139,0.012007973,0.666623686
CSTA,-1.643459447,2.354690615,-3.891558463,0.000167944,0.012007973,0.662251532
ARL4D,-2.18336762,4.86846756,-3.875227428,0.000178206,0.012668085,0.608268103
GSN,-3.116599062,5.488621097,-3.869391029,0.000182017,0.012864594,0.589017146
DBI,-1.180125302,6.911970183,-3.863363127,0.000186033,0.013073363,0.569157616
PRR13,-0.752792599,7.403800348,-3.85811187,0.000189601,0.013248396,0.551875966
CSF2,-2.170442825,2.501921927,-3.854246558,0.000192269,0.013358908,0.539166799
TNFSF9,-2.352327024,5.593550437,-3.843701795,0.00019973,0.013799332,0.504544797
IGSF6,-2.246783604,3.366105018,-3.840626651,0.000201957,0.013875258,0.494461651
NKG7,-2.375000666,5.297488037,-3.838746178,0.000203331,0.013892019,0.488298759
THAP7,1.597464132,6.408201717,3.826617136,0.000212406,0.014431896,0.448603388
ITGAX,-1.685431043,2.842442334,-3.819178537,0.000218161,0.014741483,0.424306078
DDX39A,1.282043754,8.651866676,3.812623303,0.000223356,0.014931926,0.402924099
VAV2,-2.257332763,3.008569113,-3.812490297,0.000223462,0.014931926,0.402490547
TXK,1.824429486,7.416734835,3.810423265,0.000225125,0.014931926,0.395754267
PAPSS2,-2.52464229,2.701771783,-3.809543633,0.000225837,0.014931926,0.392888467
RIC3,1.71222333,4.280339698,3.807116224,0.00022781,0.014938152,0.384982706
ARPC2,-0.779367942,9.839399837,-3.805774246,0.000228909,0.014938152,0.380613713
KYNU,-2.363754694,3.205250926,-3.804963129,0.000229575,0.014938152,0.37797358
NICN1,1.840558659,4.016112662,3.796823012,0.000236364,0.015298949,0.351501882
ANXA5,-1.794088579,8.15329609,-3.791683382,0.000240748,0.015472984,0.334810148
UBBP4,-0.897095144,3.293979191,-3.790731034,0.000241569,0.015472984,0.331719154
BIRC3,-1.488907211,8.551827754,-3.787128183,0.000244698,0.015556011,0.320030928
PALD1,-1.720426181,2.254594544,-3.786332097,0.000245395,0.015556011,0.317449446
VKORC1,-0.933816419,2.25147084,-3.783895757,0.000247539,0.015611437,0.309551673
CCL2,-2.612107195,2.868661499,-3.775577809,0.000254993,0.015939114,0.282617168
PHF12,1.731618536,5.182637158,3.775210671,0.000255327,0.015939114,0.28142938
GZMB,-2.672504069,5.852925848,-3.771375221,0.000258839,0.016076799,0.269026003
PPT1,-1.286501708,8.371916313,-3.757944005,0.000271506,0.016778804,0.225667534
NR4A1,-2.514312585,8.486081827,-3.748952834,0.000280312,0.01723639,0.196708936
FAM89B,-0.784127535,2.490479164,-3.743361849,0.000285924,0.017408147,0.178728568
FCRL1,1.497351296,2.427438766,3.743349539,0.000285936,0.017408147,0.178689001
RHOU,-1.398030184,2.437667057,-3.741579312,0.000287735,0.017431379,0.17300036
CTSL,-2.596282525,5.712585147,-3.739012657,0.000290363,0.017504328,0.164756074
NQO1,-1.981007427,2.673556155,-3.734314067,0.000295232,0.017711036,0.149675182
SQRDL,-1.188888954,5.38177163,-3.724145638,0.000306036,0.018270044,0.117088141
CAP1,-0.816789383,9.503234364,-3.720576527,0.000309916,0.018412315,0.105666418
GPA33,2.260694232,4.587820714,3.714625841,0.00031649,0.018712453,0.086642128
SNX3,-1.231353598,7.16801991,-3.712078281,0.000319344,0.018753506,0.078504813
SCP2,-1.325849336,6.757620923,-3.710263538,0.000321392,0.018753506,0.072710873
RNF130,-1.933281925,6.560255331,-3.709940008,0.000321759,0.018753506,0.071678169
SDCBP,-1.684304017,8.608738964,-3.700778374,0.000332302,0.019276655,0.042463308
TPM4,-1.244466873,7.885972875,-3.696356953,0.000337507,0.019486652,0.028384226
TMEM176A,-2.225420456,2.681832625,-3.693981349,0.000340335,0.019495502,0.020825015
CORO7,1.229543097,5.762786088,3.693567012,0.00034083,0.019495502,0.019506976
PRAM1,-1.7080022,2.531257013,-3.684774277,0.00035151,0.020013274,-0.008436333
IL23R,-2.358459978,2.833073047,-3.682918804,0.000353804,0.02005104,-0.014326405
TXNDC12,-1.123229963,7.172536313,-3.677120599,0.000361063,0.020368593,-0.032717526
MYL12A,-1.024834565,8.979764205,-3.671468346,0.000368275,0.020680602,-0.050623973
LY75,-1.610141913,3.242600559,-3.66520364,0.000376429,0.020976965,-0.070445591
CTSB,-1.86604839,9.370963828,-3.664796548,0.000376964,0.020976965,-0.071732724
TMSB10,-0.986950443,10.34531708,-3.66167439,0.000381097,0.021067228,-0.081600558
CLK4,1.326101286,7.028593046,3.660986909,0.000382013,0.021067228,-0.083772518
PFN1,-1.037186204,9.631943798,-3.658196459,0.000385751,0.021178411,-0.092585114
CXCL16,-2.940371376,4.873547669,-3.654525788,0.000390721,0.021287446,-0.104169565
ST13,-1.366449007,7.528349573,-3.654175247,0.000391199,0.021287446,-0.10527538
SH3BGRL3,-1.13350861,9.398110124,-3.651549102,0.000394796,0.021388548,-0.113557163
MSR1,-1.839829745,2.531290483,-3.647422258,0.000400512,0.021603052,-0.126562131
CD1D,-1.642187338,2.272162472,-3.64612551,0.000402324,0.021606038,-0.130646211
GNAS,-0.776894428,9.773943583,-3.644115377,0.000405149,0.021663125,-0.136974839
NPC2,-1.837237473,4.841825092,-3.641097639,0.000409424,0.02179697,-0.146470641
RAC1,-1.151995293,7.29548593,-3.639022792,0.000412389,0.021860158,-0.152995915
PVRL2,-2.438399398,3.319958876,-3.633877921,0.000419827,0.022125412,-0.169163662
COX6C,-1.024510588,7.325715768,-3.632149285,0.000422355,0.022125412,-0.174591875
NDUFS5,-0.895206977,6.947379198,-3.631688525,0.000423031,0.022125412,-0.176038397
PTGS2,-1.937229746,2.440671658,-3.630629514,0.000424589,0.022125412,-0.179362542
RAB20,-2.576721805,3.465646062,-3.624117864,0.000434289,0.022535374,-0.199785347
SERPING1,-2.876226847,3.913908849,-3.618656607,0.000442585,0.022869373,-0.216891569
NOP10,-1.283306861,6.497144176,-3.613285331,0.000450891,0.023201057,-0.233696183
COTL1,-0.958019804,9.357231608,-3.610932071,0.000454576,0.023293215,-0.24105243
ECH1,-0.815408342,7.476782645,-3.609554634,0.000456746,0.023307304,-0.245356525
ASAH1,-2.025214857,6.798604952,-3.605198562,0.000463674,0.023563047,-0.258959499
CDK2AP1,-1.733364074,3.499083565,-3.590531463,0.000487737,0.024683897,-0.304666277
LCP1,-0.916174934,11.00561053,-3.587954907,0.000492084,0.024801839,-0.312680382
CD163,-3.400676414,5.346115173,-3.580097189,0.000505569,0.025300327,-0.337092966
POMP,-1.029716493,6.966466603,-3.579798069,0.000506089,0.025300327,-0.338021447
CTSC,-1.921573898,7.755795633,-3.576663584,0.00051157,0.025327691,-0.347747327
PPIA,-0.706809711,9.443967845,-3.575970434,0.00051279,0.025327691,-0.349897166
SEMA4D,1.296543873,8.31131896,3.57595623,0.000512815,0.025327691,-0.349941218
SNRPA1,1.179452122,7.21110754,3.574131687,0.000516038,0.025384705,-0.355598545
IL17RB,-1.608212651,2.257393499,-3.572076728,0.000519692,0.025384705,-0.361967585
BCL9L,1.132540093,2.586619172,3.571009446,0.000521599,0.025384705,-0.365274325
IL18,-1.773172562,2.51483442,-3.570659808,0.000522226,0.025384705,-0.366357434
LAPTM5,-0.924150633,10.03068523,-3.567135179,0.000528578,0.025592352,-0.377271333
ABCC3,-1.893139281,2.383418976,-3.557857341,0.000545651,0.026315378,-0.405959096
SDSL,-1.826269136,2.114600518,-3.551256914,0.000558113,0.026811222,-0.426332096
CALM2,-1.03280767,8.814771882,-3.549326646,0.000561808,0.026883701,-0.432284433
MGLL,-2.33888308,3.392515764,-3.543166677,0.000573754,0.02732617,-0.451262669
DNAAF2,1.464860218,6.115987625,3.542277127,0.000575498,0.02732617,-0.454001121
CLU,-2.386344163,4.24161305,-3.533735746,0.000592508,0.02802021,-0.48026772
COX6B1,-1.040119155,6.760940377,-3.532567063,0.000594872,0.02802021,-0.483857759
CCT4,-1.025344646,7.744658944,-3.531543078,0.00059695,0.02802021,-0.487002527
ANAPC11,-0.946890567,6.049394979,-3.527625078,0.000604967,0.028201706,-0.499028444
SRGAP1,-1.378703249,2.301065513,-3.527304098,0.000605628,0.028201706,-0.50001319
TMEM59,-0.821779563,8.703969341,-3.526301998,0.000607697,0.028201706,-0.503087111
YTHDF2,1.258785133,8.001275189,3.517007154,0.000627204,0.028936272,-0.531565742
C1QB,-3.206320872,5.962160723,-3.51652561,0.000628231,0.028936272,-0.533039523
HCK,-2.676966842,4.34738624,-3.515085614,0.00063131,0.028969603,-0.537445719
ATG9B,1.630155162,4.15542167,3.508964333,0.000644559,0.029467627,-0.556159986
NDUFB2,-1.077554491,5.196652648,-3.507245284,0.000648327,0.029521418,-0.561410869
TALDO1,-1.563127443,7.260183935,-3.505086961,0.000653087,0.029521418,-0.568000622
RHOC,-1.446626125,3.956587304,-3.504857477,0.000653595,0.029521418,-0.568701089
PLBD1,-2.34494026,3.438408655,-3.504071326,0.000655338,0.029521418,-0.571100422
DAD1,-1.031686165,7.394808565,-3.496709222,0.000671876,0.030155959,-0.593548731
HIST4H4,1.554657335,3.648443829,3.495584177,0.000674438,0.030160858,-0.596975865
C16orf54,1.952191091,5.074751002,3.48592163,0.000696821,0.031048912,-0.626373846
ATP5J,-1.164328375,6.050635838,-3.48208852,0.000705892,0.031339569,-0.638017939
PPARG,-2.264635291,3.095334378,-3.479239591,0.000712706,0.031525441,-0.646665684
COX6A1,-0.90769976,5.507539592,-3.478201096,0.000715206,0.031525441,-0.649816561
GRN,-2.735578647,7.419868812,-3.475663121,0.000721348,0.031682649,-0.657513815
ZAP70,1.277127428,8.745937398,3.472314642,0.000729529,0.031927918,-0.667662313
RAPGEF6,1.240229824,3.27065889,3.468967468,0.000737793,0.032099287,-0.677799026
C3AR1,-2.299532848,4.538552265,-3.468616584,0.000738665,0.032099287,-0.678861203
U2AF2,1.159823327,3.661872286,3.462938522,0.000752902,0.032602773,-0.696037564
TSHR,0.973476898,1.966739062,3.460933962,0.00075799,0.032707913,-0.702096047
FLT4,2.201591979,4.130675667,3.457816779,0.000765965,0.032936508,-0.71151168
SOGA1,-0.880846563,1.853637698,-3.45612017,0.000770339,0.033009179,-0.716633527
BCLAF1,1.269230932,8.293920603,3.452035545,0.000780967,0.033348368,-0.728956215
PAFAH1B3,-1.436508214,3.90685353,-3.450605954,0.000784719,0.033392636,-0.733266308
GADD45B,-1.318854368,10.29877936,-3.44300436,0.000804956,0.034135669,-0.756160372
SUMO1,-0.927365333,7.421915018,-3.440854481,0.000810767,0.034263976,-0.7626279
MGST3,-1.00807875,5.850789457,-3.432857562,0.000832733,0.035071767,-0.78665668
QPCT,-2.082315911,3.187170808,-3.428066157,0.000846161,0.03551567,-0.80103212
SLC22A16,-1.475324783,1.83245882,-3.422721571,0.000861379,0.036031437,-0.817048167
ADORA3,-2.036432956,2.493351262,-3.418749288,0.000872856,0.03638774,-0.828938804
DUSP5,-1.711407037,6.949653573,-3.416860051,0.000878365,0.036493677,-0.834590144
FCGRT,-2.066999129,6.851615955,-3.414276566,0.00088595,0.036684912,-0.842314131
USMG5,-1.043104424,5.164726487,-3.411378235,0.000894534,0.036916036,-0.850973823
TM6SF1,-1.199797713,2.286271158,-3.409178187,0.000901102,0.037062698,-0.857543205
PDCL3,-1.53200092,6.17591488,-3.407757771,0.000905366,0.037113962,-0.861782776
TNFAIP2,-2.506655119,3.544161928,-3.40580583,0.000911257,0.037133752,-0.867606486
IDH1,-2.24635875,4.892304952,-3.405597485,0.000911888,0.037133752,-0.868227934
KIAA0922,1.424896489,7.513772793,3.401876651,0.000923224,0.037416062,-0.879321202
KIFC3,-1.683154155,2.569977342,-3.401328546,0.000924905,0.037416062,-0.880954491
OSBP,1.673543,6.723327533,3.399079866,0.000931832,0.037524706,-0.887653067
CAPN14,0.927469764,1.892422219,3.397639947,0.000936293,0.037524706,-0.891940551
NDUFA4,-0.890840047,7.603755229,-3.397494636,0.000936745,0.037524706,-0.892373145
COX17,-1.022880508,5.501810404,-3.391032987,0.000957021,0.03821249,-0.911594511
SEMA3G,0.884119186,1.903090018,3.388911285,0.000963768,0.03835736,-0.917899447
IRAK2,-2.411377921,4.060114769,-3.383567379,0.000980961,0.038915668,-0.933765465
HOMER3,-1.317630696,1.993370483,-3.376903392,0.001002803,0.039654268,-0.953522378
BCAS2,-1.35619697,8.776072669,-3.370148027,0.001025411,0.040379717,-0.973517969
MMP19,-2.626748733,3.483693611,-3.369466994,0.001027716,0.040379717,-0.975531997
UBA52,-0.80034453,7.615197288,-3.36392348,0.001046663,0.040917918,-0.991913607
