gene_name,log2FoldChange,padj
Igsf8,0.493269986,0.012972885
Fancl,0.491933509,0.005646097
Ubiad1,0.491740939,0.000136959
Xpnpep3,0.491377585,0.026361909
Lsm2,0.491322042,0.024957584
Gm6195,0.489131974,0.028915492
Slc29a1,0.489048604,0.012777865
Dut,0.488959474,0.04867136
Bcl2l12,0.488048869,0.02890971
Nmral1,0.487249423,0.030487815
Mcm4,0.487129193,0.041151904
Lmf2,0.486867042,0.000122763
Psma1,0.486584196,0.033896703
Farsb,0.485303784,0.002689267
Cbx3,0.485024554,0.008211678
Hmgb1,0.484823742,0.008390616
Gm6166,0.484666853,0.015832675
0610009O20Rik,0.48346134,0.012905771
Gm5903,0.483452358,0.009856999
Gm6644,0.482768568,0.006015203
Dag1,0.481721812,0.004454419
Pdxk,0.481461445,0.024967111
Pradc1,0.481133226,0.007410061
Siah2,0.480163105,0.010730699
Dna2,0.479720926,0.014501754
Nup37,0.478109077,0.011016828
Ncaph,0.478083525,0.011464546
Chchd6,0.477909022,0.012949909
Bcl7a,0.477771445,0.01313491
Acp1,0.477358878,0.007272911
Pold2,0.47621439,0.011323045
Ncln,0.475664934,0.004326792
Polh,0.475314562,0.024940443
Ribc1,0.474471204,0.037032332
Sgol2a,0.473895509,0.027481794
Gm5127,0.473588232,0.049318013
Letmd1,0.472539651,0.022595389
Gde1,0.469700471,0.002689966
Gm10123,0.46904952,0.00054599
Manbal,0.468948488,6.24E-05
Lrfn4,0.46880967,0.037193212
Tubb4b-ps1,0.468136083,0.027243298
Alg2,0.467227467,0.023227574
Fads2,0.466151421,0.007983782
Angel1,0.465902835,0.047112255
Hist1h2bj,0.463829426,0.00098976
Nle1,0.463563246,0.030330102
Unkl,0.462810864,0.006076329
Zfp652,0.462155248,0.033777468
Hist1h4j,0.461669562,0.019197026
Chtf18,0.460649413,0.04867005
Dclre1a,0.460417648,0.031856812
Ptma,0.460109468,0.002467107
Vegfb,0.459778317,0.046715617
Ficd,0.459192705,0.030296445
Gm12355,0.459080422,0.008280433
Reep4,0.458839745,0.001091939
Ech1,0.45864894,0.011594293
Eif4ebp1,0.458205501,0.000500121
Gtf3a,0.457976017,0.023116479
Med9,0.456948559,0.045794758
Rabac1,0.456837818,0.00277725
Gmds,0.456735191,0.031210367
Ankrd54,0.456589946,0.01243115
Ptp4a1,0.456486612,0.01626568
Rsl1,0.455345558,0.011076318
Atp5d,0.45457586,0.001544267
Id2,0.454514781,8.62E-05
Rpph1,0.454025112,0.010179935
Gm12396,0.453965463,0.017148268
Hist1h2bb,0.452548473,0.010077409
Ccdc85c,0.452133799,0.008042496
Haus4,0.451545516,0.029601592
Dnajc19-ps,0.450935979,0.00311057
Gm21596,0.44952188,0.035107257
Gm10074,0.448120346,0.00777401
Rabl3,0.447618506,0.001845898
Prepl,0.447297562,0.028765175
Rfk,0.446173717,0.000757541
Lag3,0.445099713,0.018872309
Nutf2-ps1,0.445041562,0.042050351
Uhrf1,0.44477939,0.024345748
Mrpl37,0.444728546,0.003767885
Dpy19l3,0.44416339,0.012613464
Gm13127,0.44374956,0.021225643
Gm6419,0.443140414,0.01875605
Cnnm4,0.44310587,0.001106091
Tmem216,0.442274613,0.024412304
Pim2,0.442243546,0.005525826
Btg3,0.44189506,0.001299305
Sema6d,0.441512927,0.01542123
Rps19-ps6,0.438945962,0.00756892
Haus7,0.43881902,0.005202199
Pglyrp2,0.438597055,0.042862416
Birc5,0.438094268,0.020454834
Sh3glb2,0.43743755,0.019606323
Alad,0.437024042,0.00658801
Aurkb,0.436452155,0.027485919
Kntc1,0.435954827,0.035948781
Gm3571,0.434121807,0.016253927
E130012A19Rik,0.434064702,0.009298481
Hmbs,0.433554779,0.012057146
Rab27a,0.433481942,0.002571645
Clpp,0.432346034,0.007555849
Timm50,0.432082965,0.010047056
Gm10241,0.431723841,0.049066614
Dab2ip,0.431057922,0.034533996
Asnsd1,0.430314301,0.004811703
Tcaim,0.428077165,0.023282377
Hyal2,0.427483598,0.045223573
Timm8a1,0.426688482,0.027788622
Edem2,0.42663259,0.029831421
Neu1,0.426456228,0.018608373
Qdpr,0.425821713,0.02687586
Slc35e1,0.425215722,0.002079857
Ftl1,0.424351047,0.000849464
Rnaset2a,0.423537497,0.009364846
Ksr1,0.422790063,0.01166566
Galk1,0.422180607,0.034276657
Mif,0.421707292,0.003325341
Tmem177,0.420502552,0.006756437
Gm8203,0.420327244,0.013695946
Agpat3,0.420050288,0.000837893
Gm16433,0.419971846,0.000462591
Gm6652,0.419814117,0.036120077
Kdelr2,0.419529013,0.00214278
Xrcc6bp1,0.419488842,0.017549704
Pigq,0.419467949,0.000971951
Poc1b,0.419300008,0.000215081
Mfsd5,0.419102454,0.006434149
Abhd11,0.418606483,0.033682185
Aprt,0.418604249,0.044485374
Rps27rt,0.41809011,0.00123053
Hist1h2bk,0.417556614,0.002482382
Dtx2,0.416819686,0.025401168
Tacc3,0.416710394,0.034046744
Phgdh,0.416494569,0.001922144
2510039O18Rik,0.415926083,0.033537563
Psmb3,0.415443886,0.017047418
Asb6,0.415189551,0.010293751
Hist1h4a,0.414456262,0.004500437
Abca2,0.413937111,0.006664668
Gm12565,0.413417135,0.016168393
Adck2,0.413364786,0.028043606
Asb2,0.413186329,0.040830926
Zfp712,0.412982105,0.030843635
Nxn,0.412919606,0.007585768
Gcsh,0.412601059,0.006045502
Emc4,0.412360966,0.034753846
Psmb10,0.412200473,0.018412474
Rps6ka1,0.411969918,3.32E-05
Pigs,0.411031341,0.002039194
Pomt2,0.410945767,0.032814247
Nhp2l1,0.410596323,0.001825858
Cdca2,0.410265814,0.011874047
Hist1h1d,0.410086229,0.001516238
Abhd17a,0.409154625,0.043956868
Cdc45,0.409102531,0.014308785
Lrr1,0.409050218,0.030433699
Mbip,0.40797704,0.042795024
Srm,0.407675458,0.002106088
Gm12138,0.40758582,0.008024181
Cdkn2c,0.407467399,0.029998351
1810055G02Rik,0.406983308,0.004081749
Ints5,0.406598512,0.003177355
Ppp2r4,0.406226793,0.028341757
Eri3,0.405811402,0.035649576
Rpl9-ps4,0.405640741,0.02947754
Gm9625,0.405526105,0.040706025
Csrp2,0.404855784,0.014405906
Pgam1-ps2,0.404076421,0.00108611
Mpzl3,0.403543885,0.044986221
Cdk4,0.403303693,0.042277881
Nudt21,0.402814086,0.006843389
Tprn,0.402378298,0.019015103
Ttll12,0.40205337,9.43E-05
Ero1lb,0.40195746,0.017425143
Ppp1r2-ps4,0.401885312,0.003556075
2700094K13Rik,0.401551365,0.024326763
Fam20a,0.401442057,0.001617176
Ddost,0.40134517,0.009925851
Kif11,0.400883297,0.032872042
Saal1,0.39986202,0.049629482
Lclat1,0.399707242,0.012506087
Gm4604,0.399531634,0.048250518
Spry4,0.399441128,0.002446275
Dolpp1,0.399358413,0.015702622
Sf3b5,0.398086747,0.014917895
Tmbim4,0.397876008,0.006259825
C1qbp,0.39715555,0.046529751
H3f3a,0.39713384,0.000473481
Rbm14,0.395566565,0.030830621
Pmf1,0.39469603,0.014112855
Echdc1,0.394544045,0.031203205
Gm6395,0.39429212,0.013194653
Tusc3,0.394063621,0.037570678
Tmem222,0.39382256,0.047268725
Chpf,0.393656338,0.002391223
Syngr2,0.392690274,0.000783697
Mmd,0.392475247,0.001180132
Ndor1,0.39247197,0.036303456
Tmem41b,0.392137805,0.009718073
Sigmar1,0.391883191,0.004008141
Rttn,0.390857457,0.04241515
Psmb5,0.390708713,0.012352358
Oaz1-ps,0.390708372,0.030959076
Zbed3,0.390694257,0.014360205
2410016O06Rik,0.39038505,0.00649788
Rnpep,0.390193653,0.000799004
Gm10254,0.389952587,0.003280664
Pgam1,0.389377185,0.00040026
2810428I15Rik,0.389116282,0.003888193
Tmem251,0.388590484,0.002040539
Ahcy,0.388564171,0.002252548
E2f6,0.388374835,0.020594857
Pycrl,0.388300433,0.013714891
Cad,0.388258591,0.024282945
Tmem219,0.387762036,0.034403863
Rpa2,0.387702802,0.032895231
Il2rb,0.387673602,0.000968931
Tspan3,0.387647751,0.034054421
Ccp110,0.387367146,0.02560757
Gsto1,0.387205426,0.020165509
Lgals3,0.387164788,0.002899583
Ppp6r2,0.384911739,0.032166749
Gpx1,0.384041856,0.004598025
Gng5,0.383978909,0.02200059
Csrnp2,0.383731106,0.028489692
Gpn3,0.383520635,0.031133581
Alg13,0.383201288,0.006415644
Taf5,0.382494215,0.045105934
Gm13502,0.382327518,0.024342703
Zfp593,0.381709491,0.012927543
Gm15501,0.381608156,0.015028072
Mcm7,0.380989095,0.034824094
Slc35c1,0.38092566,0.033241681
Dus4l,0.380871958,0.016771882
Chaf1b,0.380658161,0.028957939
Zc3hav1l,0.380586856,0.027889761
Vdac3-ps1,0.380457267,0.015687666
Rpl10a-ps1,0.380203272,0.002203805
Gps1,0.380032481,0.047341918
Rab4b,0.379994163,0.015810317
Ndufab1,0.379808234,0.034316681
Plekhj1,0.379255004,0.006234886
Ldha,0.378517893,0.011389244
Gm6472,0.378303682,0.002362724
Rpl18,0.377983809,0.00669284
Mad2l2,0.377262622,0.005826946
Mex3a,0.376943368,0.039043656
Slc9a8,0.376899939,0.001112498
Tmem230,0.376728518,0.033811836
Aqp9,0.376504362,0.044707644
Angel2,0.376199362,0.006973156
Klhl21,0.376183444,0.003901547
Fancf,0.375918149,0.003335259
Klhdc3,0.375796776,0.00127427
Lrwd1,0.375790106,0.001103466
Ubl4a,0.374896844,0.0342086
Rps2-ps10,0.374849933,0.006858287
Nelfe,0.374497491,0.011017037
Guk1,0.374392657,0.011650093
Gm15975,0.373545445,0.002715825
Terc,0.372964852,0.030950666
Spata24,0.372663109,0.037113322
1500011K16Rik,0.372639848,0.022085313
Kansl2-ps,0.372436684,0.032063742
Zfp939,0.372404318,0.019725855
Gm4353,0.371850877,0.047613263
Pim3,0.371063976,0.005801046
Fzr1,0.370229855,0.012377606
Shkbp1,0.37017214,0.016590151
Cbx6,0.369749797,0.002621902
Slc25a25,0.369042966,0.000240415
Trpv2,0.368889338,0.00393468
Psmd3,0.368816006,0.008303816
Rpl23a-ps3,0.368570368,0.010006937
Irf2bpl,0.368184551,0.021120983
Akirin1,0.368146655,0.000839985
Fh1,0.367399488,0.012440452
Gtpbp10,0.367319346,0.029492143
Slc25a1,0.367080023,0.0021221
Carnmt1,0.366870734,0.020672532
Mfng,0.366750787,0.001186782
Gm10221,0.366651734,0.020633902
Anxa2,0.365161302,0.000963407
Sppl2b,0.365019727,0.004912719
Sec24d,0.364347588,0.009704969
Aph1a,0.364269554,0.033195232
St3gal4,0.364188042,0.03044679
Gm4332,0.363929411,0.00693567
Ctnnd2,0.3629761,0.00645937
Ptges2,0.361731589,0.029365776
Pcna-ps2,0.361721884,0.015291134
Thap11,0.361244291,0.006775495
Zfp598,0.36123256,0.010749256
Zfp738,0.361012544,0.012613755
Lzts1,0.36098888,0.036949761
Npepl1,0.360398702,0.030495864
Adamts14,0.360225778,0.021538583
Rhbdd2,0.360060137,0.025926792
Gm5580,0.359558971,0.024834815
Kctd11,0.35818536,0.041291812
Pced1a,0.357847538,0.045971046
Trp53rka,0.357699865,0.036101156
Mrpl38,0.357588455,0.035953181
Wrb,0.356703671,0.016517803
Cdt1,0.356206687,0.001926322
Isca1,0.356183999,0.015113973
Ide,0.356102542,0.00119737
Tango6,0.355926322,0.034476698
Aar2,0.355221542,0.007883716
Ap1g2,0.354672477,0.003478871
Prpf19,0.354282711,0.029638824
D730003I15Rik,0.35397283,0.018079942
Ndufa10,0.353557868,0.022320798
Ptbp1,0.353360759,0.012117295
Med10,0.352531174,0.04493285
Rpl31-ps8,0.352315277,0.02665478
Lfng,0.352305043,0.008757144
Zfp703,0.352236444,0.037797084
Rad51,0.352127418,0.036617659
Lta,0.351737563,0.042333453
Ilk,0.351613795,0.021332632
Amdhd2,0.351552764,0.042392905
Isoc1,0.351351118,0.030882314
Srp9,0.350764659,0.033971131
Mfsd1,0.349792934,0.012405105
Ak3,0.348450617,0.03897868
Lcmt2,0.348382987,0.008636337
Mrps12,0.347895068,0.04300312
Acot8,0.347777072,0.033998313
Sema4a,0.347700942,0.002634764
Desi1,0.347579589,0.015692167
Sdhb,0.34739995,0.02071187
Ankrd10,0.346355905,0.026655901
Tspan31,0.34596087,0.00303849
Hist1h2ac,0.345707157,0.002713219
Ppp2r1a,0.345038487,0.014373542
Clstn1,0.34448362,0.002489505
Lrp5,0.344419599,0.03932231
Glrx5,0.343974056,0.01481806
Gen1,0.343922088,0.008064964
Rcl1,0.343541646,0.013643545
Emb,0.342963046,0.005614573
Mt1,0.342529469,0.004030335
Fadd,0.341934153,0.005875947
Fpgs,0.341384376,0.015956967
Gm13910,0.341374433,0.005323202
Ccne1,0.340147251,0.02695942
Mri1,0.339963835,0.017505381
Gm8430,0.339555669,0.026358888
Cox6a1,0.339039907,0.000775022
Zdhhc7,0.338770273,0.046329365
Nudt1,0.338426107,0.020607192
Glo1,0.338056604,0.025137144
Pgrmc1,0.337824771,0.014420145
Gm6169,0.337747567,0.006515392
Slc25a39,0.337672962,0.007498836
Nfil3,0.337289079,0.038435987
Ndufc2,0.337211904,0.024534521
Spcs1,0.337186114,0.002556887
Wdr92,0.337088311,0.009032846
Med25,0.33699135,0.000734088
Tagln2,0.336456432,0.006151135
Acaca,0.33641557,0.024065596
Tomm40,0.336334977,0.021907298
Serp1,0.336180459,0.000452164
Dvl2,0.335949428,0.040037887
Npm3,0.335942343,0.015147566
Atp11c,0.335910997,0.005488662
Mtbp,0.335791189,0.005075751
Spryd7,0.334883813,0.018029359
Cenpa,0.334856057,0.038029142
Trp53,0.334264495,0.000262271
Hunk,0.334097996,0.048809467
Mrps22,0.333245119,0.001151273
Iqsec1,0.333035593,0.04087754
Fam220a,0.332707076,0.01108923
Exog,0.332370089,0.00148799
Tdg,0.332096251,0.00843825
Trav7-3,0.332049579,0.046844672
Pmpca,0.332030979,0.000884683
Tpt1,0.331737127,0.004369521
Rnf126,0.331136015,0.003170356
Cdk7,0.330979534,0.012640419
Chsy1,0.330603139,0.000430302
Faf1,0.330203221,0.018287132
Hmgn2,0.329731961,0.005536058
Hprt,0.328890159,0.045157739
Cyb5r1,0.328623552,0.014012495
Gm7236,0.328536481,0.032192997
Tgfbr2,0.328455848,0.025530586
Capza1,0.328118176,0.001590328
Hbs1l,0.32779338,0.008570054
Zfp280c,0.326852776,0.027157703
Troap,0.326616222,0.029392998
Trim28,0.325995108,0.003737531
Tfg,0.325681535,0.001628405
Timm17b,0.325668895,0.036005382
Paqr3,0.325324772,0.03401023
Donson,0.325033584,0.000840315
Ptrhd1,0.32499547,0.014521998
Aldh9a1,0.324942422,0.041244111
Mnd1,0.324850373,0.038406736
Gm8822,0.324280889,0.014172567
Gm10232,0.324168075,0.025298066
Snrnp40,0.323990171,0.005239579
Banf1,0.323913144,0.049968737
Pgam5,0.32375467,0.001855076
Set,0.323705185,0.00484514
Mphosph9,0.323154672,0.033259058
Ifitm2,0.322970783,0.038501843
Slc39a14,0.322946094,0.02355532
Tmed2,0.322885929,0.046650081
Got2,0.322760702,0.025441414
Ndufs8,0.322693671,0.027880964
Ppm1j,0.322389467,0.029482779
Lamp2,0.321648314,0.000429915
Ndufv1,0.321387787,0.019115196
Pik3cd,0.320786287,0.015431656
Ppard,0.320459813,0.036830258
Ddx28,0.320426941,0.021285268
Sgta,0.320165399,0.001076009
Scd1,0.319616535,0.031764517
Def8,0.319425316,0.012967624
Snd1,0.319371199,0.00229158
Plp2,0.318223429,0.044393556
1110008F13Rik,0.317936249,0.004962618
Gm10184,0.317929383,0.035103736
S1pr2,0.317569418,0.047451455
Yipf4,0.317423695,0.026338416
Ran,0.317268587,0.030244319
Tob1,0.317090258,0.024187535
Dhcr24,0.317000393,0.022523312
Aco1,0.316858321,0.032879469
Cstf1,0.316780762,0.013651014
Usp5,0.316575666,0.017294615
Wdr6,0.31597003,0.048640709
Sdhc,0.315916164,0.016786918
Emc10,0.315908356,0.011096735
Uqcr10,0.315855591,0.012534796
Spc24,0.315719375,0.018710598
Cdk5,0.315506011,0.042483126
Lmo4,0.315475434,0.014756872
Bcl2a1b,0.315408689,0.049021212
Shmt2,0.315063833,0.002531029
Rpl28,0.314862015,0.045406646
Lmna,0.314689619,0.042967824
Rps26-ps1,0.31417456,0.010328535
Pgk1,0.314014994,0.00631758
Eml3,0.313818828,0.008934813
Nup210,0.313487722,0.010154081
Neto2,0.313424004,0.009219454
Psat1,0.313416358,0.031616377
Suv39h2,0.313329673,0.029408111
Slc25a5,0.313305711,0.009184561
Bmpr1a,0.312936393,0.046042807
Gas2,0.312737537,0.004830735
Sema4d,0.312471063,0.000701817
E2f1,0.312442076,0.02196315
