gene_name,Texterm vs Texprog1,Texterm vs Texprog2,Texterm vs Texint
AW011738,1,1,1
Axl,0,0,1
B3gnt1,-1,-1,0
B3gnt5,-1,-1,-1
B430305J03Rik,0,0,-1
B4galt4,0,1,1
B930041F14Rik,0,1,1
Bag2,-1,-1,0
Baiap2,1,0,0
Baiap3,1,0,0
BC037034,1,1,1
Bcl11b,1,0,0
Bcl2l11,1,1,0
Bcl6,-1,0,0
Bcl7a,0,0,1
Birc5,-1,-1,-1
Bmyc,-1,-1,0
Bora,0,-1,0
Bphl,-1,0,0
Bri3bp,0,-1,0
Brip1,0,-1,0
Bspry,1,0,1
Btbd11,1,1,1
Btbd19,0,1,1
Btf3l4,0,-1,0
Btla,-1,-1,0
Bub1,-1,-1,-1
Bub1b,-1,-1,-1
Bzw2,-1,0,0
C330027C09Rik,0,-1,0
Calhm2,1,1,0
Camkk1,0,1,1
Cap1,1,0,0
Capg,0,-1,0
Capn2,0,0,-1
Car5b,0,-1,-1
Casc5,0,-1,-1
Casp4,-1,0,0
Casp7,1,0,0
Cbx4,0,0,1
Ccdc109b,0,-1,-1
Ccdc126,-1,0,0
Ccdc138,0,-1,0
Ccdc34,0,-1,0
Ccdc64,-1,0,0
Ccdc88c,0,0,-1
Ccdc91,-1,0,0
Ccdc92,0,0,1
Ccl3,1,1,1
Ccl4,1,1,1
Ccl5,1,1,0
Ccna2,-1,-1,-1
Ccnb1,-1,-1,-1
Ccnb2,-1,-1,-1
Ccne1,0,-1,0
Ccne2,0,-1,0
Ccnf,-1,-1,-1
Ccr2,0,0,-1
Ccr5,1,1,0
Ccrl2,1,1,1
Cd101,1,1,1
Cd160,1,1,1
Cd200,-1,0,0
Cd200r1,1,1,1
Cd200r4,1,1,1
Cd226,1,0,0
Cd244,1,1,1
Cd27,0,0,1
Cd28,-1,0,0
Cd2ap,-1,-1,0
Cd38,1,1,1
Cd3e,0,1,0
Cd3g,0,1,1
Cd44,-1,-1,-1
Cd55,0,-1,0
Cd69,0,0,1
Cd7,1,1,1
Cd8a,0,1,0
Cd9,-1,-1,0
Cd97,1,0,0
Cdc14b,0,-1,-1
Cdc20,-1,-1,0
Cdc25b,0,-1,-1
Cdc25c,-1,-1,0
Cdc42ep4,0,-1,-1
Cdc45,0,-1,-1
Cdc6,-1,-1,-1
Cdca2,0,-1,0
Cdca3,-1,-1,-1
Cdca5,-1,-1,-1
Cdca7,-1,-1,0
Cdca8,-1,-1,-1
Cdk1,-1,-1,-1
Cdk2,0,-1,0
Cdk6,1,0,0
Cdkn2d,-1,-1,-1
Cecr5,0,1,0
Cela1,1,1,1
Cenpa,0,-1,-1
Cenpe,-1,-1,-1
Cenpf,-1,-1,-1
Cenph,0,-1,0
Cenpi,0,-1,0
Cenpm,0,-1,0
Cenpt,0,-1,0
Cenpw,0,-1,0
Cep19,-1,-1,0
Cep192,1,0,0
Cep55,-1,-1,-1
Cep83,0,-1,0
Cep85,0,-1,0
Cercam,0,0,-1
Cers4,0,1,0
Chaf1a,0,-1,0
Chek1,0,-1,0
Chn2,1,1,1
Chst12,1,1,0
Chst2,1,1,1
Chtf18,0,-1,0
Cipc,1,1,1
Cisd3,-1,-1,0
Cish,1,1,1
Cit,0,-1,0
Ckap2,-1,-1,-1
Ckap2l,-1,-1,-1
Ckb,1,1,1
Cks1b,-1,-1,-1
Cks2,-1,-1,-1
Cldn25,0,-1,0
Clgn,0,-1,0
Clpb,-1,-1,0
Cmpk1,0,0,-1
Cmpk2,-1,0,0
Cmya5,-1,0,0
Cnrip1,-1,-1,-1
Cntn1,-1,-1,-1
Coro2a,1,1,1
Cpm,-1,-1,0
Cpne3,-1,-1,0
Crebl2,0,1,0
Crim1,1,1,1
Crip2,0,-1,-1
Crmp1,0,-1,0
Crot,1,1,0
Crtam,-1,-1,0
Cry1,0,0,-1
Csf1,1,1,1
Csprs,-1,-1,0
Csrp1,0,-1,0
Cst7,0,1,0
Ctla2a,-1,0,0
Ctla2b,-1,0,0
Ctnna1,-1,-1,0
Ctps,-1,-1,0
Ctsa,0,1,0
Ctsc,1,0,0
Ctsd,1,0,0
Ctss,-1,0,0
Ctsz,-1,-1,0
Cux1,-1,-1,0
Cx3cr1,0,0,-1
Cxcl10,-1,-1,1
Cxcr3,0,0,1
Cxcr4,-1,-1,-1
Cxcr5,-1,-1,0
Cxcr6,1,1,1
Cyp51,0,-1,0
Cysltr2,1,1,1
Cyth3,0,0,1
D1Ertd622e,0,0,-1
D8Ertd82e,1,1,0
Dap3,-1,-1,0
Dapk2,1,1,0
Dbf4,0,-1,0
Dbi,0,-1,0
Dck,0,-1,0
Dctpp1,0,-1,-1
Ddias,0,-1,0
Ddit3,0,1,1
Ddit4,-1,0,0
Ddx1,-1,0,0
Ddx28,1,1,0
Dennd1b,1,0,0
Dennd4c,1,0,0
Dennd5a,1,1,0
Depdc1a,0,-1,-1
Depdc1b,-1,-1,-1
Dera,0,-1,0
Dgkd,1,0,0
Dgkh,1,1,0
Dhfr,0,-1,0
Dhrs1,0,-1,-1
Diap1,1,0,0
Dirc2,0,0,-1
Dkc1,-1,0,0
Dlgap5,-1,-1,0
Dna2,0,-1,0
Dnah8,0,-1,-1
Dnajc15,0,0,-1
Dnajc27,-1,-1,0
Dock5,1,0,0
Dok2,1,0,0
Dpp4,-1,0,0
Dscc1,0,-1,0
Dse,-1,-1,0
Dsn1,0,-1,0
Dstn,0,-1,-1
Dtl,0,-1,0
Dtwd1,-1,0,0
Dtx1,0,1,1
Dtx4,1,1,1
Dus4l,-1,0,0
Dusp2,0,1,0
Dusp4,0,-1,0
Dusp5,1,1,0
Dusp6,1,1,1
Dynll2,1,0,0
E2f1,0,-1,-1
E2f2,0,-1,-1
E2f7,0,-1,0
E2f8,0,-1,-1
Ect2,-1,-1,0
Eepd1,0,-1,0
Efemp2,-1,0,0
Efhd2,0,1,0
Egr1,0,0,1
Ehd3,-1,-1,-1
Eid2,-1,0,0
Eif4e3,1,1,0
Eif4enif1,0,0,1
Elf4,1,0,0
Emb,-1,-1,0
Emc9,-1,-1,0
Eme1,0,-1,0
Emp1,0,-1,-1
Emp3,0,0,-1
Endod1,0,0,-1
Enpp2,-1,-1,0
Enpp4,1,1,0
Enpp5,1,1,1
Entpd1,1,1,0
Epcam,0,0,1
Erbb2ip,1,0,0
Erc1,0,-1,0
Ercc6l,0,-1,0
Ergic1,0,0,1
Erich1,0,-1,-1
Errfi1,0,0,-1
Esco2,0,-1,-1
Etv3,1,1,1
Etv6,-1,0,0
Exo1,0,-1,0
Extl3,1,0,0
Ezh2,-1,-1,0
F2r,1,1,0
F2rl2,1,1,0
F2rl3,0,-1,-1
Faah,-1,-1,0
Fabp5,0,-1,0
Fam101b,0,1,1
Fam102a,1,1,1
Fam102b,0,0,-1
Fam129b,0,-1,-1
Fam160a2,1,1,0
Fam174b,0,0,1
Fam178a,1,0,0
Fam189b,0,1,0
Fam53c,1,0,0
Fam63a,0,0,-1
Fam64a,0,-1,0
Fam69a,0,-1,-1
Fam78a,1,1,1
Fam86,-1,0,0
Fam89a,0,-1,-1
Fanci,0,-1,0
Fas,-1,-1,-1
Fasl,1,1,1
Fbxl2,0,-1,-1
Fbxo31,0,0,-1
Fbxo4,-1,0,-1
Fbxo5,-1,-1,-1
Fgd3,1,0,0
Fgf13,-1,-1,-1
Fgfr1op,-1,-1,0
Fgl2,1,1,0
Fignl1,-1,-1,-1
Fkbp10,0,0,-1
Fkbp2,0,-1,0
Fli1,1,0,0
Flna,0,-1,-1
Flnb,0,0,-1
Folr4,0,1,1
Foxm1,0,-1,0
Foxn3,1,1,0
Frmd4b,1,1,1
Furin,0,1,0
Fzr1,0,-1,0
Gaa,0,0,1
Gadd45b,1,1,1
Gadd45g,-1,-1,0
Galns,0,0,1
Galnt10,0,0,-1
Galnt6,1,0,0
Gas2l3,0,-1,0
Gas7,0,-1,0
Gatsl3,-1,-1,-1
Gbp6,0,1,1
Gbp9,0,0,1
Gca,0,0,1
Gcnt1,0,0,1
Gdf11,1,1,1
Gem,1,1,0
Gemin8,-1,0,0
Gen1,0,-1,0
Gfi1,0,1,1
Gfod1,1,0,0
Ggt1,0,-1,-1
Ggta1,1,0,0
Gins1,0,-1,0
Gins2,0,-1,0
Glcci1,1,1,1
Glipr2,-1,-1,-1
Glrx,1,1,1
Gltscr1l,1,0,0
Gm12185,0,1,1
Gm12216,1,1,0
Gm12250,0,0,1
Gm12253,1,1,1
Gm14446,0,1,0
Gm15280,0,-1,0
Gm17296,0,0,1
Gm2000,-1,-1,0
Gm21994,1,1,0
Gm2a,-1,-1,-1
Gm7609,0,-1,0
Gm8086,0,0,1
Gm9581,0,0,-1
Gmnn,0,-1,0
Gna15,0,-1,-1
Gnaq,-1,-1,-1
Gng2,1,0,1
Gnl3,-1,-1,0
Golm1,0,0,-1
Gp49a,1,1,0
Gpatch4,-1,0,0
Gpd2,1,1,0
Gpr146,0,-1,-1
Gpr18,0,0,1
Gpr183,-1,-1,0
Gpr55,0,1,0
Gpr56,1,1,1
Gpr65,0,1,1
Gprin3,-1,-1,-1
Gpsm1,1,0,0
Gpsm2,-1,-1,0
Gramd1a,1,1,0
Gramd3,-1,-1,-1
Gramd4,-1,-1,-1
Grwd1,-1,0,0
Gse1,1,1,0
Gtf2e2,-1,0,0
Gucd1,0,0,-1
Gzma,1,1,0
Gzmb,1,1,0
Gzmk,1,1,0
H2-Q10,0,-1,-1
H2afx,-1,-1,0
H2afz,-1,-1,-1
H6pd,1,1,0
Haao,0,-1,-1
Haus1,0,-1,0
Havcr2,1,1,0
Hcst,1,1,0
Hdac10,-1,-1,-1
Hdac4,0,1,1
Hdgfrp3,-1,-1,-1
Hells,0,-1,0
Helz2,1,0,0
Herc1,1,0,0
Hexb,0,-1,-1
Hic1,1,1,1
Hid1,1,1,0
Hint1,0,-1,0
Hip1,1,0,0
Hist1h2ae,-1,-1,-1
Hist1h2ap,0,-1,-1
Hivep3,0,1,0
Hjurp,0,-1,0
Hmgb2,0,-1,0
Hmgb3,-1,-1,0
Hmgn1,-1,0,0
Hmgn2,0,-1,0
Hmgn5,0,-1,0
Hmmr,-1,-1,-1
Hn1l,-1,-1,0
Hook1,0,0,1
Hopx,0,0,-1
Hrh2,0,1,0
Hyls1,0,-1,0
I830012O16Rik,-1,0,1
Ica1,1,1,1
Icam1,0,1,0
Icam2,-1,-1,-1
Icmt,1,0,0
Icos,-1,0,0
Id2,1,1,0
Idh1,0,0,-1
Idh2,0,-1,-1
Idi1,0,-1,0
Ids,1,0,0
Ifi204,-1,0,0
Ifi44,-1,0,0
Ifit1,0,0,1
Ifit3,-1,0,1
Ifng,1,1,0
Ifngr1,1,0,0
Ift57,-1,0,0
Ighm,-1,-1,0
Iigp1,-1,0,0
Ikbke,-1,0,0
Il10ra,0,1,0
Il12rb1,1,1,1
Il12rb2,0,0,-1
Il15ra,0,1,1
Il17ra,0,0,-1
Il18r1,0,-1,-1
Il18rap,-1,-1,-1
Il21r,1,1,1
Il6st,0,0,1
Il7r,-1,-1,0
Ildr1,1,1,0
Incenp,0,-1,0
Inpp4a,1,1,0
Inpp4b,0,0,1
Inpp5d,1,1,0
Ipo4,-1,0,0
Iqgap2,0,-1,-1
Iqgap3,0,-1,0
Irak2,1,1,0
Irf1,1,1,0
Itfg3,-1,-1,0
Itgad,1,0,0
Itgam,0,0,-1
Itgav,0,1,0
Itgax,0,0,-1
Itgb1,-1,-1,-1
Itgb7,0,-1,-1
Itih5,1,1,1
Itk,0,1,0
Itpkb,1,0,0
Itpr3,1,0,0
Itpripl2,1,0,0
Jak3,0,0,1
Jdp2,0,0,1
Jrk,0,0,1
Jup,0,0,-1
Kansl1,1,0,0
Kbtbd11,-1,-1,0
Kcna3,1,1,1
Kcnab2,0,0,-1
Kcnip3,-1,-1,0
Kcnk5,1,0,0
Kcnn4,-1,-1,-1
Kdm4a,1,0,0
Khnyn,0,1,1
Kif11,-1,-1,-1
Kif15,0,-1,0
Kif18a,0,-1,0
Kif18b,0,-1,-1
Kif20a,-1,-1,-1
Kif22,-1,-1,-1
Kif23,-1,-1,-1
Kif2c,-1,-1,-1
Kif4,-1,-1,-1
Kifc1,0,-1,0
Klf11,0,0,-1
Klf2,-1,-1,-1
Klf3,-1,-1,-1
Klf8,0,-1,0
Klhdc2,0,-1,0
Klhl25,1,1,0
Klhl6,-1,-1,-1
Klk8,1,1,1
Klra3,0,0,-1
Klrc1,0,0,-1
Klrc2,0,0,-1
Klrd1,0,0,-1
Klre1,0,0,-1
Klrg1,0,0,-1
Klrk1,-1,-1,-1
Knstrn,-1,-1,0
Kntc1,0,-1,0
Kpna2,-1,-1,0
L1cam,1,0,-1
L3mbtl3,1,1,1
Lag3,0,1,1
Lair1,-1,-1,-1
Lamb3,1,0,0
Lamc1,1,0,0
Lancl2,0,-1,0
Lancl3,0,-1,0
Larp1b,-1,-1,0
Lasp1,1,0,0
Lax1,0,1,1
Lcp2,0,1,0
Ldhb,0,0,1
Ldlrap1,-1,-1,-1
Lef1,-1,-1,-1
Lgals1,0,-1,-1
Lgals3,0,-1,-1
Lgalsl,0,1,0
Lig1,0,-1,0
Limk1,1,0,0
Litaf,1,1,1
Lmna,0,-1,0
Lmnb1,0,-1,0
Lmtk2,1,0,0
Lpar6,1,1,1
Lpin1,0,0,-1
Lrrc8a,0,0,-1
Lrrc8b,0,-1,0
Lrrk1,1,1,0
Ltb,0,0,1
Ltv1,-1,0,0
Ly6c2,-1,-1,-1
Ly6e,0,0,1
Ly9,-1,0,0
Lysmd2,-1,0,0
Lyst,1,0,0
Macf1,0,-1,0
Mad2l1,0,-1,0
Magt1,0,0,-1
Malt1,0,0,-1
Man1c1,-1,-1,-1
Map3k4,1,1,0
Map3k8,-1,-1,-1
Mapkapk3,1,0,0
Marcksl1,0,-1,0
Mast3,1,1,0
Matk,0,0,-1
Mbnl3,0,-1,0
Mboat1,-1,-1,0
Mbp,0,0,-1
Mcm10,-1,-1,-1
Mcm2,0,-1,0
Mcm3,0,-1,0
Mcm5,0,-1,0
Mcm6,0,-1,0
Mcm7,0,-1,0
Mcm8,0,-1,0
Mcu,0,0,-1
Mdm1,0,0,-1
Med7,0,1,0
Mef2a,1,0,0
Mef2d,1,0,0
Melk,-1,-1,-1
Metrnl,1,1,0
Mettl1,-1,0,0
Mettl7a1,1,0,0
Mfge8,0,0,-1
Mfhas1,-1,-1,0
Mfsd10,1,0,1
Mgrn1,-1,0,0
Mib2,0,1,0
Mical2,1,1,0
Mid1ip1,0,0,-1
Mis18bp1,0,-1,0
Mki67,0,-1,0
Mnat1,-1,0,0
Mnda,-1,-1,0
Mndal,-1,0,0
Mocos,1,1,0
Mpnd,0,0,-1
Mpp6,0,-1,0
Mprip,1,0,1
Mpzl3,0,-1,0
Mrpl45,-1,0,0
Mrps18b,-1,0,0
Mrps6,-1,0,0
Ms4a4c,-1,-1,0
Msl3l2,-1,-1,0
Mtfr2,0,-1,0
Mthfd1,0,-1,0
Mtmr1,1,0,0
Mtpn,0,0,-1
Mxd4,0,1,0
Myadm,0,-1,-1
Myb,-1,-1,0
Mybl2,0,-1,0
Myc,-1,-1,0
Myo5a,0,-1,0
Myo9b,1,0,0
N4bp1,0,0,-1
Nacc1,1,0,0
Napepld,0,-1,-1
Natd1,0,1,0
Nbn,-1,-1,0
Ncapd2,0,-1,0
Ncapg,0,-1,0
Ncapg2,0,-1,0
Ncaph,-1,-1,-1
Nccrp1,0,-1,-1
Nceh1,1,0,0
Nck2,0,0,-1
Nckap1,0,-1,-1
Ncln,0,0,-1
Ncoa7,-1,0,0
Ndc1,0,-1,0
Ndc80,-1,-1,-1
Ndnf,1,1,0
Ndrg2,0,-1,0
Ndrg4,0,0,-1
Nedd4,1,1,0
Nedd9,1,1,1
Nek2,-1,-1,-1
Nek7,-1,-1,0
Nfatc1,0,1,0
Nfatc3,0,0,-1
Nfic,0,0,-1
Nfkbia,-1,0,0
Nin,1,0,0
Ninj2,-1,0,0
Nipal3,0,0,-1
Nit2,-1,0,0
Nkg7,1,1,0
Nlk,0,1,0
Nmb,0,1,0
Nme7,-1,0,0
Nmral1,0,-1,0
Nop16,-1,0,0
Nop58,-1,0,0
Nptn,0,0,-1
Nqo2,0,0,-1
Nr1d2,1,1,0
Nr2c1,-1,-1,0
Nr4a2,0,1,1
Nrm,-1,-1,-1
Nrp1,-1,-1,0
Nt5c,-1,-1,-1
Nt5e,-1,-1,0
Nudcd1,-1,0,0
Nuf2,-1,-1,-1
Nufip2,1,0,0
Nup93,0,-1,0
Nusap1,-1,-1,-1
Nutf2-ps1,0,-1,0
Oasl1,0,0,1
Oasl2,-1,0,0
Ociad2,0,0,1
Ogfrl1,-1,-1,0
Oip5,0,-1,0
Orc6,0,-1,0
Osbpl3,1,0,0
Pacs1,1,0,0
Pacsin1,0,1,1
Padi2,1,1,1
Pak4,1,1,0
Pald1,0,0,-1
Palm,-1,0,0
Paqr4,0,-1,-1
Parp3,-1,0,0
Parpbp,-1,-1,-1
Pask,0,-1,-1
Pbdc1,0,-1,0
Pbk,-1,-1,-1
Pcna,0,-1,0
Pdcd1,1,1,1
Pde2a,0,0,-1
Pde3b,1,1,0
Pde4b,1,1,1
Pde4d,0,1,0
Pde7a,1,1,1
Pdgfb,1,1,1
Pdk1,0,0,1
Pdlim1,-1,-1,-1
Pea15a,0,0,-1
Peak1,1,1,0
Pecam1,-1,-1,0
Pelo,1,1,1
Pgam1-ps2,0,0,1
Pglyrp2,1,1,1
Phf1,1,1,0
Phf11c,-1,0,0
Phf13,0,-1,-1
Piezo1,0,0,-1
Piga,0,-1,0
Pik3ap1,1,1,1
Pik3cd,1,0,0
Pik3cg,1,0,0
Pik3ip1,-1,0,0
Pik3r5,0,0,-1
Pitpnc1,1,1,0
Pitpnm2,1,0,0
Pkp4,-1,0,0
Plac8,0,0,1
Plcg1,1,1,0
Plcxd1,0,1,1
Plcxd2,1,0,0
Plec,0,-1,-1
Plek,0,-1,-1
Plekha1,0,1,0
Plekhf1,1,1,1
Plekhg5,0,0,-1
Plin3,-1,-1,-1
Plk1,-1,-1,0
Plk3,0,0,1
Plk4,0,-1,0
Plp2,0,-1,-1
Plscr3,-1,0,0
Plscr4,0,0,-1
Plxnc1,-1,-1,-1
Pmaip1,0,0,-1
Pmf1,0,-1,0
Pmm1,0,-1,0
Pogk,0,-1,-1
Poglut1,-1,-1,0
Pola1,0,-1,0
Pold1,0,-1,0
Pole,0,-1,-1
Popdc2,-1,-1,-1
Pou2f2,-1,-1,0
Ppa1,-1,-1,0
Ppap2c,0,0,-1
Ppil1,0,-1,0
Ppp1r14b,-1,-1,0
Ppp1r16b,1,1,1
Prc1,0,-1,0
Prdm1,1,1,0
Prex1,1,0,0
Prf1,1,1,0
Prim1,0,-1,0
Prim2,0,-1,0
Prkag2,0,-1,-1
Prkch,0,1,0
Prmt2,0,1,1
Prr5l,0,0,-1
Prss16,0,-1,0
Prune,0,0,-1
Psat1,0,-1,0
Psd4,1,1,0
Psen2,-1,0,0
Psmc3ip,0,-1,0
Psmg1,-1,0,0
Ptger4,1,1,1
Ptk2b,0,1,0
Ptpn4,1,1,0
Ptpn6,-1,-1,0
Ptpn9,0,0,1
Pus7,-1,-1,0
Pxylp1,0,0,-1
Pycard,0,-1,-1
Qprt,0,0,-1
Qsox1,1,0,0
Qtrt1,0,-1,0
Rab11fip1,1,1,0
Rab11fip4,1,0,0
Rab23,-1,0,0
Rab32,-1,-1,0
Racgap1,0,-1,-1
Rad51,0,-1,-1
Rad51ap1,-1,-1,-1
Rad54b,0,-1,-1
Rad54l,-1,-1,-1
Ralgapb,1,0,0
Rap1b,0,0,-1
Rap1gap2,0,0,-1
Rap2a,0,-1,-1
Rap2b,0,0,-1
Rapgef2,1,0,0
Rara,0,-1,-1
Rarg,0,-1,-1
Rars2,-1,0,0
Rasa3,0,-1,-1
Rasgrp2,0,-1,-1
Rassf3,0,-1,-1
Rbbp8,0,-1,0
Rcc1,0,-1,0
Rcl1,-1,0,0
Rcn1,0,1,0
Rcsd1,0,-1,0
Rdh10,1,1,0
Reck,-1,-1,-1
Reep5,0,0,-1
Relb,0,0,1
Rell1,0,0,-1
Ret,1,1,1
Rexo2,-1,-1,0
Rfc4,0,-1,0
Rftn1,1,0,1
Rgs1,1,1,1
Rgs3,1,1,1
Ric1,1,0,0
Rmi2,-1,-1,0
Rnaseh2b,0,-1,0
Rnaset2b,0,1,0
Rnf130,0,1,0
Rnf138,0,-1,0
Rnf144a,0,-1,-1
Rnf149,1,1,0
Rom1,0,-1,-1
Rpf2,-1,0,0
Rpl15,-1,-1,0
Rpl35,-1,0,0
Rps6ka1,1,1,0
Rras2,1,0,0
Rrm1,0,-1,0
Rrm2,-1,-1,-1
Rrp12,0,-1,0
Rrp15,-1,0,0
Rsph3a,-1,0,0
Rtn4rl1,1,1,0
Rundc3b,1,1,1
Runx1,1,0,0
Runx3,1,1,0
S100a10,0,0,-1
S100a4,0,0,-1
S1pr1,-1,-1,-1
S1pr4,0,0,-1
S1pr5,0,0,-1
Samd10,0,0,1
Samd3,-1,-1,0
Samsn1,0,1,0
Sap130,1,0,0
Sapcd2,0,-1,0
Satb1,-1,-1,0
Sav1,0,0,-1
Sbk1,-1,-1,-1
Scarb1,-1,-1,0
Scd2,0,-1,0
Scly,0,0,1
Scml4,-1,-1,0
Scpep1,-1,-1,0
Scrib,0,1,0
Sell,-1,-1,0
Sema4a,1,0,0
Sema4f,0,-1,-1
Sepn1,1,1,1
11-Sep,0,-1,-1
4-Sep,1,1,1
Serpina3f,0,1,1
Serpina3g,0,1,1
Serpinb6b,1,1,0
Serpinb9,1,0,0
Serpini1,0,0,-1
Sesn1,0,0,1
Setx,0,-1,-1
Sfxn3,0,0,-1
Sgk1,0,-1,-1
Sgms1,0,-1,0
Sgol1,-1,-1,-1
Sgol2,-1,-1,0
Sh2b3,-1,-1,0
Sh2d2a,1,1,1
Sh2d3c,1,1,0
Sh3bp2,1,1,0
Sh3bp5,-1,-1,0
Sh3d19,0,1,0
Shcbp1,-1,-1,-1
Shmt1,-1,-1,0
Sidt1,-1,-1,0
Sigmar1,-1,-1,0
Sike1,0,-1,-1
Ska3,0,-1,0
Slamf1,1,1,0
Slamf6,-1,-1,0
Slc16a1,-1,-1,0
Slc16a6,1,1,1
Slc17a9,0,-1,-1
Slc22a15,1,1,1
Slc25a10,0,0,1
Slc25a13,0,-1,0
Slc25a24,0,0,-1
Slc25a33,-1,-1,-1
Slc25a4,-1,0,0
Slc25a40,0,0,-1
Slc25a53,1,1,0
Slc28a2,0,1,0
Slc2a8,0,1,0
Slc35d2,0,0,-1
Slc36a1,1,1,1
Slc39a11,-1,-1,0
Slc39a6,1,1,1
Slc41a1,0,1,0
Slc43a3,0,-1,0
Slc45a4,0,1,1
Slc7a5,0,-1,0
Slc9a7,-1,-1,-1
Slco3a1,-1,-1,-1
Slco4a1,0,0,1
Slfn5,-1,-1,0
Slfn9,0,-1,0
Slx4,1,0,0
Smad1,-1,0,0
Smad3,1,0,0
Smad7,1,1,0
Smc2,0,-1,0
Smpd2,0,0,-1
Smpd5,0,1,0
Smpdl3b,0,0,-1
Smtn,0,-1,-1
Smyd2,-1,-1,0
Smyd5,-1,0,0
Snai3,1,1,1
Snx10,0,0,-1
Snx30,-1,-1,0
Snx33,0,1,0
Soat2,1,1,1
Socs1,-1,0,1
Socs3,0,0,1
Sorl1,1,0,0
Spag5,0,-1,0
Spc24,-1,-1,-1
Spc25,-1,-1,-1
Spdl1,-1,-1,0
Spice1,-1,-1,-1
Spin2c,0,1,1
Spint2,0,0,1
Spn,0,0,-1
Spock2,-1,-1,0
Sptan1,0,0,-1
Sptbn1,0,-1,0
Sqle,0,-1,0
Srbd1,1,1,1
Srm,-1,-1,0
Srpk2,0,0,-1
Ssbp2,0,0,1
Ssh1,0,0,-1
Ssh2,0,-1,0
Ssx2ip,-1,-1,0
St14,1,1,1
St3gal3,1,1,0
St7,-1,0,0
Stard10,0,0,-1
Stat1,0,0,1
Steap3,0,-1,-1
Stil,0,-1,0
Stk38,0,0,-1
Stmn1,-1,-1,-1
Strbp,-1,0,0
Stx2,0,-1,-1
Suco,1,0,0
Sun1,0,-1,-1
Supt3,-1,0,0
Susd2,0,1,1
Susd3,1,1,0
Suv39h1,0,-1,0
Suv39h2,0,-1,0
Syce2,0,-1,0
Syne2,1,1,1
Syngr3,0,0,-1
Sytl1,1,1,0
Sytl2,1,1,0
Tacc3,-1,-1,-1
Taf4b,-1,-1,0
Tagln2,-1,-1,-1
Tank,-1,0,0
Tapbpl,0,1,1
