gene_name,Texprog1 vs Texprog2,Texprog1 vs Texint,Texprog1 vs Texterm
Npm3,0,-1,0
Nptn,0,-1,0
Nqo2,-1,-1,0
Nr1d2,0,-1,-1
Nr2c1,0,0,1
Nrm,-1,0,1
Nrp1,0,0,1
Nt5c,0,0,1
Nt5e,0,1,1
Nudcd1,0,0,1
Nuf2,-1,0,1
Nufip2,0,-1,-1
Nup210,0,-1,0
Nusap1,-1,0,1
Oas1a,0,1,0
Oas3,0,1,0
Oasl1,0,1,0
Oasl2,0,1,1
Osbpl3,0,-1,-1
Osbpl8,0,-1,0
Pacs1,0,-1,-1
Pacsin1,1,1,0
Pacsin2,-1,0,0
Padi2,0,0,-1
Pak4,0,0,-1
Pald1,0,-1,0
Pank1,0,1,0
Paqr4,-1,-1,0
Parp12,0,1,0
Parp3,0,0,1
Parpbp,0,0,1
Pask,-1,0,0
Pbk,-1,0,1
Pcca,0,1,0
PCDHGB6,-1,-1,0
Pcna,-1,0,0
Pcnxl3,0,-1,0
Pdcd1,0,0,-1
Pde3b,0,0,-1
Pde4a,0,-1,0
Pde4b,0,0,-1
Pde7a,0,0,-1
Pdgfb,1,0,-1
Pdk1,0,1,0
Pdk2,1,1,0
Pdlim1,0,0,1
Pdlim5,0,-1,0
Pea15a,0,-1,0
Peak1,0,0,-1
Pecam1,0,1,1
Pelo,0,0,-1
Pgam1-ps2,0,1,0
Pglyrp2,0,0,-1
Phf1,0,0,-1
Phf11c,0,1,1
Phf13,0,-1,0
Pik3ap1,0,0,-1
Pik3cd,0,-1,-1
Pik3cg,0,-1,-1
Pik3ip1,0,1,1
Pik3r1,0,-1,0
Pik3r5,0,-1,0
Pim2,0,1,0
Pitpnc1,0,0,-1
Pitpnm2,0,0,-1
Pitrm1,0,1,0
Pkdcc,0,1,0
Pkp4,1,1,1
Plcg1,0,-1,-1
Plcxd2,0,0,-1
Plek,0,-1,0
Plekhf1,0,-1,-1
Plin3,0,0,1
Plk1,-1,0,1
Plscr3,0,1,0
Plxnc1,0,1,1
Pmaip1,0,-1,0
Pmm1,-1,0,0
Pogk,0,-1,0
Poglut1,0,0,1
Pola1,-1,0,0
Pomk,0,1,0
Popdc2,0,0,1
Pou2f2,0,0,1
Pou6f1,0,1,0
Ppa1,0,1,1
Ppan,0,1,0
Ppm1j,0,-1,0
Ppp1r14b,0,0,1
Ppp1r16a,0,1,0
Ppp1r16b,0,0,-1
Prc1,-1,0,0
Prdm1,-1,-1,-1
Prelid2,0,1,0
Prex1,0,-1,-1
Prf1,0,0,-1
Prim1,-1,0,0
Prkd3,0,-1,0
Prkx,0,-1,0
Prr5l,0,-1,0
Prune,0,-1,0
Psap,0,-1,0
Psd4,0,0,-1
Psen2,0,1,1
Psmg1,0,0,1
Ptch1,0,-1,0
Ptger2,1,1,0
Ptger4,0,0,-1
Ptplad1,0,1,0
Ptpn4,0,-1,-1
Ptpn6,0,1,1
Pus7,0,1,1
Pxylp1,0,-1,0
Pycard,-1,-1,0
Qsox1,0,0,-1
Rab11fip1,0,0,-1
Rab11fip4,0,-1,-1
Rab23,0,0,1
Rab32,0,0,1
Rab5b,0,-1,0
Racgap1,0,-1,0
Rad51,-1,0,0
Rad51ap1,-1,0,0
Rad54b,-1,0,0
Rad54l,-1,0,1
Ralgapb,0,-1,0
Raly,-1,-1,0
Rap1b,0,-1,0
Rap1gap2,0,-1,0
Rap2a,0,-1,0
Rapgef2,0,-1,-1
Rara,0,-1,0
Rars2,0,1,1
Rasgrp2,-1,-1,0
Rcc1,-1,0,0
Rcl1,0,1,0
Rdh10,0,0,-1
Reck,0,0,1
Reep5,0,-1,0
Relb,1,1,0
Rell1,0,-1,0
Ret,0,0,-1
Rexo2,0,0,1
Rftn1,0,0,-1
Rgs1,1,1,-1
Rgs3,0,0,-1
Rhbdf2,0,-1,0
Ric1,0,0,-1
Ripk2,0,1,0
Rmi2,0,0,1
Rmnd5a,0,-1,0
Rnf144a,-1,0,0
Rnf149,0,0,-1
Rnf157,0,1,0
Rnf213,0,1,0
Rnf216,0,-1,0
Rom1,-1,-1,0
Rpl35,0,0,1
Rps6ka1,0,0,-1
Rptor,0,-1,0
Rras2,0,0,-1
Rrm1,-1,0,0
Rrm2,-1,0,1
Rrp15,0,1,1
Rtel1,-1,0,0
Rtn4rl1,0,-1,-1
Rundc3b,0,0,-1
Runx1,-1,-1,-1
Runx3,0,0,-1
Ruvbl1,0,1,0
Ruvbl2,0,1,0
S100a10,0,-1,0
S100a13,0,-1,0
S100a4,-1,-1,0
S100a6,0,-1,0
S1pr1,-1,-1,1
S1pr4,0,-1,0
S1pr5,0,-1,0
Saal1,0,1,0
Samd3,1,1,1
Sap130,0,0,-1
Sapcd2,-1,0,0
Satb1,0,1,1
Sbf1,0,-1,0
Sbk1,0,-1,1
Scml4,0,0,1
Scpep1,0,0,1
Scrn2,0,1,0
Sdr39u1,0,1,0
Sec22a,0,1,0
Sell,0,1,1
Sema4a,0,-1,-1
Sema4f,0,-1,0
Sepn1,0,0,-1
11-Sep,-1,-1,0
4-Sep,0,0,-1
Serpina3f,1,1,0
Serpina3g,0,1,0
Serpinb6b,0,0,-1
Serpinb9,0,-1,-1
Serpini1,0,-1,0
Sgk1,0,-1,0
Sgol1,-1,0,1
Sh2b3,0,1,1
Sh2d2a,0,0,-1
Sh2d3c,0,0,-1
Sh3bp2,0,0,-1
Sh3bp5,0,0,1
Shcbp1,-1,0,1
Shisa5,0,1,0
Shmt1,0,1,1
Sidt1,0,1,1
Sigmar1,0,0,1
Sike1,0,-1,0
Ska3,-1,0,0
Slamf1,0,-1,-1
Slamf6,0,1,1
Slc12a6,0,-1,0
Slc16a1,0,0,1
Slc16a6,0,0,-1
Slc20a1,0,-1,0
Slc22a15,0,0,-1
Slc25a24,0,-1,0
Slc25a33,0,0,1
Slc25a4,0,0,1
Slc25a53,0,-1,-1
Slc26a11,0,1,0
Slc27a4,0,-1,0
Slc2a3,0,-1,0
Slc36a1,0,0,-1
Slc39a11,0,1,1
Slc39a6,0,0,-1
Slc39a9,0,-1,0
Slc52a3,0,-1,0
Slc9a7,0,0,1
Slco3a1,0,0,1
Slfn5,0,1,1
Slfn8,0,1,0
Slx4,0,0,-1
Smad1,0,1,1
Smad3,0,-1,-1
Smad7,0,0,-1
Smpdl3b,0,-1,0
Smtn,-1,0,0
Smyd2,0,1,1
Smyd5,0,1,1
Snai3,0,0,-1
Snx10,0,-1,0
Snx18,0,-1,0
Soat2,0,0,-1
Socs1,1,1,1
Socs3,0,1,0
Sord,-1,-1,0
Sorl1,0,0,-1
Sp1,-1,0,0
Spag5,-1,0,0
Spata13,0,-1,0
Spc24,-1,0,1
Spc25,-1,0,1
Spdl1,0,0,1
Spice1,0,0,1
Spin2c,0,1,0
Spint2,0,1,0
Spn,0,-1,0
Spock2,0,1,1
Sppl2a,0,-1,0
Sptan1,-1,-1,0
Sptbn1,-1,0,0
Srbd1,0,0,-1
Srm,0,1,1
Ssbp2,0,1,0
Ssx2ip,0,1,1
St14,0,1,-1
St3gal3,0,0,-1
St3gal4,0,-1,0
St7,0,1,1
Stard10,0,-1,0
Stat1,0,1,0
Stil,-1,0,0
Stim1,0,-1,0
Stim2,0,1,0
Stk24,0,-1,0
Stmn1,-1,0,1
Strbp,0,1,1
Stx2,0,-1,0
Stx6,0,1,0
Suco,0,0,-1
Sun1,0,-1,0
Suox,0,-1,0
Susd2,0,1,0
Susd3,0,0,-1
Syne2,0,1,-1
Syngr3,-1,-1,0
Synj2,0,1,0
Synpo,0,1,0
Sytl1,0,-1,-1
Sytl2,-1,-1,-1
Tacc3,-1,0,1
Taf4b,0,0,1
Tagln2,0,0,1
Tank,0,0,1
Tax1bp3,0,-1,0
Tbc1d2,-1,-1,0
Tbc1d2b,0,0,-1
Tbkbp1,0,-1,0
Tbx21,0,-1,0
Tbxa2r,0,0,1
Tcf19,-1,0,1
Tcf7,0,1,1
Tcrg-C1,0,0,-1
Tcrg-C2,0,0,-1
Tcrg-C4,0,1,0
Tdp1,0,1,1
Tdrd7,0,1,0
Tef,0,-1,-1
Tespa1,0,1,0
Tgif1,0,1,1
Tgif2,0,1,0
Tgtp1,1,1,0
Thada,0,1,0
Thoc6,0,0,1
Thumpd2,0,1,0
Timm8a1,0,0,1
Timp2,0,0,1
Tk1,-1,0,1
Tm6sf1,0,-1,0
Tmem135,0,0,-1
Tmem140,0,0,-1
Tmem163,0,-1,0
Tmem237,0,0,1
Tmem238,0,0,1
Tmem37,0,-1,0
Tmem71,0,-1,0
Tmlhe,0,1,1
Tmtc4,0,0,-1
Tnfaip8,0,1,0
Tnfaip8l1,0,0,1
Tnfrsf1a,0,0,-1
Tnfrsf1b,0,0,-1
Tnfrsf22,0,0,1
Tnfrsf25,0,0,1
Tnfrsf8,0,0,1
Tnfrsf9,0,1,0
Tnfsf10,0,0,-1
Tnfsf4,1,1,1
Tnfsf8,0,1,1
Tnip1,0,1,1
Tnk2,0,0,-1
Top1mt,0,1,1
Top2a,-1,0,1
Tor3a,0,1,0
Tox2,0,1,0
Tpd52,0,1,1
Tpi1,0,0,1
Tpm4,0,0,1
Tppp3,0,-1,0
Tpx2,-1,0,1
Traf1,0,1,1
Trafd1,0,1,0
Trappc10,-1,-1,-1
Trgv2,0,0,-1
Trim12a,0,1,0
Trim36,0,0,-1
Trip13,-1,0,0
Trmt61a,0,1,0
Trp53inp1,0,-1,0
Tsc22d4,0,0,-1
Tspan13,0,1,0
Tspan2,0,-1,0
Tspan3,0,1,0
Tspan31,0,1,1
Tspan32,0,0,1
Tsr1,0,1,0
Ttc27,0,1,1
Ttc7,0,-1,0
Ttk,-1,0,1
Tuba1c,-1,0,0
Txk,0,-1,0
Txnip,0,-1,0
Tyms,-1,0,0
Ube2c,0,0,1
Ube2s,-1,0,0
Ube4b,0,-1,0
Ubr1,0,0,-1
Uck2,0,0,1
Ugcg,0,-1,-1
Uhmk1,0,-1,0
Uhrf1,-1,0,1
Uhrf1bp1l,0,0,1
Ulk2,0,-1,0
Usp18,0,1,1
Usp20,0,-1,-1
Usp33,0,0,1
Utp14a,0,0,1
Vamp3,0,-1,0
Vars,0,1,0
Vim,-1,-1,0
Vps37b,0,0,-1
Vps37c,0,0,-1
Vwa5a,0,1,0
Wbp1,0,0,-1
Wbp1l,0,-1,0
Wdfy1,0,0,1
Wdhd1,-1,0,0
Wdr12,0,0,1
Wdr4,0,1,1
Wdr43,0,1,0
Wdr46,0,1,0
Wdr7,0,-1,0
Wdr82,0,-1,0
Xndc1,-1,0,0
Xrcc5,0,1,0
Xylt2,0,1,0
Yeats4,0,0,1
Zbed4,-1,0,0
Zbtb20,0,1,0
Zbtb32,0,0,1
Zbtb38,0,0,-1
Zc3h12d,0,1,1
Zdhhc13,0,1,1
Zdhhc2,0,0,1
Zeb2,0,-1,0
Zfp26,-1,-1,-1
Zfp287,0,0,-1
Zfp36l1,0,1,1
Zfp422,0,0,1
Zfp652,0,0,-1
Zfp831,0,0,-1
Zfp874b,0,-1,0
Zfyve26,0,-1,0
Zwint,0,1,0
Zyx,0,-1,0
