gene_name,Texint vs Texprog1,Texint vs Texprog2,Texint vs Texterm
Depdc1b,0,-1,1
Dgkq,0,1,0
Dhfr,0,-1,0
Dhrs1,0,0,1
Dhx58,-1,0,0
Diap1,1,0,0
Dirc2,0,0,1
Dkc1,-1,0,0
Dlgap5,0,-1,0
Dnah8,0,0,1
Dnajb14,0,1,0
Dnajc15,1,0,1
Dnmt1,1,0,0
Dock11,1,0,0
Dock5,1,1,0
Dpp4,-1,-1,0
Dpysl2,1,0,0
Dscc1,0,-1,0
Dstn,0,0,1
Dtl,0,-1,0
Dtwd1,-1,0,0
Dtx1,0,0,-1
Dtx4,0,0,-1
Dusp4,0,-1,0
Dusp5,1,1,0
Dusp6,-1,0,-1
E2f1,0,0,1
E2f2,0,0,1
E2f8,0,-1,1
Ect2,0,-1,0
Eepd1,0,-1,0
Egr1,-1,0,-1
Ehd3,0,0,1
Eid2,-1,0,0
Eif2b3,-1,0,0
Eif4enif1,0,0,-1
Elf4,1,0,0
Emb,-1,-1,0
Eme1,0,-1,0
Emp1,1,1,1
Emp3,1,0,1
Endod1,1,0,1
Enpp2,-1,-1,0
Enpp5,0,0,-1
Entpd1,1,1,0
Entpd5,0,-1,0
Epcam,-1,-1,-1
Erbb2ip,1,0,0
Ercc6l,0,-1,0
Ercc6l2,-1,0,0
Ergic1,0,0,-1
Erich1,0,0,1
Ern1,1,0,0
Errfi1,0,0,1
Esco2,0,-1,1
Esyt1,1,0,0
Etv3,0,0,-1
Etv6,-1,0,0
Evl,-1,0,0
Exo1,0,-1,0
Ext1,-1,0,0
F2r,1,1,0
F2rl2,1,1,0
F2rl3,1,0,1
Faah,-1,0,0
Fam101b,-1,-1,-1
Fam102a,0,0,-1
Fam102b,1,0,1
Fam117b,1,0,0
Fam129b,0,0,1
Fam134b,0,-1,0
Fam134c,1,0,0
Fam174b,-1,0,-1
Fam53c,1,0,0
Fam60a,-1,0,0
Fam63a,1,0,1
Fam69a,0,0,1
Fam78a,0,0,-1
Fam89a,0,0,1
Fanci,0,-1,0
Fas,0,0,1
Fasl,1,1,-1
Fbxl2,1,0,1
Fbxo31,1,1,1
Fbxo4,0,0,1
Fbxo5,0,-1,1
Fchsd2,-1,-1,0
Fdps,0,-1,0
Fen1,0,-1,0
Fgf13,0,0,1
Fgfr1op,-1,-1,0
Fgl2,1,1,0
Fignl1,0,-1,1
Filip1l,-1,0,0
Fkbp10,1,1,1
Flna,1,0,1
Flnb,1,0,1
Folr4,-1,0,-1
Foxj2,1,0,0
Fpgs,-1,0,0
Frmd4b,0,0,-1
Frmd6,1,0,0
Fundc1,-1,0,0
Fzr1,0,-1,0
Gaa,-1,0,-1
Gadd45b,0,0,-1
Gadd45g,-1,0,0
Galns,0,0,-1
Galnt10,1,0,1
Gatsl3,0,0,1
Gbp4,-1,0,0
Gbp6,-1,-1,-1
Gbp9,-1,0,-1
Gca,0,0,-1
Gcnt1,0,-1,-1
Gdf11,0,0,-1
Gfi1,0,0,-1
Gfod1,1,0,0
Ggt1,0,0,1
Gins1,0,-1,0
Gins2,0,-1,0
Glcci1,0,0,-1
Glipr2,1,0,1
Glrx,0,0,-1
Gltscr1l,1,0,0
Gm10184,0,-1,0
Gm12185,-1,-1,-1
Gm12250,-1,0,-1
Gm12253,0,0,-1
Gm17296,0,0,-1
Gm2a,0,0,1
Gm5595,0,-1,0
Gm8086,0,0,-1
Gm9581,0,0,1
Gmnn,0,-1,0
Gna15,1,0,1
Gnaq,0,0,1
Gng2,0,0,-1
Gnl2,-1,0,0
Gnl3,-1,-1,0
Gns,1,1,0
Golm1,1,0,1
Gpatch4,-1,0,0
Gpd2,1,0,0
Gpr133,-1,0,0
Gpr146,0,0,1
Gpr18,-1,-1,-1
Gpr183,-1,-1,0
Gpr55,0,1,0
Gpr56,1,1,-1
Gpr65,0,0,-1
Gpr68,1,1,0
Gprin3,0,0,1
Gpsm2,0,-1,0
Gramd3,-1,0,1
Gramd4,0,0,1
Grwd1,-1,-1,0
Gsap,1,1,0
Gse1,1,0,0
Gtf2i,1,1,0
Gucd1,0,0,1
Gzma,1,1,0
Gzmb,1,1,0
H2-Q10,0,0,1
H2afx,0,-1,0
H2afz,0,0,1
Haao,0,0,1
Havcr2,1,1,0
Hcst,0,1,0
Hdac10,0,0,1
Hdac4,0,0,-1
Hdac5,1,0,0
Hdgfrp3,0,0,1
Hells,0,-1,0
Herc1,1,0,0
Herc6,-1,0,0
Hexb,0,0,1
Hgsnat,-1,0,0
Hiatl1,1,1,0
Hic1,0,0,-1
Hid1,1,1,0
Hif1a,-1,0,0
Hip1,1,0,0
Hist1h2ae,0,-1,1
Hist1h2ap,0,-1,1
Hmgb2,0,-1,0
Hmgb3,-1,-1,0
Hmmr,0,-1,1
Hn1l,0,-1,0
Hnrnpul2,1,0,0
Hook1,-1,-1,-1
Hopx,0,1,1
Hs3st3b1,1,1,0
Hsh2d,-1,0,0
Hspa5,-1,0,0
Hspa9,-1,0,0
Hvcn1,-1,0,0
I830012O16Rik,-1,-1,-1
Ica1,0,0,-1
Icam2,0,0,1
Icmt,1,0,0
Icos,-1,0,0
Id2,1,1,0
Idh1,0,0,1
Idh2,0,0,1
Ids,1,0,0
Ifi204,-1,-1,0
Ifi44,-1,-1,0
Ifih1,-1,0,0
Ifit1,-1,-1,-1
Ifit3,-1,-1,-1
Ifitm10,1,1,0
Ifng,0,1,0
Ifngr1,1,1,0
Ift57,-1,0,0
Igf2r,1,0,0
Ighm,-1,-1,0
Igtp,-1,0,0
Iigp1,-1,-1,0
Ikbke,-1,0,0
Il12rb1,0,0,-1
Il12rb2,1,1,1
Il15ra,0,0,-1
Il17ra,0,0,1
Il18r1,1,0,1
Il18rap,1,1,1
Il21r,0,0,-1
Il6st,0,0,-1
Il7r,-1,-1,0
Impa2,0,-1,0
Inadl,-1,-1,0
Incenp,0,-1,0
Inpp4b,-1,0,-1
Iqgap2,1,0,1
Irf7,-1,0,0
Isg15,-1,0,0
Isoc1,-1,0,0
Itga6,1,0,0
Itgad,1,0,0
Itgam,1,1,1
Itgax,1,1,1
Itgb1,0,0,1
Itgb3,1,0,0
Itgb7,0,0,1
Itih5,0,0,-1
Jak3,0,0,-1
Jdp2,0,0,-1
Jrk,0,0,-1
Jup,1,1,1
Kansl2-ps,-1,0,0
Kbtbd11,-1,-1,0
Kcna3,0,0,-1
Kcnab2,1,0,1
Kcnip3,-1,-1,0
Kcnk5,1,0,0
Kcnn4,0,0,1
Kdm4a,1,0,0
Khnyn,0,0,-1
Kif11,0,-1,1
Kif15,0,-1,0
Kif18a,0,-1,0
Kif18b,0,0,1
Kif20a,0,-1,1
Kif21b,1,0,0
Kif22,0,-1,1
Kif23,0,-1,1
Kif2c,0,-1,1
Kif4,0,-1,1
Klf11,0,0,1
Klf2,1,1,1
Klf3,1,1,1
Klhl28,1,0,0
Klhl6,0,0,1
Klk8,0,0,-1
Klra3,1,1,1
Klrc1,1,1,1
Klrc2,1,1,1
Klrd1,1,1,1
Klre1,1,1,1
Klrg1,1,1,1
Klrk1,1,1,1
Knstrn,0,-1,0
Kntc1,0,-1,0
Kpna2,0,-1,0
L1cam,1,1,1
L3mbtl3,0,0,-1
Lag3,0,0,-1
Lair1,1,0,1
Lamb3,1,1,0
Lamc1,1,0,0
Lancl2,0,-1,0
Lap3,-1,-1,0
Lasp1,1,0,0
Lats2,1,1,0
Lax1,0,0,-1
Ldhb,-1,-1,-1
Ldlrap1,0,0,1
Lef1,0,0,1
Lfng,1,1,0
Lgals1,1,0,1
Lgals3,1,0,1
Lig1,0,-1,0
Limd2,-1,0,0
Litaf,0,0,-1
Lmnb1,0,-1,0
Lmtk2,1,0,0
Lpar6,0,0,-1
Lpin1,1,1,1
Lpxn,-1,0,0
Lrrc8a,0,0,1
Lrrc8d,-1,0,0
Lrrk1,1,1,0
Ltb,-1,-1,-1
Ly6c2,0,0,1
Ly6e,-1,-1,-1
Lysmd2,-1,0,0
Lysmd3,1,0,0
Lyst,1,1,0
Mad2l1,0,-1,0
Madd,1,0,0
Magt1,0,0,1
Malt1,1,0,1
Man1c1,-1,0,1
Map3k2,1,0,0
Map3k8,0,0,1
Map4,1,0,0
Mapk1ip1l,1,0,0
Marcksl1,0,-1,0
Marveld1,0,1,0
Mast3,1,0,0
Matk,1,1,1
Mbnl3,0,-1,0
Mboat1,-1,-1,0
Mbp,0,0,1
Mccc1,-1,0,0
Mccc2,-1,0,0
Mcm10,0,-1,1
Mcm2,0,-1,0
Mcm3,0,-1,0
Mcu,0,0,1
Mdm1,0,0,1
Mef2a,1,0,0
Melk,0,-1,1
Metap1d,-1,0,0
Metrnl,1,1,0
Mettl1,-1,-1,0
Mettl16,-1,0,0
Mettl7a1,1,0,0
Mfsd10,0,0,-1
Mfsd4,1,0,0
Mgrn1,-1,-1,0
Mid1ip1,0,0,1
Mis18bp1,0,-1,0
Mki67,0,-1,0
Mkl1,1,0,0
Mknk2,1,1,0
Mnda,-1,-1,0
Mob1a,1,0,0
Mphosph10,-1,0,0
Mpnd,0,0,1
Mpp6,0,-1,0
Mprip,0,0,-1
Mrpl17,-1,0,0
Mrpl45,-1,0,0
Mrps27,-1,0,0
Mrps6,-1,0,0
Ms4a4c,-1,-1,0
Msl3l2,-1,-1,0
Mtfr2,0,-1,0
Mthfd1,0,-1,0
Mthfd2,0,-1,0
Mtmr10,0,1,0
Mtpn,1,0,1
Mx2,-1,0,0
Mxi1,1,0,0
Myadm,1,0,1
Myb,-1,-1,0
Mybl2,0,-1,0
Myc,-1,-1,0
Mylip,0,1,0
N4bp1,1,1,1
Nabp1,1,1,0
Naip2,1,0,0
Napepld,0,0,1
Nbn,-1,-1,0
Ncald,1,0,0
Ncapd2,0,-1,0
Ncapg,0,-1,0
Ncaph,0,-1,0
Nccrp1,0,0,1
Nck2,0,0,1
Nckap1,0,0,1
Ncln,0,0,1
Ncoa7,-1,-1,0
Ndc80,0,-1,1
Ndfip2,1,1,0
Ndnf,1,1,0
Ndrg4,1,1,1
Nedd4,1,0,0
Nedd9,0,0,-1
Nek2,0,-1,1
Nfatc3,1,1,1
Nfic,1,0,1
Nfkb2,-1,0,0
Nfkbia,-1,0,0
Nin,1,0,0
Ninj2,-1,0,0
Nipa2,1,0,0
Nipal3,1,1,1
Nlrc3,1,0,0
Nmnat2,1,0,0
Nmral1,0,-1,0
Nop16,-1,0,0
Nop2,-1,-1,0
Nop58,-1,0,0
Notch2,1,0,0
Npm3,1,0,0
Nptn,1,0,1
Nqo2,1,0,1
Nr1d2,1,1,0
Nr4a2,0,0,-1
Nrm,0,0,1
Nt5c,0,0,1
Nt5e,-1,-1,0
Nuf2,0,-1,1
Nufip2,1,0,0
Nup210,1,0,0
Nusap1,0,-1,1
Oas1a,-1,0,0
Oas3,-1,-1,0
Oasl1,-1,-1,-1
Oasl2,-1,-1,0
Ociad2,0,0,-1
Ogfrl1,0,-1,0
Osbpl3,1,0,0
Osbpl8,1,0,0
Pacs1,1,0,0
Pacsin1,-1,0,-1
Padi2,0,1,-1
Pafah1b3,0,-1,0
Pald1,1,0,1
Pank1,-1,0,0
Paqr4,1,0,1
Parp12,-1,0,0
Parpbp,0,-1,1
Pbk,0,-1,1
Pbx3,0,1,0
Pcca,-1,0,0
PCDHGB6,1,0,0
Pcnxl3,1,0,0
Pdcd1,0,0,-1
Pde2a,0,1,1
Pde4a,1,0,0
Pde4b,0,0,-1
Pde7a,0,0,-1
Pdgfb,0,1,-1
Pdk1,-1,0,-1
Pdk2,-1,0,0
Pdlim1,0,-1,1
Pdlim5,1,0,0
Pea15a,1,1,1
Pecam1,-1,-1,0
Pelo,0,0,-1
Pgam1-ps2,-1,-1,-1
Pglyrp2,0,0,-1
Phf11c,-1,-1,0
Phf13,1,1,1
Piezo1,0,0,1
Pik3ap1,0,0,-1
Pik3cd,1,0,0
Pik3cg,1,0,0
Pik3ip1,-1,0,0
Pik3r1,1,0,0
Pik3r5,1,0,1
Pim2,-1,0,0
Pitrm1,-1,0,0
Pkdcc,-1,0,0
Pkp4,-1,0,0
Plac8,0,0,-1
Plcg1,1,0,0
Plcxd1,0,0,-1
Plec,0,0,1
Plek,1,0,1
Plekhf1,1,1,-1
Plekhg5,0,0,1
Plin3,0,0,1
Plk1,0,-1,0
Plk3,0,0,-1
Plp2,0,0,1
Plscr3,-1,0,0
Plscr4,0,0,1
Plxnc1,-1,-1,0
Pmaip1,1,1,1
Pmf1,0,-1,0
Pmm1,0,-1,0
Pogk,1,1,1
Pole,0,0,1
Pomk,-1,0,0
Popdc2,0,0,1
Pou6f1,-1,-1,0
Ppa1,-1,-1,0
Ppan,-1,0,0
Ppap2c,1,1,1
Ppm1j,1,1,0
Ppp1r16a,-1,0,0
Ppp1r16b,0,0,-1
Prc1,0,-1,0
Prdm1,1,1,0
Prelid2,-1,0,0
Prex1,1,0,0
Prf1,0,1,0
Prim2,0,-1,0
Prkag2,0,0,1
Prkd3,1,1,0
Prkx,1,0,0
Prmt2,0,0,-1
Prr5l,1,1,1
Prune,1,0,1
Psap,1,0,0
Psat1,0,-1,0
Psen2,-1,0,0
Ptch1,1,0,0
Ptger2,-1,0,0
Ptger4,0,0,-1
Ptplad1,-1,0,0
Ptpn4,1,1,0
Ptpn6,-1,-1,0
Ptpn9,0,0,-1
Pus7,-1,0,0
Pxylp1,1,1,1
Pycard,1,0,1
Qprt,0,0,1
Rab11fip4,1,1,0
Rab32,0,-1,0
Rab5b,1,0,0
Racgap1,1,0,1
Rad51,0,-1,0
Rad51ap1,0,-1,1
Rad54b,0,-1,1
Rad54l,0,-1,1
Ralgapb,1,0,0
Raly,1,0,0
Rap1b,1,1,1
Rap1gap2,1,1,1
Rap2a,1,1,1
Rap2b,0,0,1
Rapgef2,1,0,0
Rara,1,1,1
Rarg,0,0,1
Rars2,-1,0,0
Rasa3,0,0,1
Rasgrp2,1,0,1
Rassf3,0,0,1
Rcc1,0,-1,0
Rcl1,-1,0,0
Reep5,1,0,1
Relb,-1,0,-1
Rell1,1,0,1
Ret,0,0,-1
Rexo2,0,-1,0
Rfc4,0,-1,0
Rftn1,0,0,-1
Rgs1,-1,0,-1
Rgs3,0,0,-1
Rhbdf2,1,0,0
Rhoq,0,1,0
Ripk2,-1,0,0
Rmnd5a,1,0,0
Rnf144a,0,0,1
Rnf157,-1,-1,0
Rnf213,-1,0,0
Rnf216,1,0,0
Rnf43,0,-1,0
Rom1,1,0,1
Rpl12,-1,-1,0
Rptor,1,1,0
Rrm1,0,-1,0
Rrm2,0,-1,1
Rrp15,-1,-1,0
Rtn4rl1,1,1,0
Rundc3b,0,0,-1
Runx1,1,1,0
Ruvbl1,-1,0,0
Ruvbl2,-1,0,0
S100a10,1,0,1
S100a13,1,0,0
S100a4,1,0,1
S100a6,1,0,0
S1pr1,1,0,1
S1pr4,1,0,1
S1pr5,1,1,1
Saal1,-1,0,0
Samd10,0,0,-1
Samd3,-1,0,0
Sapcd2,0,-1,0
Satb1,-1,0,0
Sbf1,1,0,0
Sbk1,1,0,1
Scly,0,0,-1
Scrn2,-1,0,0
Sdr39u1,-1,0,0
Sec22a,-1,0,0
Sell,-1,-1,0
Sema4a,1,1,0
Sema4f,1,0,1
Sepn1,0,1,-1
11-Sep,1,0,1
4-Sep,0,0,-1
Serpina3f,-1,-1,-1
Serpina3g,-1,0,-1
Serpinb9,1,0,0
Serpini1,1,0,1
Setx,0,0,1
Sfxn3,0,0,1
Sgk1,1,1,1
Sgms1,0,-1,0
Sgol1,0,-1,1
Sgol2,0,-1,0
Sh2b3,-1,-1,0
Sh2d2a,0,0,-1
Shcbp1,0,-1,1
Shisa5,-1,0,0
Shmt1,-1,-1,0
Sidt1,-1,-1,0
Sike1,1,0,1
Ska3,0,-1,0
Slamf1,1,1,0
Slamf6,-1,-1,0
Slc12a6,1,0,0
Slc16a1,0,-1,0
Slc16a6,0,0,-1
Slc17a9,0,0,1
Slc20a1,1,0,0
Slc22a15,0,0,-1
Slc25a10,0,0,-1
Slc25a24,1,0,1
Slc25a33,0,0,1
Slc25a53,1,0,0
Slc26a11,-1,-1,0
Slc27a4,1,0,0
Slc2a3,1,1,0
Slc35d2,0,0,1
Slc36a1,0,0,-1
Slc39a11,-1,0,0
Slc39a6,0,0,-1
Slc39a9,1,0,0
Slc43a3,0,-1,0
Slc45a4,0,0,-1
Slc52a3,1,0,0
Slc9a7,0,0,1
Slco3a1,0,0,1
Slco4a1,0,0,-1
Slfn5,-1,-1,0
Slfn8,-1,0,0
Smad1,-1,-1,0
Smad3,1,1,0
Smc2,0,-1,0
Smpd2,0,0,1
Smpdl3b,1,1,1
Smtn,0,0,1
Smyd2,-1,-1,0
Smyd5,-1,0,0
Snai3,0,0,-1
Snx10,1,1,1
Snx18,1,1,0
Soat2,0,0,-1
Socs1,-1,-1,-1
Socs3,-1,-1,-1
Sord,1,0,0
Spag5,0,-1,0
Spata13,1,1,0
Spc24,0,-1,1
Spc25,0,-1,1
Spdl1,0,-1,0
Spice1,0,0,1
Spin2c,-1,0,-1
Spint2,-1,-1,-1
Spn,1,1,1
Spock2,-1,-1,0
Sppl2a,1,0,0
Sptan1,1,0,1
Srbd1,0,0,-1
Srm,-1,-1,0
Ssbp2,-1,0,0
Ssh1,0,0,1
Ssx2ip,-1,-1,0
St14,-1,0,-1
St3gal4,1,0,0
St7,-1,0,0
Stard10,1,1,1
Stat1,-1,0,-1
Steap3,0,0,1
Stil,0,-1,0
Stim1,1,0,0
Stim2,-1,0,0
Stk24,1,0,0
Stk38,0,0,1
Stmn1,0,0,1
Strbp,-1,-1,0
Stx2,1,0,1
Stx6,-1,0,0
Sun1,1,0,1
Suox,1,1,0
Susd2,-1,0,-1
Suv39h1,0,-1,0
Suv39h2,0,-1,0
Syne2,-1,0,-1
Syngr3,1,0,0
Synj2,-1,0,0
Synpo,-1,0,0
Sytl1,1,1,0
Sytl2,1,1,0
Tacc3,0,-1,0
Tagln2,0,0,1
Tapbpl,0,0,-1
Tax1bp3,1,1,1
Tbc1d2,1,0,0
Tbkbp1,1,1,1
Tbx21,1,1,1
Tcf19,0,-1,1
Tcf7,-1,-1,1
Tcrg-C1,0,0,-1
Tcrg-C4,-1,0,0
Tdp1,-1,-1,0
Tdrd7,-1,0,0
Tef,1,1,0
Tesk1,0,0,-1
Tespa1,-1,0,0
Tgif1,-1,0,0
Tgif2,-1,0,0
Tgtp1,-1,-1,-1
Thada,-1,-1,-1
Thoc6,0,-1,0
Thumpd2,-1,0,0
Tigit,0,0,-1
Timp2,0,1,1
Tk1,0,-1,0
Tlr12,0,0,-1
Tm6sf1,1,1,0
Tmem104,0,1,0
Tmem109,0,0,1
Tmem135,0,0,-1
Tmem140,0,0,-1
Tmem159,0,1,0
Tmem163,1,0,0
Tmem171,0,0,-1
Tmem237,0,0,1
Tmem37,1,1,1
Tmem38b,0,0,-1
Tmem65,1,0,1
Tmem71,1,1,1
Tmem97,0,-1,0
Tmlhe,-1,0,0
Tmsb15b1,0,0,1
Tnfaip3,0,1,0
Tnfaip8,-1,-1,0
Tnfaip8l1,0,0,1
Tnfaip8l2,0,0,1
Tnfrsf25,0,0,1
Tnfrsf8,0,0,1
Tnfrsf9,-1,0,-1
Tnfsf10,0,0,-1
Tnfsf4,-1,-1,0
Tnfsf8,-1,-1,0
Tnip1,-1,0,0
Tob1,0,0,1
Top1mt,-1,0,0
Top2a,0,-1,1
Tor3a,-1,0,0
Tox2,-1,-1,-1
Tpd52,-1,-1,0
Tpi1,0,-1,0
Tppp3,1,0,1
Tpx2,0,-1,1
Traf1,-1,-1,0
Traf5,0,0,-1
Trafd1,-1,0,-1
Traip,0,-1,0
Trappc10,1,0,0
Trib1,0,0,-1
Trib2,0,0,-1
Trim12a,-1,0,0
Trip13,0,-1,0
Trmt61a,-1,0,0
Trp53inp1,1,0,0
Tsc22d3,0,0,1
Tspan13,-1,0,0
Tspan2,1,0,1
Tspan3,-1,-1,-1
Tspan31,-1,0,1
Tsr1,-1,-1,0
Ttc27,-1,0,0
Ttc7,1,0,0
Ttk,0,-1,1
Tuba1a,0,0,1
Tuba1b,0,-1,0
Tubb4b,0,-1,0
Txk,1,0,0
Txndc5,0,0,1
Txnip,1,0,0
Tyms,0,-1,0
Ubac2,0,0,-1
Ubash3b,0,1,0
Ube2c,0,-1,0
Ube4b,1,0,0
Ubxn2b,0,0,1
Uck2,0,0,1
Ugcg,1,1,0
Uhmk1,1,0,0
Uhrf1,0,-1,1
Ulk2,1,0,0
Usp18,-1,-1,0
Usp20,1,0,0
Usp33,0,0,1
Vamp3,1,0,0
Vars,-1,-1,-1
Vcl,0,0,1
Vegfb,0,-1,-1
Vim,1,0,1
Vprbp,1,0,0
Vwa5a,-1,0,0
Wbp1,0,0,-1
Wbp1l,1,0,0
Wdr4,-1,0,0
Wdr43,-1,0,0
Wdr46,-1,0,0
Wdr6,0,0,-1
Wdr7,1,0,0
Wdr82,1,0,0
Wee1,0,-1,0
Xndc1,1,0,0
Xrcc5,-1,0,0
