gene_name,log2FoldChange,padj
Smpdl3b,0.653810839,1.47E-05
Mina,0.653636615,1.67E-08
Dennd4a,0.651063016,3.96E-08
Rras2,0.650650066,0.0001231
Rgs16,0.6482611,2.49E-06
Arl4c,0.647851098,8.47E-05
Gm18852,0.647839395,0.021862121
Gm37248,0.642523669,0.018182754
Gm44045,0.639953973,0.046143756
Armc7,0.638186236,1.12E-06
Ap5z1,0.637899243,0.01156643
Nr4a1,0.635149616,5.75E-06
Pink1,0.631096146,8.47E-07
Gm6807,0.624019538,0.033968299
Rap1gap2,0.614004868,2.31E-06
Gm38257,0.613554927,0.00299161
Leng9,0.613335651,0.002549212
Myo6,0.612774816,0.025541422
Klf7,0.610444943,0.000109592
Sema4a,0.610118669,3.25E-07
Kcnk6,0.610038432,0.035041704
St6gal1,0.609803875,0.004756054
Dkkl1,0.60966471,0.041398822
Fbxl4,0.608766403,0.0432099
Smtn,0.605724329,0.013578562
Ndnf,0.605297755,0.026581555
Mirt1,0.602956044,0.001838479
Klrd1,0.599750612,7.3E-06
Pkp3,0.598926436,7.02E-06
Firre,0.595842154,0.024994068
Map1lc3a,0.595263034,0.020320139
Neat1,0.590651633,1.8E-07
Anks3,0.589277179,0.016523947
Nod1,0.588758996,0.0003035
Plekhg3,0.587808406,0.000129929
Cdkn1a,0.586461106,0.016935928
Galnt3,0.586424806,2.63E-05
Stard10,0.584687562,8.75E-05
Tubb4a,0.584231346,0.040863684
Gzmb,0.580339814,1.15E-09
Il18rap,0.578298674,1.45E-08
Mapkapk5,0.578226109,0.012983
2310031A07Rik,0.573495328,0.008785247
Cracr2a,0.571052493,0.006292734
Ano8,0.56882257,0.013893825
Nrarp,0.567490382,0.003564196
D1Ertd622e,0.56657879,0.001361018
Clcn5,0.566487424,0.001379974
Ypel1,0.56646598,0.022554838
Cdk5,0.5656044,0.039292951
Ugcg,0.56495295,2.04E-07
L1cam,0.564793174,0.000122192
Txk,0.562860294,2.03E-05
Lzts1,0.561363724,0.028784145
Myadm,0.559696314,0.014999215
Gm38062,0.558485264,0.031167851
Wscd2,0.557178208,0.00497617
Golim4,0.556297834,2.09E-05
Slc25a53,0.55456864,0.004079661
RP23-413C19.2,0.553546076,0.030751354
Tmem2,0.552770005,0.000238993
Rundc3b,0.552375074,0.039595527
Cnnm2,0.552130729,0.015285487
Slc25a40,0.550583966,0.003421601
Snx10,0.54986899,1.49E-05
Faxc,0.54733152,0.012540484
Dsp,0.547135341,0.012252344
Rap2a,0.542166653,0.001132125
Zfp358,0.541087105,0.034665143
Fam20a,0.54040374,0.00718426
Plcg2,0.540388945,0.0033779
4930486L24Rik,0.537487619,0.027535932
Sytl2,0.537014234,1.43E-07
Pde4a,0.536986229,0.006241551
Dtx1,0.536635532,0.000174786
Pydc3,0.532437574,1.86E-07
Card6,0.531209768,7.45E-05
F2rl3,0.530497119,0.028428646
Lamc1,0.53022197,1.45E-07
Bbc3,0.525557979,0.006551395
Cln3,0.525086341,0.027787322
Bzrap1,0.524896734,0.006262012
Chn2,0.522650017,0.013155425
Trim36,0.522226079,0.014977001
Tspan2,0.521615419,0.000695412
Kcnk5,0.520490938,2.85E-05
Bag3,0.519719433,0.000181282
Il10ra,0.517348687,2.73E-06
RP23-335C3.10,0.517032996,0.010618795
Fam46a,0.516904347,8.49E-05
Tcirg1,0.515793203,0.00120061
Apobr,0.515703724,3.75E-05
Ndfip2,0.515623516,3.45E-05
Lncpint,0.514463606,0.014288345
Lilr4b,0.514444704,0.000974685
RP23-361O12.4,0.513003614,0.004309523
Haus2,0.510372293,0.002374382
Mt1,0.509379175,0.001832544
Pmaip1,0.508426127,3.18E-06
Adam8,0.507414239,1.22E-05
Zfat,0.506786794,0.022389435
Gramd1a,0.500950084,2.58E-06
Gpd2,0.500189739,2.55E-05
P2ry12,0.499863868,0.025134705
Klrk1,0.498525358,1.25E-06
Lyst,0.498052884,2.14E-08
Plekhm3,0.496000428,0.002959711
Ankrd16,0.495868661,0.032122208
Ncald,0.495721274,0.000275222
BC037034,0.495436539,0.009855358
Rgs1,0.493976543,3.07E-05
Rnf13,0.493875568,0.001169678
RP24-178G20.2,0.49216863,0.007626808
Pxylp1,0.491124827,0.002357598
Capg,0.490650898,0.004509229
Dapk2,0.490011994,0.003798409
Ahnak,0.489296881,6.09E-14
Enpp4,0.489164671,0.002031178
Prkch,0.488567244,1.05E-08
Zcchc18,0.48734118,0.00296541
Ccl4,0.485465921,0.000208992
Gab3,0.485335107,0.002501794
Adal,0.485006187,0.017393663
Abcb1a,0.484724587,0.00017331
Fam214a,0.483433804,0.00089294
Capn2,0.482250569,5.71E-06
Rab3d,0.481878999,0.014943085
Dusp5,0.48052959,1.07E-07
Ddit3,0.478634515,0.002227599
Fpgt,0.478191437,0.021752885
Ppia,0.477992951,0.016109716
Car5b,0.476243111,5.66E-05
Gabarapl2,0.476098702,0.003497259
Gem,0.475069242,0.000263294
Cerkl,0.474402499,0.038897426
Pdgfb,0.4741641,0.004311019
Map1a,0.474163062,0.008430169
Igsf8,0.473526898,0.007984493
2610020H08Rik,0.472272165,0.006783563
A130048G24Rik,0.47215987,0.029144826
Als2cl,0.471967744,0.030574978
Gm3724,0.469943558,0.018721024
Slc30a4,0.469505529,0.002254126
Gpatch3,0.468741527,0.014511972
Pea15a,0.468002239,0.00058889
Cdc42ep3,0.466925291,0.001738603
Phf1,0.466778433,0.023848613
Vsig10l,0.466179642,0.019376327
Itga6,0.465213135,1.21E-05
Ide,0.464184398,8.56E-06
Baiap3,0.463851399,7.01E-05
Zyx,0.463348103,2.01E-06
Spty2d1,0.46327763,3.64E-06
Adora2a,0.461852485,8.44E-05
Gna11,0.461254419,0.010747819
Gmppa,0.46107322,0.012665941
Fosl2,0.459687231,2.97E-05
Slc37a2,0.459120465,0.032902008
Gramd3,0.458859589,8.22E-05
Tmem41b,0.458052326,0.018265265
Anxa4,0.457787608,0.007066841
Ddx26b,0.457357137,0.020256599
Acaa1a,0.455568958,0.003605155
Nprl2,0.454908471,0.014324812
D8Ertd82e,0.45346634,1.34E-05
Rara,0.452717503,0.045042306
Chst11,0.451939367,2.03E-05
Gm43817,0.45141603,0.034949496
Ebpl,0.451134577,0.035810814
Ap5b1,0.44839037,0.003228448
Tyk2,0.447749784,0.000260249
Traf3ip1,0.446701675,0.013841644
Gm44187,0.446338234,0.040338122
Rapgef2,0.444688018,0.000237745
Smim24,0.443983451,0.034447604
Dock5,0.443408143,0.00166468
Hdac5,0.442786063,0.000753988
Il12rb2,0.442152893,1.06E-05
Dusp2,0.442013114,1.83E-05
Glipr1,0.441040783,0.000316374
Pqlc3,0.440367834,6.55E-05
Edem3,0.440125955,7.55E-05
Ppm1j,0.439563929,0.003766438
Ier5,0.439173569,0.001750553
Runx1,0.438887588,0.000661797
Prickle3,0.438384258,0.038282617
Ctla2b,0.435810067,0.000923634
Sytl1,0.43484493,0.009242582
Golm1,0.434271022,9.98E-05
Cmah,0.433235673,3.39E-05
Amdhd2,0.433021427,0.011989025
Ticam1,0.432822979,0.008356039
Btrc,0.432776057,0.049231075
Taf1c,0.431999522,0.016720941
Bhlhe40,0.431138033,4.61E-09
Cyfip1,0.430822856,0.001274175
Ccdc88c,0.429778012,5.41E-05
Zswim6,0.429773415,0.000614673
Lilrb4a,0.429021977,0.019473225
S1pr1,0.428730662,6.02E-06
Tjp3,0.428620025,0.033477075
Arid3b,0.428230328,0.001650758
Ier2,0.426960694,8.53E-05
Ppp2r5b,0.426538077,0.031477055
Tanc2,0.426114265,0.036801304
Ap3m2,0.42533952,0.005296533
Ctsa,0.424762766,1.72E-06
Tmem87b,0.424227402,0.042394448
Pld2,0.423488545,0.038626097
Cd37,0.422501043,0.001400036
Lrrc45,0.422485472,0.026797341
Sertad2,0.422194159,0.002859128
Usp20,0.421544526,0.005564063
Coro2a,0.421504524,1.87E-06
Macf1,0.421411278,1.28E-08
Sh3bp2,0.419994013,0.004700624
Atp2b1,0.419401855,3.42E-06
RP24-344N22.3,0.418733389,0.015814867
Filip1l,0.41708115,0.000765495
Gm37387,0.41568093,0.003063941
Fcho2,0.414717758,0.000485506
Gm4759,0.410712496,4.82E-06
Arhgef18,0.410251953,0.000105821
Crim1,0.409913557,0.005541885
Vps9d1,0.409676043,0.035793283
Derl2,0.407768747,0.013683422
Rbms1,0.40727644,3.18E-06
Klrc1,0.406807254,2.77E-06
A130071D04Rik,0.406599668,0.001976164
Ctnna1,0.40611,0.000190088
Klhl25,0.40515013,0.001421389
Fez2,0.401550364,0.020117759
Chpt1,0.400754327,0.020101013
Rab11fip4,0.400708026,2.45E-05
Slc35a5,0.396664865,0.032094028
Tmed4,0.39658524,0.018235222
Arl4d,0.395457711,0.006857476
Ptger4,0.394421145,0.000161525
Rbm4,0.393941192,0.032367039
Klf2,0.393708624,7.28E-05
Pvr,0.39369441,0.033009509
Dnajc25,0.393140969,0.036760419
Itgb2,0.391920592,5.6E-08
Oraov1,0.39188074,0.009377719
Mapkapk3,0.391270594,0.000493903
Insl6,0.389938425,0.025314432
1810026B05Rik,0.389423128,0.002356738
Neurl3,0.38917488,0.002389178
A630081D01Rik,0.388653048,0.01512535
Gm37033,0.387082375,0.018656381
Plec,0.387067809,7.1E-10
Smpd1,0.386604607,0.002268848
Lgalsl,0.386565825,0.022701405
Dennd4c,0.385145397,0.00052217
Glrx,0.383800768,0.000420244
Tmem71,0.38350194,0.000348617
Pofut2,0.383010066,0.01176473
Rabggta,0.382896671,0.047841651
Arl5c,0.382015226,0.016038054
Mkl1,0.381779687,0.000142648
Fam117a,0.380527823,0.000908443
Sik2,0.380281092,0.014029675
Rabac1,0.380013149,0.021700566
Tef,0.379951414,0.009602035
Dap,0.378254245,0.000122146
Malt1,0.378122195,3.27E-05
Uck1,0.377340991,0.024207922
Tsc22d3,0.376700516,0.000131565
A430046D13Rik,0.375672711,0.040937775
Ccl3,0.374432742,0.003977975
Arl14ep,0.373099005,0.005064939
Pgm1,0.372847876,0.006618971
Slc2a3,0.372634961,0.000155591
Gucd1,0.372335686,0.002803419
Rgs2,0.370477053,0.000541037
Krtcap2,0.369496947,0.00444838
Ccng2,0.36927551,0.003402019
Tbc1d8b,0.368351068,0.004877282
Gdf11,0.367992825,0.005615052
Gramd4,0.367865998,0.00023941
Cercam,0.367842674,0.04458866
Btg2,0.366362233,5.49E-06
Atp2a3,0.365905171,9.54E-05
Dok2,0.365652154,0.000943297
Lysmd3,0.364931853,0.011481541
A430078G23Rik,0.364930046,0.004257809
Malat1,0.363762591,5.87E-05
AB124611,0.362999232,0.002156099
Fam49a,0.362881016,0.008564481
Xylt1,0.362758488,0.028614381
Btbd11,0.362545915,0.006505261
Racgap1,0.361807039,3.06E-05
Sike1,0.361741717,0.000414484
Themis2,0.361208951,0.000354351
Snx5,0.359418655,2.32E-06
Ccnd3,0.359184791,0.000951675
Eif4e3,0.359077587,0.001741444
Ttc39c,0.358994232,0.001187322
Tnfrsf13b,0.358788986,0.007940154
Mpnd,0.358700251,0.003324999
Grina,0.358444036,0.00440249
Peak1,0.358402466,0.000249005
Txnip,0.357141244,8.91E-06
Klf3,0.35632326,0.029421956
Nkiras2,0.356312916,0.020404486
Plk3,0.355010517,0.013667283
Rnpepl1,0.354808065,0.003548523
Gabbr1,0.354451971,0.036610276
Cmtm7,0.354113402,0.004674964
Ptprc,0.353588409,8.42E-11
Antxr2,0.352694715,0.02192004
Epsti1,0.351855216,1.23E-07
Zfp120,0.351405102,0.013351019
Scfd2,0.351083414,0.003725561
Snx18,0.350866242,0.001170749
Fam160a2,0.350756188,0.013708187
Plek,0.350403739,5.81E-08
Gm37352,0.350245459,0.028947069
Pepd,0.350234002,0.033403952
Kctd2,0.350044423,0.009993445
Itga1,0.349698723,0.007306781
Adgre5,0.348551736,0.00013832
Tmem63a,0.348333259,0.005089458
Atf6,0.348184166,1.08E-05
Ppp1r9b,0.347137969,4.67E-05
Sdccag8,0.346575066,0.003698951
Rhbdf2,0.346380292,0.007683805
Crybg3,0.344727085,0.00814535
Bcas3,0.344057695,0.006236294
Mgat4a,0.34398564,0.038362434
Pogk,0.343730248,0.000565139
Arl5b,0.343491554,0.012756226
Osbpl9,0.343013031,0.00016754
Selo,0.34300252,0.028822416
Picalm,0.342828565,5.16E-06
Zscan25,0.342468259,0.029382218
Lats2,0.342241603,0.013800942
Rad51d,0.342227514,0.038508174
Spn,0.341464474,1.17E-07
Ak3,0.340967988,0.000256492
Kif13b,0.34083725,0.000499273
Cep170,0.340091859,0.000915697
Zmiz1,0.340079791,7.57E-05
Ctla2a,0.33906083,8.18E-06
Trp53inp2,0.33890698,0.028242007
Lactb,0.338625559,0.005885225
Btaf1,0.338444946,0.002738748
Osbpl5,0.338428065,0.000954562
Kdm7a,0.338391197,0.00071154
Fbxo8,0.338239789,0.029124261
Flad1,0.338181089,0.020986735
Tob1,0.338034875,0.006893144
Herc3,0.337376553,0.000479716
Fhl2,0.336647873,0.027491127
Chsy1,0.336421679,1.28E-06
Zfp512,0.333718071,0.024556874
Pdlim5,0.332931217,0.01224895
Klf11,0.332829262,0.002837733
Pias3,0.332803658,0.020425853
Perp,0.332271032,0.047336959
Arhgef12,0.32970561,0.005286915
Slc25a30,0.327926256,0.042955291
Mef2a,0.327801094,0.000128978
Lrrc8a,0.327345042,0.049610283
Chd7,0.326222425,2.47E-06
Hectd3,0.326042434,0.000635232
Smad3,0.325337046,0.011351582
Rheb,0.324863409,0.004343338
Gltscr1l,0.323529132,0.003056969
Gm13410,0.323392066,0.034594153
Ar,0.323275786,0.002461075
Bend4,0.323236684,0.002098368
Lpgat1,0.322446202,0.003249729
Pgm2l1,0.321691503,0.012900078
Prkce,0.321479715,0.035799365
Itih5,0.321078164,0.002992448
Abca7,0.32075996,0.000912515
Nrros,0.320396604,0.007259766
Selplg,0.319709399,0.000263305
Pced1a,0.318334512,0.04980355
Ctsd,0.317884387,2.18E-05
Atg4d,0.317738966,0.022404816
Nfic,0.316769769,0.000906622
Dennd1a,0.316690872,0.025842701
Pde4b,0.316183474,0.00336909
Rbm47,0.315962573,0.005852526
Ttc7b,0.315924244,0.003015985
St3gal1,0.315652772,0.000764484
Flot1,0.314985347,0.009624193
Dnaja1,0.31484341,0.01694752
Gfi1,0.313798847,0.015166614
Fam105a,0.313541198,0.004156167
Dennd5a,0.31297642,0.000818036
Dnajb9,0.312776043,0.008484995
Fam69a,0.312681126,0.027654034
Nck2,0.312424232,0.00793802
St3gal4,0.312096949,0.024807075
Pacs1,0.310768601,0.005251602
Bscl2,0.310575688,0.001140037
Sys1,0.310175064,0.024246245
Bcl9l,0.309676358,0.006443196
Plp2,0.309458584,0.04262419
Usp48,0.309362786,4.88E-05
Ldah,0.309109571,0.021378146
Katnb1,0.309047028,0.014920721
Zfp729a,0.30896177,0.006857948
Rgs3,0.308886369,0.001010266
Pik3r5,0.308773705,0.00116354
Ubxn2b,0.307855966,0.033828203
Phf20l1,0.30736792,0.000740907
Abtb2,0.30723385,0.005162405
S100a10,0.306526252,3.68E-06
Zfp622,0.306330967,0.002327099
S1pr4,0.306188174,0.000430239
Atp8b4,0.306112033,7.22E-05
Casp6,0.30526569,0.026504846
Osbpl3,0.305098547,0.000170007
Adamts10,0.303112118,0.038202466
Ulk2,0.302252954,0.019088851
Lfng,0.301516131,6.98E-05
Spata13,0.300485492,0.000350008
Bloc1s6,0.300144801,0.017006727
Diaph1,0.300082008,1.15E-05
Ube2d1,0.299520937,0.015575646
Leng8,0.298360609,0.009184681
Unc45a,0.297592299,0.00685838
Atxn1l,0.297124265,0.028652252
Arhgap10,0.296920789,0.010961309
Zfp212,0.296783964,0.023685022
Zbtb38,0.296363728,0.000104017
Laptm5,0.295217625,2.68E-05
Dapk3,0.295122003,0.007871338
Pcgf3,0.295077274,0.03658946
Gpr171,0.294069114,0.000644938
Gna15,0.294031847,0.002243556
Runx2,0.293608413,5.4E-05
Abcb1b,0.293512001,0.021145102
Gm8995,0.292532715,2.08E-08
Atg7,0.292277848,0.020616967
Sept11,0.291650714,2.06E-05
Fgd3,0.291345337,0.019334249
Prkx,0.290846942,0.007878019
Tecpr1,0.290352774,0.000361538
Grap2,0.29029949,0.004928776
Dpy19l1,0.290167774,0.00135165
Trip4,0.28965363,0.008373889
Hopx,0.289616333,0.009967578
Mapk8ip3,0.288956459,0.017017507
Phf21a,0.288650741,0.01013455
Rassf1,0.28819989,0.009735186
Limk2,0.285571039,0.008185753
Hsph1,0.284540761,0.005280577
Ccdc71l,0.284336745,0.01828833
Jun,0.28374066,0.011741994
Acsbg1,0.283656269,0.003129812
Trub2,0.283601869,0.037266404
Lgals3,0.283465006,0.000147248
Clec2d,0.283390105,0.025352738
Suox,0.283002802,0.042918222
Wdr44,0.282860454,0.006356815
Itga4,0.282224598,6.71E-08
Atp2b4,0.281878389,8.27E-05
Vps37b,0.280920205,0.002048016
Sp100,0.280913159,1.55E-05
Klf6,0.280806871,0.013008316
Arih2,0.280782459,0.009471613
Gba,0.280656076,0.00281684
Acss1,0.28051802,0.01254435
Arhgap18,0.280118292,0.005582895
Znrf2,0.27930699,0.005509811
Cnst,0.279206581,0.027900418
Trp53bp2,0.279085288,0.022407266
D16Ertd472e,0.278998738,0.001271924
Dnaja4,0.278459962,0.042056569
Ppp1r15a,0.278321973,0.002813554
Tk2,0.278116353,0.046482071
Trp53inp1,0.278033439,0.007066105
Mettl7a1,0.277999283,0.048526786
Gm1966,0.277881067,0.000102843
Polk,0.277867127,0.0229119
