gene_name,Texprog2 vs Texprog1,Texprog2 vs Texint,Texprog2 vs Texterm
Plin3,0,0,1
Plk1,1,1,1
Plk4,0,0,1
Plp2,1,0,1
Plxnc1,0,1,1
Pmaip1,0,-1,0
Pmf1,0,1,1
Pmm1,1,1,1
Pogk,0,-1,1
Poglut1,0,0,1
Pola1,1,0,1
Pold1,0,0,1
Pole,0,0,1
Popdc2,0,0,1
Pou2f2,0,0,1
Pou6f1,0,1,0
Ppa1,0,1,1
Ppap2c,0,-1,0
Ppil1,0,0,1
Ppm1j,0,-1,0
Ppp1r14b,0,0,1
Ppp1r16b,0,0,-1
Prc1,1,1,1
Prdm1,1,-1,-1
Prf1,0,-1,-1
Prim1,1,0,1
Prim2,0,1,1
Prkag2,0,0,1
Prkch,0,0,-1
Prkd3,0,-1,0
Prmt2,0,0,-1
Prr5l,0,-1,0
Prss16,0,0,1
Psat1,0,1,1
Psd4,0,0,-1
Psmc3ip,0,0,1
Ptger2,-1,0,0
Ptger4,0,0,-1
Ptk2b,0,0,-1
Ptpn4,0,-1,-1
Ptpn6,0,1,1
Pxylp1,0,-1,0
Pycard,1,0,1
Rab11fip1,0,0,-1
Rab11fip4,0,-1,0
Rab32,0,1,1
Racgap1,0,0,1
Rad51,1,1,1
Rad51ap1,1,1,1
Rad54b,1,1,1
Rad54l,1,1,1
Raly,1,0,0
Rap1b,0,-1,0
Rap1gap2,0,-1,0
Rap2a,0,-1,1
Rara,0,-1,1
Rasa3,0,0,1
Rasgrp2,1,0,1
Rassf3,0,0,1
Rbbp8,0,0,1
Rcc1,1,1,1
Rcn1,0,0,-1
Rcsd1,0,0,1
Rdh10,0,0,-1
Reck,0,0,1
Relb,-1,0,0
Ret,0,0,-1
Rexo2,0,1,1
Rfc4,0,1,1
Rgs1,-1,0,-1
Rgs3,0,0,-1
Rhoq,0,-1,0
Rmi2,0,0,1
Rnaseh2b,0,0,1
Rnaset2b,0,0,-1
Rnf130,0,0,-1
Rnf138,0,0,1
Rnf144a,1,0,1
Rnf149,0,0,-1
Rnf157,0,1,0
Rnf43,0,1,0
Rom1,1,0,1
Rpl12,0,1,0
Rpl15,0,0,1
Rps6ka1,0,0,-1
Rptor,0,-1,0
Rrm1,1,1,1
Rrm2,1,1,1
Rrp12,0,0,1
Rrp15,0,1,0
Rtel1,1,0,0
Rtn4rl1,0,-1,-1
Rundc3b,0,0,-1
Runx1,1,-1,0
Runx3,0,0,-1
S100a4,1,0,0
S1pr1,1,0,1
S1pr5,0,-1,0
Samd3,-1,0,1
Samsn1,0,0,-1
Sapcd2,1,1,1
Satb1,0,0,1
Sbk1,0,0,1
Scarb1,0,0,1
Scd2,0,0,1
Scml4,0,0,1
Scpep1,0,0,1
Sell,0,1,1
Sema4a,0,-1,0
Sema4f,0,0,1
Sepn1,0,-1,-1
11-Sep,1,0,1
4-Sep,0,0,-1
Serpina3f,-1,1,-1
Serpina3g,0,0,-1
Serpinb6b,0,0,-1
Setx,0,0,1
Sgk1,0,-1,1
Sgms1,0,1,1
Sgol1,1,1,1
Sgol2,0,1,1
Sh2b3,0,1,1
Sh2d2a,0,0,-1
Sh2d3c,0,0,-1
Sh3bp2,0,0,-1
Sh3bp5,0,0,1
Sh3d19,0,0,-1
Shcbp1,1,1,1
Shmt1,0,1,1
Sidt1,0,1,1
Sigmar1,0,0,1
Sike1,0,0,1
Ska3,1,1,1
Slamf1,0,-1,-1
Slamf6,0,1,1
Slc16a1,0,1,1
Slc16a6,0,0,-1
Slc22a15,0,0,-1
Slc25a33,0,0,1
Slc25a53,0,0,-1
Slc26a11,0,1,0
Slc28a2,0,0,-1
Slc2a3,0,-1,0
Slc2a8,0,0,-1
Slc36a1,0,0,-1
Slc39a11,0,0,1
Slc39a6,0,0,-1
Slc41a1,0,0,-1
Slc43a3,0,1,1
Slc45a4,0,0,-1
Slc9a7,0,0,1
Slco3a1,0,0,1
Slfn5,0,1,1
Slfn9,0,0,1
Smad1,0,1,0
Smad3,0,-1,0
Smad7,0,0,-1
Smc2,0,1,1
Smpd5,0,0,-1
Smpdl3b,0,-1,0
Smtn,1,0,1
Smyd2,0,1,1
Snai3,0,0,-1
Snx10,0,-1,0
Snx18,0,-1,0
Snx33,0,0,-1
Soat2,0,0,-1
Socs1,-1,1,0
Socs3,0,1,0
Sord,1,0,0
Sp1,1,0,0
Spag5,1,1,1
Spata13,0,-1,0
Spc24,1,1,1
Spc25,1,1,1
Spdl1,0,1,1
Spice1,0,0,1
Spin2c,0,0,-1
Spint2,0,1,0
Spn,0,-1,0
Spock2,0,1,1
Sptan1,1,0,0
Sptbn1,1,0,1
Sqle,0,0,1
Srbd1,0,0,-1
Srm,0,1,1
Ssh2,0,0,1
Ssx2ip,0,1,1
St14,0,0,-1
St3gal3,0,0,-1
Stard10,0,-1,0
Steap3,0,0,1
Stil,1,1,1
Stmn1,1,0,1
Strbp,0,1,0
Stx2,0,0,1
Sun1,0,0,1
Suox,0,-1,0
Susd2,0,0,-1
Susd3,0,0,-1
Suv39h1,0,1,1
Suv39h2,0,1,1
Syne2,0,0,-1
Syngr3,1,0,0
Sytl1,0,-1,-1
Sytl2,1,-1,-1
Tacc3,1,1,1
Taf4b,0,0,1
Tagln2,0,0,1
Tapbpl,0,0,-1
Tax1bp3,0,-1,0
Tbc1d2,1,0,0
Tbkbp1,0,-1,0
Tbx21,0,-1,0
Tcf19,1,1,1
Tcf7,0,1,1
Tcirg1,0,0,-1
Tcrg-C1,0,0,-1
Tcrg-C2,0,0,-1
Tdp1,0,1,1
Tef,0,-1,-1
Tesk1,0,0,-1
Tgtp1,-1,1,0
Thada,0,1,0
Thoc6,0,1,1
Tigit,0,0,-1
Timm8a1,0,0,1
Timp2,0,-1,0
Tipin,0,0,1
Tk1,1,1,1
Tlr12,0,0,-1
Tm6sf1,0,-1,0
Tmem104,0,-1,0
Tmem135,0,0,-1
Tmem140,0,0,-1
Tmem154,0,0,1
Tmem159,0,-1,-1
Tmem237,0,0,1
Tmem37,0,-1,0
Tmem38b,0,0,-1
Tmem50b,0,0,1
Tmem71,0,-1,0
Tmem97,0,1,1
Tmpo,0,0,1
Tmtc4,0,0,-1
Tnfaip1,0,0,1
Tnfaip3,0,-1,-1
Tnfaip8,0,1,0
Tnfaip8l1,0,0,1
Tnfrsf1a,0,0,-1
Tnfrsf1b,0,0,-1
Tnfrsf22,0,0,1
Tnfrsf25,0,0,1
Tnfrsf8,0,0,1
Tnfsf10,0,0,-1
Tnfsf4,-1,1,1
Tnfsf8,0,1,1
Tnk2,0,0,-1
Top1mt,0,0,1
Top2a,1,1,1
Tox2,0,1,0
Tpd52,0,1,1
Tpi1,0,1,1
Tpm4,0,0,1
Tppp3,0,0,1
Tpx2,1,1,1
Traf1,0,1,0
Traip,0,1,1
Trappc10,1,0,0
Trbv13-3,0,0,-1
Trim36,0,0,-1
Trip13,1,1,1
Tsc22d3,0,0,1
Tspan3,0,1,0
Tspan31,0,0,1
Tspan32,0,0,1
Tsr1,0,1,0
Ttc13,0,0,1
Ttk,1,1,1
Tuba1b,0,1,1
Tuba1c,1,0,1
Tubb4b,0,1,1
Tubb5,0,0,1
Txndc5,0,0,1
Tyms,1,1,1
Ubash3a,0,0,-1
Ubash3b,0,-1,-1
Ube2c,0,1,1
Ube2s,1,0,0
Ube2t,0,0,1
Uck2,0,0,1
Ugcg,0,-1,-1
Uhrf1,1,1,1
Uhrf1bp1l,0,0,1
Usp18,0,1,0
Usp20,0,0,-1
Usp33,0,0,1
Utp14a,0,0,1
Vars,0,1,0
Vcl,0,0,1
Vegfb,0,1,0
Vim,1,0,1
Vps37b,0,0,-1
Vps37c,0,0,-1
Wbp1,0,0,-1
Wdhd1,1,0,1
Wdr62,0,0,1
Wee1,0,1,0
Xndc1,1,0,0
Zbed4,1,0,0
Zbtb32,0,0,1
Zbtb38,0,0,-1
Zbtb4,0,0,-1
Zdhhc2,0,0,1
Zeb2,0,-1,0
Zfp120,0,-1,-1
Zfp26,1,0,0
Zfp36l1,0,0,1
Zfp395,0,0,-1
Zfp422,0,0,1
Zfp512,0,0,-1
Zfp652,0,-1,-1
Zfp874b,0,-1,0
Zfp937,0,0,-1
Zmynd8,0,0,-1
Zscan20,0,0,-1
Zwilch,0,0,1
