gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
"	Igkv8-30",287.3925609,4.786957435,0.709546794,6.746499981,1.51E-11,1.20E-08
"	H2-Ob",231.3137623,2.744799443,0.40874068,6.715258783,1.88E-11,1.42E-08
"	Cd22",77.39439936,2.697551193,0.405456566,6.653120012,2.87E-11,2.08E-08
"	Fam101b",147.7067997,2.596278692,0.405050499,6.409765447,1.46E-10,1.02E-07
"	Adk",1883.583205,1.385695171,0.22001949,6.298056456,3.01E-10,2.03E-07
"	Trat1",412.3763119,2.249181456,0.358744958,6.269583454,3.62E-10,2.35E-07
"	Ephx1",68.05558837,2.610866308,0.417739463,6.24998723,4.10E-10,2.57E-07
"	Gm20559",742.237959,-1.155759102,0.187562389,-6.161998183,7.18E-10,4.35E-07
"	Id3",390.7539572,2.34760904,0.38166071,6.151036713,7.70E-10,4.51E-07
"	Nsg2",198.9583713,2.01488112,0.328023731,6.142485824,8.12E-10,4.61E-07
"	Tspan32",1988.684635,1.702295073,0.279896041,6.081883347,1.19E-09,6.54E-07
"	Iglv1",109.7917895,4.200959613,0.698121556,6.017518838,1.77E-09,9.46E-07
"	Itgax",1089.236047,-1.377965952,0.230146243,-5.987349313,2.13E-09,1.11E-06
"	Gm13139",80.20335073,-2.790578029,0.467303556,-5.97166016,2.35E-09,1.19E-06
"	Gm4208",79.7258896,-2.37535345,0.400654691,-5.928679996,3.05E-09,1.50E-06
"	Cd72",230.5442881,2.014092103,0.340444405,5.916067577,3.30E-09,1.58E-06
"	Dapl1",283.8494317,2.272267918,0.38725689,5.867598431,4.42E-09,2.06E-06
"	Aicda",64.37658395,2.643456153,0.451908465,5.849538914,4.93E-09,2.18E-06
"	Tmem108",54.28924196,2.413301082,0.412431171,5.851403221,4.87E-09,2.18E-06
"	Gm13154",144.1816208,2.520757013,0.440387773,5.723948682,1.04E-08,4.50E-06
"	Cd81",122.2014246,2.274063822,0.398502711,5.706520324,1.15E-08,4.76E-06
"	Izumo1r",46.08514859,2.885440185,0.505453856,5.708612463,1.14E-08,4.76E-06
"	Tmlhe",138.2026467,2.052046237,0.362877259,5.654932037,1.56E-08,6.16E-06
"	Tnfsf8",525.7955321,1.67846813,0.296676873,5.657563112,1.54E-08,6.16E-06
"	P2rx4",55.94822451,2.351702756,0.417625234,5.631131844,1.79E-08,6.92E-06
"	Ccdc126",120.0925935,1.694747306,0.301350555,5.623840006,1.87E-08,7.07E-06
"	Cd200r1",149.2745714,2.141628395,0.381939251,5.607248762,2.06E-08,7.62E-06
"	Il23r",70.46728559,3.288348105,0.587049093,5.601487411,2.13E-08,7.62E-06
"	Nfkbia",2011.277456,1.05031343,0.187542053,5.600415544,2.14E-08,7.62E-06
"	Ccr7",297.285607,2.093123483,0.374781525,5.584916391,2.34E-08,8.17E-06
"	Swap70",251.2262575,-1.614777484,0.290924055,-5.550512083,2.85E-08,9.76E-06
"	Tktl1",79.28581065,-2.25454614,0.407093007,-5.538159836,3.06E-08,1.03E-05
"	H2-Aa",217.8749031,2.599581862,0.470033716,5.530628487,3.19E-08,1.05E-05
"	Efhd2",1789.778978,-0.724148124,0.131175556,-5.520450208,3.38E-08,1.10E-05
"	Junb",1138.260889,1.377161577,0.250307134,5.501887035,3.76E-08,1.20E-05
"	Ppp1r14b",378.3267347,1.0746165,0.195533321,5.495822885,3.89E-08,1.22E-05
"	Slc15a2",145.2111875,-2.402449497,0.438034749,-5.484609388,4.14E-08,1.28E-05
"	S100a6",36165.6957,-1.079655512,0.197181171,-5.475449345,4.36E-08,1.32E-05
"	Padi2",120.4726694,-1.525724987,0.278950369,-5.469521306,4.51E-08,1.34E-05
"	Thy1",3959.050435,-1.031505386,0.189373862,-5.446925871,5.12E-08,1.50E-05
"	BC035044",800.8107575,1.668089599,0.306655983,5.439612112,5.34E-08,1.53E-05
"	Pld4",97.25059756,2.353739602,0.432819195,5.438159005,5.38E-08,1.53E-05
"	Iglc1",75.40205979,4.067936904,0.748753177,5.432947772,5.54E-08,1.55E-05
"	Dhrs3",70.22830238,2.484701988,0.457631616,5.42948062,5.65E-08,1.56E-05
"	Cnr2",34.45945816,3.394426588,0.625672197,5.425247609,5.79E-08,1.57E-05
"	Rgs10",420.3871945,1.426374152,0.26462564,5.390158529,7.04E-08,1.88E-05
"	Usp6nl",115.7167897,1.966917278,0.365551359,5.380686548,7.42E-08,1.95E-05
"	Spo11",79.88525903,1.693438195,0.315700649,5.364063071,8.14E-08,2.11E-05
"	Bphl",200.0738631,1.722965966,0.321946758,5.351710876,8.71E-08,2.21E-05
"	Tnfrsf13b",667.835473,0.811524117,0.151664482,5.350785527,8.76E-08,2.21E-05
"	Slamf6",5443.986953,1.048153307,0.196336097,5.33856649,9.37E-08,2.33E-05
"	Gm28809",241.5133468,1.679447254,0.315952289,5.315509057,1.06E-07,2.58E-05
"	Mgrn1",127.9437422,1.856828487,0.349191908,5.317501471,1.05E-07,2.58E-05
"	Ankrd55",97.79372337,2.004387745,0.381903292,5.248417044,1.53E-07,3.67E-05
"	Elovl6",140.0398147,1.470734637,0.281167009,5.230822224,1.69E-07,3.93E-05
"	Pkp4",557.8153664,1.119423365,0.213998599,5.230984541,1.69E-07,3.93E-05
"	Setbp1",73.3433347,1.947335569,0.373250508,5.21723488,1.82E-07,4.18E-05
"	Gm26614",50.00221316,-2.475187357,0.474917948,-5.211821052,1.87E-07,4.20E-05
"	Klrb1f",530.1177398,1.642958636,0.315248301,5.21163359,1.87E-07,4.20E-05
"	Btf3l4",483.0422936,0.971399328,0.186862576,5.19846911,2.01E-07,4.42E-05
"	Rab32",88.6701143,1.81422507,0.349050186,5.19760523,2.02E-07,4.42E-05
"	Casp4",1260.621996,1.181626723,0.22830806,5.175580419,2.27E-07,4.91E-05
"	Aff3",252.5426116,1.499749381,0.293277099,5.113762328,3.16E-07,6.75E-05
"	St6gal1",78.78888244,2.194716314,0.431215121,5.089608897,3.59E-07,7.58E-05
"	Hrsp12",1941.757668,-0.648132592,0.128278902,-5.052526832,4.36E-07,9.10E-05
"	Galnt3",490.5575213,-1.658334226,0.328720813,-5.044810552,4.54E-07,9.27E-05
"	Ikzf2",567.9424562,2.023635736,0.40101466,5.046288668,4.50E-07,9.27E-05
"	Ms4a4c",3469.654806,1.273264971,0.253052556,5.031622652,4.86E-07,9.82E-05
"	Nr4a1",132.1688015,1.404046675,0.279424312,5.024783516,5.04E-07,0.000100606
"	Ccr6",37.80789321,2.739371531,0.546910644,5.00881005,5.48E-07,0.000108136
"	Ddx28",216.7218312,-1.119540584,0.22629734,-4.947210525,7.53E-07,0.000147048
"	Adgrg5",235.724306,1.327402382,0.268706188,4.939976973,7.81E-07,0.000150986
"	Il7r",1630.413365,-1.30474874,0.264973722,-4.924068442,8.48E-07,0.000162076
"	Samd3",392.5847639,1.528368296,0.311020328,4.91404631,8.92E-07,0.000168813
"	Tnfrsf4",577.5067267,2.989583609,0.609105592,4.90815328,9.19E-07,0.00017217
"	Col23a1",26.16698776,-2.454911846,0.501104745,-4.898999401,9.63E-07,0.000178547
"	Odc1",974.3366071,1.094206262,0.22354989,4.894684862,9.85E-07,0.000180665
"	Abi3",61.89526158,1.910306931,0.391391259,4.880811429,1.06E-06,0.000191914
"	Itga1",310.0233137,-1.536935769,0.317385787,-4.842484552,1.28E-06,0.000230616
"	Txnip",1287.240489,-0.889682356,0.183952411,-4.836481093,1.32E-06,0.000235358
"	AA467197",493.9310325,-1.732849347,0.358731492,-4.830491286,1.36E-06,0.000240195
"	Slc43a1",76.74039524,2.895646855,0.599989018,4.826166428,1.39E-06,0.000243107
"	Ppp1r15a",219.4177392,1.41134672,0.29329905,4.811971678,1.49E-06,0.000258067
"	Rnf157",114.9046741,1.611349197,0.334968654,4.810447715,1.51E-06,0.000258067
"	1700017B05Rik",300.7379069,-1.186718729,0.248846454,-4.768879395,1.85E-06,0.000314498
"	Gm13251",71.6259678,1.6060704,0.337589366,4.757467392,1.96E-06,0.000329723
"	Cxcr4",201.977474,1.714917614,0.360961811,4.750966891,2.02E-06,0.00033738
"	Dus2",679.8317509,0.871905007,0.183988549,4.738909089,2.15E-06,0.000354832
"	Gm15518",104.4088538,-1.482587889,0.313460412,-4.729745226,2.25E-06,0.000367885
"	Ighd",55.83901821,1.915768853,0.405865042,4.720211531,2.36E-06,0.000382113
"	Klk1b11",33.47162885,3.271257903,0.69334018,4.718113846,2.38E-06,0.000382657
"	Chst2",147.5230817,1.500337907,0.318239739,4.714489492,2.42E-06,0.000386114
"	Ctss",2801.78881,1.151389577,0.245125874,4.697136033,2.64E-06,0.000416744
"	Errfi1",398.4848301,-1.060845913,0.226228253,-4.689272448,2.74E-06,0.000429349
"	C1qb",134.6223869,2.691011167,0.575264448,4.677868024,2.90E-06,0.000450046
"	Gm43775",132.1360888,-1.330219481,0.287838737,-4.62140535,3.81E-06,0.000586744
"	Hip1",470.471528,-0.894933738,0.193994996,-4.613179505,3.97E-06,0.00060533
"	F2r",1103.018767,-0.806940394,0.175629702,-4.594555395,4.34E-06,0.000651047
"	Tank",2538.25473,1.0436622,0.227082101,4.595968583,4.31E-06,0.000651047
"	Iglc2",41.65561868,2.354977906,0.513549096,4.585691849,4.52E-06,0.000673721
"	Id2",52225.51403,-0.959197118,0.210283816,-4.561440526,5.08E-06,0.000750286
"	1810037I17Rik",14064.5108,-0.68007101,0.149243396,-4.556791293,5.19E-06,0.000754806
"	Acsbg1",364.5484274,-0.979069433,0.214847254,-4.557048851,5.19E-06,0.000754806
"	Xcr1",134.6786018,-1.734154144,0.380912953,-4.552625822,5.30E-06,0.000763802
"	Gm16225",61.38508139,2.250945806,0.496054258,4.537700802,5.69E-06,0.000813433
"	Jchain",156.7661482,3.1562364,0.697495617,4.525098544,6.04E-06,0.000856698
"	Lysmd2",1014.687899,1.382307464,0.305862375,4.519377267,6.20E-06,0.000873353
"	Cd40lg",336.1922875,1.829554884,0.404976617,4.517680299,6.25E-06,0.000873608
"	Prkd3",733.2825605,-0.714273777,0.158928339,-4.494313484,6.98E-06,0.000967803
"	Emp1",1084.66165,-0.897783658,0.200033071,-4.488176144,7.18E-06,0.000986708
"	Mt3",112.0002235,1.827679003,0.407330683,4.486966187,7.22E-06,0.000986708
"	Gramd1a",716.9812547,-0.921088158,0.207653554,-4.43569657,9.18E-06,0.0012441
"	Cxcl10",221.084254,1.816861148,0.411152888,4.418942928,9.92E-06,0.001334587
"	Amica1",450.0452573,-1.684288888,0.381401513,-4.416051928,1.01E-05,0.001342606
"	Itih5",119.6401078,1.322099409,0.299583033,4.413131794,1.02E-05,0.001350918
"	Cxcr5",219.2061006,2.116943356,0.481482548,4.396718768,1.10E-05,0.001446613
"	5430421N21Rik",103.2664016,1.791963012,0.407987156,4.392204471,1.12E-05,0.001455887
"	Anxa1",8242.255919,-1.191142496,0.271150826,-4.392914872,1.12E-05,0.001455887
"	Ext1",79.06478852,1.347568711,0.308164911,4.372881738,1.23E-05,0.001579674
"	Mnda",116.9607598,1.75281811,0.403242467,4.346809307,1.38E-05,0.001767022
"	Socs1",76.36264716,1.570031784,0.361548761,4.342517398,1.41E-05,0.001789307
"	Fam46c",632.9512142,1.010743664,0.232852225,4.340708644,1.42E-05,0.001791573
"	Sub1",115738.4357,-0.752570138,0.174571711,-4.310951274,1.63E-05,0.002036406
"	Sgk1",2274.156409,-1.004048442,0.233088227,-4.307589688,1.65E-05,0.002053431
"	Prf1",838.1433595,-1.008949269,0.235366435,-4.286716871,1.81E-05,0.00224076
"	Tomm5",4327.161987,-0.483076035,0.112821628,-4.281767989,1.85E-05,0.002275709
"	H2-Q10",716.9703181,-0.936877396,0.21908381,-4.276342443,1.90E-05,0.002316207
"	Nhsl2",99.75192354,-1.385328965,0.324357656,-4.270992039,1.95E-05,0.002356671
"	Nrp1",1016.220536,-0.964979425,0.226426702,-4.261773979,2.03E-05,0.00243977
"	Ier3",91.75772669,-1.563470111,0.367689339,-4.252149697,2.12E-05,0.002530292
"	Dusp1",767.4764029,1.536824467,0.361813266,4.247562521,2.16E-05,0.002565763
"	H2-Oa",99.5430287,2.297795493,0.542637716,4.234492788,2.29E-05,0.002701963
"	Cd55",382.2289673,-1.123197573,0.26597673,-4.222916692,2.41E-05,0.002808134
"	Dock5",699.276131,-0.651958985,0.154356177,-4.223731095,2.40E-05,0.002808134
"	Siah2",523.4996515,0.938987425,0.222856398,4.213419184,2.52E-05,0.00291026
"	Trib2",492.4221819,1.036422144,0.246512676,4.2043361,2.62E-05,0.003010442
"	Gstt1",109.4372016,1.396336623,0.332651406,4.197597233,2.70E-05,0.003081902
"	Myb",685.4800155,1.624603556,0.387246068,4.1952745,2.73E-05,0.003094196
"	Itgam",294.9698263,-1.560492226,0.373022995,-4.183367372,2.87E-05,0.003240621
"	Bzw2",965.1512565,0.650386513,0.156283133,4.161591226,3.16E-05,0.003543719
"	Bnip3",87.20511797,1.41247493,0.339709737,4.157887683,3.21E-05,0.003579551
"	Sema4a",1070.836592,-0.811136412,0.195357663,-4.152058331,3.29E-05,0.003649595
"	Tpi1",1401.78234,1.088445312,0.262440146,4.147403996,3.36E-05,0.003701987
"	Lipa",503.9710604,0.849313472,0.205597234,4.130957673,3.61E-05,0.003953132
"	Fam160a2",175.87325,-1.201472722,0.291007642,-4.128663816,3.65E-05,0.003954626
"	Fas",1234.777633,0.817757506,0.198168192,4.126583075,3.68E-05,0.003954626
"	Lyz2",247.8452047,2.569874766,0.622697295,4.127004864,3.68E-05,0.003954626
"	Rell1",132.6581019,-1.366256947,0.331182135,-4.125394468,3.70E-05,0.003954626
"	Tnfaip3",1849.04481,0.576512308,0.140261019,4.110281763,3.95E-05,0.004197885
"	Gm11998",159.4023414,0.945908597,0.230826178,4.097925995,4.17E-05,0.004402568
"	Chrna1os",27.7194226,2.202066879,0.539416346,4.082313958,4.46E-05,0.004681898
"	Tgif1",345.4256968,0.766494621,0.187852277,4.080305197,4.50E-05,0.004695403
"	Tnfrsf26",1029.422675,1.105671271,0.271098938,4.078478794,4.53E-05,0.004705393
"	Ccdc180",151.2557647,-1.594456283,0.391797425,-4.069593574,4.71E-05,0.004860709
"	Coprs",65.09177802,1.811328426,0.445597106,4.064946561,4.80E-05,0.004930563
"	Ighg2c",157.5761593,2.954033539,0.728809991,4.053228651,5.05E-05,0.005155144
"	Dgkh",52.36386851,-1.698839483,0.419427635,-4.050375655,5.11E-05,0.005189251
"	P2ry12",406.0698641,-1.469159141,0.365143583,-4.023510778,5.73E-05,0.005786255
"	Pecam1",291.1599465,1.216608295,0.303744938,4.00536155,6.19E-05,0.006214507
"	Slc2a3",795.5626097,-0.642751317,0.160993179,-3.99241335,6.54E-05,0.006502798
"	Tspan2",362.7652743,-1.165387358,0.291928819,-3.992025732,6.55E-05,0.006502798
"	Abracl",30611.60252,-0.659872735,0.165569196,-3.985480109,6.73E-05,0.006648372
"	Tox2",35.37789617,1.871521459,0.470162177,3.980587021,6.87E-05,0.006750045
"	Cpm",284.5778957,0.730741787,0.183916393,3.973228143,7.09E-05,0.006924681
"	C1qc",96.96093303,2.256450832,0.569392636,3.962908351,7.40E-05,0.007192389
"	Inpp5f",277.4237563,0.826697582,0.209212702,3.951469366,7.77E-05,0.007504929
"	Enpp4",254.022571,-1.070357239,0.271156985,-3.947371073,7.90E-05,0.007594127
"	Hdac3",623.8850042,0.646235494,0.163880447,3.943334956,8.04E-05,0.007682485
"	Cd160",4079.194105,1.431804348,0.363467916,3.939286761,8.17E-05,0.007772357
"	Mboat1",225.6522969,0.913735224,0.232209568,3.934959413,8.32E-05,0.007872518
"	Paqr7",64.61293871,-1.617460247,0.41174256,-3.928329014,8.55E-05,0.008050778
"	Atp2b4",735.1444664,-0.617208504,0.157357274,-3.922338556,8.77E-05,0.008211109
"	Aig1",336.146869,1.019910817,0.26055125,3.914434558,9.06E-05,0.008406026
"	Phyh",692.9323603,0.597677191,0.152694226,3.91420952,9.07E-05,0.008406026
"	Dynlt3",1011.763716,1.255973786,0.321000772,3.912681517,9.13E-05,0.00841647
"	Trdv4",89.5737214,-1.726097894,0.441557922,-3.909108649,9.26E-05,0.00849877
"	Cldn10",21.30756989,2.425780813,0.620910608,3.906811674,9.35E-05,0.008536819
"	Tnfrsf25",609.050579,1.04483648,0.267927355,3.899700644,9.63E-05,0.00874751
"	Gm11454",39.83540903,2.179922134,0.560165508,3.891567944,9.96E-05,0.009001028
"	Gm28942",36.7953956,-2.493730546,0.64107349,-3.889929292,0.000100273,0.009017163
"	Kcnq1",2.276939256,-2.689582654,0.692087359,-3.886189539,0.00010183,0.009034124
"	Rasl11a",95.08220908,-1.2168164,0.31313681,-3.885893839,0.000101954,0.009034124
"	Tnfrsf1b",563.921847,-0.838244174,0.215643948,-3.88716763,0.000101421,0.009034124
"	6330403K07Rik",160.8529537,1.361409343,0.351422436,3.873996658,0.000107065,0.00944094
"	Cmya5",66.71841298,1.248370175,0.323315127,3.861156095,0.000112852,0.009903152
"	Kbtbd3",1201.135999,-0.620446031,0.162161513,-3.826099174,0.00013019,0.011369706
"	Maoa",43.12562827,-2.281067557,0.596570398,-3.823635172,0.000131498,0.01142904
"	Kcnk6",23.38552902,-2.204790893,0.577483548,-3.817928495,0.000134577,0.011640903
"	Slco3a1",772.1025219,-0.911102161,0.23905992,-3.811187429,0.000138301,0.011906327
"	Adam8",123.9799886,-1.494463824,0.392450917,-3.808027344,0.00014008,0.012002591
"	Gatsl3",109.2982318,1.455051759,0.382467685,3.804378288,0.000142161,0.012123712
"	Cd74",525.0433246,2.442523198,0.643542227,3.795435788,0.000147384,0.012510451
"	A230065H16Rik",75.16774194,2.345195448,0.620682766,3.778412383,0.000157831,0.013302538
"	Mpp1",331.6407057,0.936772516,0.247963665,3.777862028,0.00015818,0.013302538
"	Nr4a2",284.4271696,1.034726696,0.274007549,3.776270768,0.000159194,0.013326073
"	Hmgn3",138.2877694,1.389137591,0.368189489,3.77288769,0.000161369,0.013441787
"	Tle1",95.42962941,-1.456258815,0.386088383,-3.771827589,0.000162056,0.013441787
"	Il6ra",63.94069218,1.699064712,0.450908204,3.768094475,0.000164498,0.013582338
"	Crtam",884.3468108,0.700420254,0.186002658,3.765646468,0.000166119,0.013654056
"	Rab37",702.7356879,0.686390358,0.182435195,3.762379052,0.000168305,0.013771419
"	Med12l",56.83299195,-1.638762663,0.436033679,-3.758339644,0.000171045,0.013932848
"	1700027F09Rik",71.56268667,1.594527608,0.424506467,3.756191557,0.000172519,0.013990185
"	Etv6",444.5732529,0.774999016,0.206952726,3.744811827,0.000180529,0.01457471
"	Ispd",24.20748285,2.394181162,0.64071213,3.73675017,0.000186414,0.014983229
"	Pcyt1a",127.0419258,-1.17451301,0.31503594,-3.72818736,0.000192862,0.015386876
"	Pik3r5",869.075105,-0.667165727,0.178968579,-3.727837195,0.00019313,0.015386876
"	Nucb2",48.55639597,1.746615282,0.468848493,3.725329843,0.00019506,0.015472772
"	Capn3",46.313148,1.58270202,0.425267148,3.721665377,0.000197913,0.015630839
"	Gm42722",32.08916858,-1.895650225,0.510272377,-3.714977157,0.000203222,0.015980643
"	Jrk",25.48552178,-2.117904364,0.570306947,-3.713621895,0.000204314,0.015997257
"	Msrb2",223.521485,0.757662925,0.204288153,3.70879522,0.000208248,0.016070703
"	Spata1",114.5303402,1.121854479,0.302529172,3.708252232,0.000208695,0.016070703
"	Spef2",34.94598963,-1.556066308,0.419635764,-3.708135583,0.000208791,0.016070703
"	Ubash3b",353.0676844,1.021299833,0.275406482,3.708336227,0.000208626,0.016070703
"	Pacsin2",360.5677138,-0.656171706,0.177047466,-3.706190902,0.0002104,0.016126208
"	1810041H14Rik",586.1018621,0.912312809,0.246660531,3.698657444,0.000216743,0.016465264
"	Camk2d",797.2775504,0.619720511,0.167616041,3.697262541,0.000217937,0.016465264
"	Clec4a1",8.785432473,2.649722999,0.716787167,3.696666349,0.000218449,0.016465264
"	Dync2li1",37.80938113,1.967931537,0.532269705,3.697245058,0.000217952,0.016465264
"	Timp2",135.9002754,1.339025262,0.362497044,3.693892915,0.000220847,0.016577201
"	Kctd20",520.4819465,-0.66633289,0.180930648,-3.682808293,0.000230679,0.01724394
"	Wfikkn2",91.05520514,-1.17533198,0.321130287,-3.659984829,0.00025223,0.01877771
"	Bag2",120.7284033,1.042456671,0.28543306,3.652193162,0.00026001,0.01920781
"	Mal",8.835199675,-2.716930868,0.743940168,-3.652082498,0.000260122,0.01920781
"	Pla2g12a",384.2496318,0.988035998,0.270754871,3.649190108,0.000263068,0.019346709
"	Igkv6-23",5.302121187,2.727246274,0.747725324,3.64739054,0.000264917,0.01940411
"	Nek7",2784.910737,0.492222208,0.135042018,3.644955957,0.000267438,0.019510056
"	Thoc3",732.8169993,0.725319073,0.199183307,3.641465165,0.000271091,0.019697458
"	Mrpl33",7546.400884,-0.629932619,0.173156072,-3.637947038,0.00027482,0.01988886
"	Dcun1d3",133.2575796,-1.045696527,0.287549101,-3.63658423,0.000276277,0.019914991
"	Hmgn1",1722.572679,0.651342481,0.179491642,3.628817878,0.000284722,0.02044259
"	Ddx43",108.3331025,1.36430814,0.376305127,3.625536944,0.000288362,0.02061113
"	Oxr1",1615.654879,0.664858163,0.183426212,3.624662784,0.000289339,0.02061113
"	Pgm2l1",552.9307844,-1.022070372,0.28214844,-3.622456224,0.000291819,0.0207066
"	Hdac7",370.6826922,-0.721986062,0.199620292,-3.616796938,0.000298271,0.021000367
"	S100a13",11259.60199,-0.618498935,0.170996942,-3.617017524,0.000298017,0.021000367
"	Dlgap5",439.63457,0.677606741,0.187577459,3.612410277,0.000303364,0.021197966
"	Trip4",914.0401502,-0.473038927,0.130949755,-3.612369699,0.000303412,0.021197966
"	Fyb",1040.245223,0.614371339,0.170713278,3.598849167,0.000319628,0.022160502
"	Tlr1",155.8340386,1.177630687,0.327223138,3.598861294,0.000319614,0.022160502
"	Gm43837",14.95807814,2.351406694,0.653727584,3.596921335,0.000322006,0.02224044
"	2010016I18Rik",105.6908065,1.140399276,0.317435776,3.592535442,0.000327476,0.02244756
"	Tmem141",68.84294995,1.462042684,0.406953212,3.592655471,0.000327325,0.02244756
"	Chac2",371.0934303,0.861303383,0.240033473,3.588263644,0.000332888,0.022658031
"	Dnase1l3",40.06639107,1.781003216,0.496357885,3.588143293,0.000333041,0.022658031
"	Ptrh1",38.36952143,1.553113531,0.43311891,3.58588253,0.00033594,0.022769974
"	4930415F15Rik",27.65577726,1.999544112,0.558050594,3.583087507,0.000339557,0.022929551
"	Phactr2",129.8017332,1.105643955,0.308706986,3.58153202,0.000341585,0.022981097
"	Igkv1-135",3.676538316,2.622957378,0.732999325,3.578389897,0.000345717,0.023173275
"	2610020H08Rik",331.4811251,-0.892663818,0.249644014,-3.575746935,0.000349229,0.023237184
"	Abcg2",82.53490043,1.531187936,0.428128305,3.576469763,0.000348266,0.023237184
"	S100a10",41785.39206,-0.613022744,0.171722242,-3.569850571,0.000357185,0.023679796
"	Fam102a",627.8607291,-0.677216444,0.189762864,-3.568751167,0.000358687,0.023692899
"	Sema4f",88.53297698,-1.433688129,0.40211721,-3.565348843,0.000363373,0.023855935
"	Sh2d1a",14860.06492,0.49508049,0.138870415,3.565053721,0.000363782,0.023855935
"	Kcnk5",184.3352688,-0.838827573,0.235363414,-3.563967563,0.000365291,0.023868752
"	Iglc3",29.85628508,1.855578218,0.520922452,3.562100674,0.000367899,0.02395301
"	S1pr4",600.9867339,-0.682305414,0.1916731,-3.559734853,0.000371229,0.024083508
"	Hspa8",5246.802108,-0.587213027,0.165014712,-3.558549542,0.000372908,0.024106342
"	Prpf39",1169.718201,0.551883318,0.155139895,3.557326867,0.000374648,0.024132902
"	Cep19",492.5198737,0.670599462,0.188638161,3.554951228,0.000378049,0.02424144
"	Gipc1",141.1573785,0.902690044,0.253972013,3.554289436,0.000379002,0.02424144
"	Tmem229b",517.0930636,-0.628738439,0.176951816,-3.553161842,0.00038063,0.024260168
"	1500009L16Rik",2805.736166,-1.469787587,0.413867688,-3.551346548,0.000383265,0.024342714
"	Clcn5",141.5163746,-1.033391126,0.291335048,-3.547088254,0.000389514,0.024638042
"	Plod1",26.25426704,-1.831893632,0.516692621,-3.545422479,0.000391984,0.024638042
"	Wdr95",1026.957524,-1.154846349,0.325689973,-3.545845578,0.000391355,0.024638042
"	H2-Ab1",119.2870779,2.014026346,0.568738665,3.541215799,0.000398288,0.024944274
"	P2ry13",28.96265682,-2.395015421,0.676491903,-3.540346025,0.000399603,0.024944274
"	Gucd1",354.5464258,-0.627159938,0.177247026,-3.538338296,0.000402654,0.025048653
"	Mprip",237.3231737,-0.904961899,0.256988935,-3.521404134,0.000429268,0.026613142
"	Rapgef3",3.342524231,-2.481728293,0.705310367,-3.518632942,0.000433776,0.026794362
"	Sytl2",538.4276318,-0.779807862,0.221674904,-3.517799484,0.000435141,0.026794362
"	Zfp422",682.9754883,0.739802933,0.210617032,3.512550373,0.000443828,0.027236936
"	Col7a1",12.84370084,-2.585859934,0.736457722,-3.51121301,0.000446067,0.027282167
"	Adam11",2.524189997,-2.497356827,0.712658429,-3.504283011,0.000457839,0.027814838
"	Mkks",2055.426342,-0.441323773,0.125924375,-3.504673127,0.000457168,0.027814838
"	Ifnar2",632.1722054,0.715500296,0.204352679,3.501301285,0.000462992,0.028034172
"	Celsr3",7.70117447,-2.580668628,0.737399219,-3.499689939,0.0004658,0.0280622
"	Tctn2",26.93214716,2.161686621,0.617754684,3.49926383,0.000466545,0.0280622
"	Cebpb",158.8960696,1.304154062,0.373033057,3.496081745,0.000472144,0.028204579
"	Il18r1",2388.66459,-0.737890012,0.211110592,-3.495277075,0.00047357,0.028204579
