gene_name,Cluster_16_Mean_TPM,Cluster_20_Mean_TPM,log10pval,log2FoldChange
2610008E11Rik,1.880453319,1.479070334,-0.015662234,0.216496675
2610020C07Rik,4.137385704,7.836507277,-7.782005073,-0.782441849
2610021A01Rik,2.800306871,3.592074172,-2.886987256,-0.273030025
2610035D17Rik,2.818699544,2.54785715,-0.746037389,0.10613349
2610037D02Rik,3.513809048,3.939520118,-1.405117131,-0.1300255
2610044O15Rik8,13.22605934,8.904843675,-0.0410041,0.522329976
2610301B20Rik,2.915474051,3.58608275,-2.134134437,-0.2280754
2610318N02Rik,37.98531021,39.44495953,-4.670114307,-0.053029303
2610507B11Rik,15.09720719,19.83712439,-7.674315525,-0.372345786
2610524H06Rik,37.34239608,40.2258669,-3.492082062,-0.104609335
2700038G22Rik,4.428353775,6.631472625,-5.25534446,-0.49144673
2700049A03Rik,5.000984006,5.494104961,-2.266777103,-0.113931617
2700062C07Rik,14.05755511,15.36588821,-4.018481597,-0.120204363
2700097O09Rik,7.409051118,7.425414067,-2.469789806,-0.002804574
2810001G20Rik,21.43369611,9.865611158,-3.358275128,1.04589801
2810004N23Rik,39.76969582,48.10714781,-6.30741165,-0.268435839
2810006K23Rik,9.390089813,10.52108702,-3.562533618,-0.149068718
2810021J22Rik,2.342626715,2.812703965,-1.925280395,-0.189832266
2810402E24Rik,9.478621495,8.613311353,-1.456286525,0.124343572
2810403A07Rik,21.28210542,21.30350494,-2.318545674,-0.001384886
2810405F17Rik,1.781888625,1.80520299,-0.540901592,-0.012040509
2810429I04Rik,1.422532489,1.808552526,-1.179394898,-0.21331077
2810454H06Rik,4.078920158,3.28696682,-0.138444832,0.244564544
2810474O19Rik,46.51489926,39.1434428,-0.342033647,0.24321562
2900060B14Rik,5.444700554,4.007788088,-1.097289897,0.363939813
2900076A07Rik,4.380039969,3.475700441,-0.250066795,0.265503411
2900093K20Rik,4.61887911,3.068297883,-0.008359749,0.465857043
3010003L21Rik,10.7075628,9.14269721,-1.134633782,0.206999422
3110001I22Rik,10.30324294,7.585863756,-0.109272661,0.396701561
3110002H16Rik,17.21320013,16.86289069,-2.715680961,0.028018866
3110009E18Rik,10.27312004,8.894843013,-0.601176177,0.188138139
3110040N11Rik,35.29569809,33.27268574,-0.96540326,0.082739313
3110056K07Rik,10.95742467,5.325470182,-0.621103736,0.918662075
3110062M04Rik,15.24336341,12.53161816,-0.665549002,0.263516021
3110082I17Rik,2.206110004,5.436986806,-9.343768172,-1.005561585
3830406C13Rik,43.14820445,26.98323563,-2.173488671,0.657791976
4632415L05Rik,5.663532094,4.592491205,-0.482566841,0.252796017
4732440D04Rik,4.813292042,3.554891828,-0.196035538,0.351938595
4833403J16Rik,8.969803907,8.009653157,-1.50535549,0.146093561
4833407H14Rik,7.068776181,4.414900439,-0.10949155,0.57541506
4833420G17Rik,21.41925736,18.57155057,-0.63800163,0.195980431
4833439L19Rik,21.45530025,25.06048735,-4.968055032,-0.214808051
4921524J17Rik,56.61234703,55.03066028,-0.428661122,0.040161538
4930402H24Rik,6.409983571,5.128224434,-0.422930092,0.27400121
4930430F08Rik,2.641327149,3.33916894,-2.390949898,-0.252954394
4930453N24Rik,77.55927931,72.6893488,-0.231342724,0.09232559
4930481A15Rik,3.689780303,2.237786081,-0.647944064,0.534512669
4930486L24Rik,43.99229767,26.82664831,-3.301547891,0.693210896
4930503L19Rik,3.640040636,7.112880508,-8.461685314,-0.806076799
4930518I15Rik,1.934855165,1.365840037,-0.064584161,0.310936777
4930522L14Rik,18.71432436,20.10782982,-4.741592875,-0.098533989
4930523C07Rik,92.10959286,96.71384398,-1.71949619,-0.069633163
4930524J08Rik,3.193160138,5.853878264,-7.105219197,-0.708882639
4930532G15Rik,1.965851063,1.863634087,-0.399598209,0.050598993
4930570N18Rik,11.67042566,7.819154256,-0.097361566,0.522752778
4930579G24Rik,14.4630605,41.35928535,-50.47106905,-1.453852359
4931406C07Rik,2.828865206,2.726214929,-0.721887603,0.03920598
4931406P16Rik,10.39031288,9.820182626,-1.814724377,0.074082528
4931414P19Rik,3.448114277,2.551371524,-0.222036899,0.324817558
4932422M17Rik,6.450464343,5.344903907,-0.752006378,0.231732028
4932438A13Rik,24.0355005,24.7012164,-2.970186418,-0.037861345
4933404O12Rik,2.042616371,3.173827497,-3.270885945,-0.456058533
4933427D14Rik,3.030630552,3.284396363,-1.515888773,-0.088086403
4933434E20Rik,39.06086373,34.49029233,-0.839347049,0.174769069
5031425E22Rik,28.33766108,19.481817,-0.510284679,0.518410151
5031439G07Rik,1.547295249,2.79505008,-3.636246774,-0.575152736
5033430I15Rik,14.72014759,14.35615708,-2.50291644,0.03379754
5430403G16Rik,4.228951965,2.674038338,-0.278158713,0.509155136
5430416N02Rik,14.14178455,12.41928399,-0.766624966,0.17422755
5430427O19Rik,12.68302854,9.012000792,-0.306357698,0.450657275
5430431A17Rik,1.191304828,1.334406506,-0.381310966,-0.09126562
5730455P16Rik,7.870566178,8.871583852,-4.132424232,-0.154255387
5730480H06Rik,7.643032824,10.95452244,-6.208453052,-0.467946953
5830432E09Rik,16.85334157,13.43171677,-0.917809262,0.306951195
5830454E08Rik,2.373551034,1.605192425,-0.323359273,0.37287805
5830468F06Rik,6.909535404,5.361025175,-0.188153871,0.314333659
6030458C11Rik,9.503001968,10.79882856,-2.985978158,-0.167841892
6230400D17Rik,1.713104264,1.675201948,-0.302827274,0.020296688
6330403K07Rik,4.370073482,4.374619156,-0.84605442,-0.0012207
6330418K02Rik,5.083527756,4.246351989,-0.871157566,0.213593562
6720427I07Rik,2.478096055,1.857359262,-0.177316441,0.283615335
6720489N17Rik,2.213614589,2.386342972,-0.701646434,-0.075531182
8030462N17Rik,2.446229861,3.323859519,-2.328566834,-0.32730072
9030624J02Rik,31.97830421,24.94973888,-0.165495783,0.345797194
9130019O22Rik,2.386333936,2.227463221,-0.383435756,0.069323593
9130221H12Rik,2.316118309,2.127589981,-0.479477406,0.084444087
9130401M01Rik,31.3642395,39.12218964,-5.418200509,-0.309999738
9330020H09Rik,6.303944684,4.682187351,-0.168751185,0.362229439
9330151L19Rik,2.62748759,2.891952172,-1.868015431,-0.101523302
9330160F10Rik,2.656051404,2.570023552,-0.466216642,0.034352763
9330175E14Rik,9.472379523,6.518436404,-0.015435525,0.478084724
9430015G10Rik,2.754920294,3.531410719,-2.524150354,-0.271177976
9430038I01Rik,12.98434557,12.48074047,-2.003413104,0.052912998
9430060I03Rik,2.423025806,1.713019522,-0.215813151,0.33537274
9530034E10Rik,2.075132672,1.929136099,-0.294725209,0.070173427
9530068E07Rik,28.01867286,25.83264016,-1.855254786,0.112992527
9930012K11Rik,3.332816786,4.042405022,-2.661578366,-0.218806771
9930021J03Rik,5.900329792,7.161928826,-3.555632396,-0.242244815
9930022D16Rik,2.130921639,2.053840746,-0.624119001,0.035962571
9930111J21Rik2,28.57309033,20.08332959,-0.496447767,0.488182287
a,2.95867232,3.038180111,-0.726956821,-0.028688606
A130010J15Rik,3.888360802,4.521176411,-2.324487423,-0.175624926
A130014A01Rik,1.774745604,2.088064875,-1.290765397,-0.154347554
A230050P20Rik,12.55600201,11.67272788,-1.916135013,0.097204649
A330069E16Rik,3.112839509,3.053178125,-1.037730088,0.021081197
A430005L14Rik,38.5204475,69.50798171,-28.62351522,-0.835187301
A430033K04Rik,1.853560855,1.711330118,-0.540258472,0.073762551
A430046D13Rik,9.79866718,5.371353212,-0.752686886,0.761181535
A430078G23Rik,7.150383586,5.37979851,-0.515550735,0.353357099
A530017D24Rik,2.786267045,3.070846478,-1.074877631,-0.104552647
A530040E14Rik,3.22350061,2.425512278,-0.154981186,0.302119503
A630001G21Rik,20.92300986,16.12852691,-0.140242791,0.356044801
A630072M18Rik,8.851103817,7.068677563,-0.782699707,0.287953149
A930024E05Rik,4.205834654,3.808506003,-0.979629435,0.11454077
A930029G22Rik,4.508305782,3.366363748,-0.091558129,0.335176328
AA386476,2.421229727,2.347895376,-0.699791732,0.031260537
AA467197,269.8073033,218.8495289,-1.874293059,0.300750206
AA474408,2.345571585,2.567760666,-0.817244964,-0.092766125
Aaas,21.12228548,31.08647787,-14.27296403,-0.536464994
Aacs,16.325562,16.15375234,-1.290953501,0.014377954
Aaed1,7.196511163,7.072348285,-2.348237407,0.022021537
Aagab,17.81726619,17.44876422,-2.478892514,0.028532864
Aak1,41.0803911,38.60493012,-0.572315568,0.087468081
Aamdc,22.7107186,17.35159263,-0.744326918,0.369634116
Aamp,85.81526945,74.59684,-0.411165642,0.199622882
Aar2,12.11803462,10.60581692,-1.100435042,0.176703512
Aars,72.70416906,124.6895793,-36.95607301,-0.770046911
Aars2,5.008883069,5.372402434,-2.374126065,-0.084740532
Aarsd1,3.833099419,4.638649529,-2.235261451,-0.222401003
Aasdh,3.793967323,2.489202488,-0.225173691,0.458322752
Aasdhppt,22.3231478,28.4637545,-6.68411573,-0.337178767
Aatf,17.73810317,21.44533039,-5.377295108,-0.260440414
AB124611,20.92194861,14.78518918,-0.064584161,0.473804492
Abca2,12.34107779,13.06179583,-3.62012662,-0.07590563
Abca3,4.831671031,4.015234849,-0.433665249,0.217592079
Abca7,7.109667365,7.104236521,-1.740775145,0.000966461
Abcb10,3.507520821,2.739618131,-0.04231148,0.269443198
Abcb1a,19.47736644,18.43161797,-1.63271974,0.075624153
Abcb1b,30.10851102,26.59248488,-2.184728849,0.173033956
Abcb6,2.49560584,3.179733965,-1.734531854,-0.257868602
Abcb7,10.63497431,14.39354517,-6.983659276,-0.4038575
Abcb8,9.491094518,8.183748082,-0.692188339,0.192010226
Abcb9,109.7962609,73.81804032,-8.881673972,0.566451111
Abcc1,6.381396791,3.806725424,-0.038888938,0.618839451
Abcc10,2.638769615,2.491947583,-1.015706491,0.059418808
Abcc4,4.644699328,5.289433319,-2.259982733,-0.1560333
Abcc5,3.033624597,3.366327342,-0.824435964,-0.114343472
Abcd1,11.52900895,10.33512263,-1.796194203,0.144472302
Abcd3,5.878220751,6.89112391,-3.118220283,-0.198195375
Abcd4,6.276451903,6.559202267,-2.344646667,-0.054998849
Abce1,28.51455885,29.33112006,-2.06771943,-0.039371996
Abcf1,105.6443136,119.4986132,-4.349896147,-0.176209501
Abcf2,23.83177501,33.89175361,-12.38996693,-0.490698716
Abcf3,15.08349171,12.35604698,-0.564906812,0.268087575
Abcg1,2.372822879,1.773410569,-0.218152551,0.282295353
Abcg2,1.428741329,2.060128544,-2.575113931,-0.333383411
Abcg3,6.099839089,4.164841974,-0.052159042,0.459062119
Abhd10,15.28372148,18.41648707,-6.282184976,-0.253851754
Abhd11,23.53244702,26.27082698,-5.083802603,-0.152667305
Abhd12,27.86096415,27.6922156,-2.059019335,0.008460119
Abhd13,10.62534721,9.467591571,-1.533054846,0.151344267
Abhd14a,5.679470912,7.846538748,-3.987181608,-0.405379274
Abhd14b,5.074267943,3.726216244,-0.089619948,0.362024909
Abhd16a,32.17091118,32.53212587,-2.74401295,-0.015625308
Abhd17a,104.1498314,105.2127772,-1.150658497,-0.014510793
Abhd17b,19.53080311,22.57697989,-5.286699874,-0.199588864
Abhd17c,14.50970568,19.3475358,-8.486678039,-0.391682777
Abhd18,8.443687166,5.41249018,-0.336823481,0.55846554
Abhd2,22.41888373,20.07853097,-1.768061873,0.151897986
Abhd4,2.853409078,2.331546924,-0.219482326,0.209943137
Abhd5,12.28339145,14.08475318,-4.071886487,-0.183467555
Abhd6,5.207700261,4.751484541,-0.839161431,0.110124514
Abhd8,68.63694689,65.27188659,-0.027229545,0.071455962
Abi1,69.99493841,59.87127121,-0.136213372,0.221954677
Abi2,8.081777625,8.121668654,-2.34023105,-0.006323053
Abi3,92.89523764,96.0198361,-1.353457842,-0.047227756
Abl1,5.42356519,6.356803529,-3.135866234,-0.195704823
Abl2,5.229658408,5.067066684,-1.42143853,0.03815389
Ablim1,189.076889,186.3490263,-0.201630511,0.020854649
Abr,16.6483337,16.35608074,-2.229777099,0.024090773
Abracl,831.8566771,708.068195,-15.92503906,0.232143863
Abraxas1,6.085773983,8.140595164,-4.78015253,-0.367362657
Abraxas2,8.84563078,10.28595996,-4.13583773,-0.196973593
Abt1,31.03723248,34.09618055,-3.556151039,-0.131564507
Abtb1,36.80721592,31.45124181,-0.644164679,0.220387928
Abtb2,18.87928816,17.00143127,-1.485829601,0.14315448
AC125149.3,3.475761236,2.426463374,-0.076053965,0.38541281
AC149090.1,13.45751141,12.50255752,-1.512466952,0.098586547
Acaa1a,81.50952274,72.2722206,-0.789017627,0.171294297
Acaa2,69.54577573,64.24521165,-0.045924031,0.112687671
Acaca,6.020957494,9.429297944,-5.706493627,-0.570902346
Acad11,2.775739696,2.125696201,-0.044457841,0.272581743
Acad8,8.171806007,6.987317376,-1.142036802,0.1994948
Acad9,7.601660206,9.088299112,-4.359481034,-0.22999591
Acadl,133.7795985,134.2074509,-0.893513329,-0.004572524
Acadm,25.57886746,19.30325944,-0.22289349,0.388568278
Acads,65.4776573,43.61404114,-5.614172821,0.575371708
Acadsb,2.842428926,1.704291335,-0.874753252,0.506767992
Acadvl,57.54502396,45.55466067,-0.560155745,0.330620948
Acap1,83.48719232,85.46009195,-1.271557199,-0.033301715
Acap2,19.31105549,17.56929175,-2.750005448,0.129346422
Acap3,9.263199596,9.230560912,-2.475365999,0.004595321
Acat1,47.43802294,49.10479192,-3.868700426,-0.048808606
Acat2,26.13501573,29.5651806,-5.170771747,-0.171733347
Acbd3,18.07261448,21.04575777,-5.246939078,-0.208998444
Acbd4,12.02784408,8.966753802,-0.240197136,0.386402762
Acbd5,14.55579774,12.24389883,-0.750140954,0.232124487
Acbd6,78.19062117,80.81453998,-1.100784703,-0.047027683
Accs,6.819993466,6.664366506,-3.022051708,0.02900085
Acd,43.44019411,45.5431027,-2.264857702,-0.06670227
Acer3,5.870746004,8.716204232,-6.051341161,-0.499926064
Acin1,112.3490718,117.5489357,-1.118619795,-0.064710134
Acly,58.25332949,65.30800354,-3.346810145,-0.162286795
Aco1,11.36601337,8.262103391,-0.037664147,0.416968704
Aco2,71.67793385,76.61044743,-2.897240767,-0.094733466
Acot11,3.675648774,3.777627419,-1.100435042,-0.031127789
Acot13,45.2175264,32.94875876,-0.953533151,0.44508122
Acot2,5.430886872,4.165083521,-0.142961909,0.316226033
Acot7,120.9703774,142.4867424,-6.088443227,-0.234386638
Acot8,45.77461498,41.24592841,-0.29577371,0.146913475
Acot9,50.98673539,38.85943761,-0.451367414,0.383222206
Acox1,6.669210445,6.126640289,-0.943634288,0.105855951
Acox3,11.08377774,9.102565592,-0.489349957,0.258349835
Acoxl,9.843334341,6.647769975,-0.020174807,0.503697419
Acp1,87.58483785,98.23173841,-3.041611182,-0.163741839
Acp2,4.494869588,3.118305766,-0.136767743,0.416034294
Acp5,196.1873387,151.7679433,-6.920525087,0.368225079
Acp6,9.568968355,8.91084975,-1.207485323,0.092753897
Acrbp,1.711372388,1.668919404,-0.427911372,0.022767531
Acsbg1,29.08119246,25.08076766,-0.457158738,0.205875424
Acsf2,10.45728209,11.31809792,-2.881575427,-0.104514654
Acsf3,5.379676092,5.292998616,-2.244094905,0.019735552
Acsl1,3.831972607,3.302006706,-1.928037772,0.167602502
Acsl4,19.46552374,18.20144204,-1.714583054,0.091980925
Acsl5,89.50462108,80.12876276,-0.193880299,0.15777797
Acss1,6.750249524,5.290651641,-0.450005767,0.301033288
Acss2,18.45060919,11.45452479,-0.615054967,0.643145364
Actb,10156.96832,9489.670986,-5.994980419,0.098029886
Actg1,8527.634841,7022.349341,-45.74018132,0.280155635
Actl6a,86.74455266,119.8007013,-18.32610485,-0.461247362
Actn1,37.53859498,32.59654535,-1.414630224,0.197991084
Actn2,78.19122022,35.88025409,-9.093254707,1.102491895
Actn4,75.52689241,127.0090889,-38.97191029,-0.742207527
Actr10,107.0415818,91.77837632,-0.6391181,0.219726164
Actr1a,50.79117533,51.74787866,-1.440811655,-0.026406776
Actr1b,54.74798975,64.54734738,-5.7497085,-0.233617615
Actr2,205.1161598,196.9208573,-0.137408925,0.058533964
Actr3,986.2765546,893.6126983,-7.386738199,0.142191031
Actr5,17.37677428,18.67203198,-3.275032559,-0.098262436
Actr6,7.302296514,8.126408521,-2.723790984,-0.136536776
Actr8,14.3082812,16.24871914,-3.917433801,-0.172176926
Acy1,9.346913665,7.476001376,-0.262240975,0.28774477
Acyp1,36.51234479,30.19878073,-0.10812654,0.265875796
Acyp2,3.927623034,3.727817456,-1.195729649,0.05971756
Ada,17.6634281,21.44031617,-6.667468044,-0.265878998
Adal,4.417014045,5.097725402,-2.42174461,-0.170773352
Adam10,26.90664071,28.05103879,-3.340507254,-0.057981283
Adam17,14.65369222,17.05010749,-5.424085962,-0.205504445
Adam19,77.92380976,82.67525287,-1.608900462,-0.084340407
Adam8,7.485258197,6.203475546,-0.257594678,0.236265411
Adam9,2.253367447,3.555427437,-4.006404214,-0.485652654
Adamts10,11.23937427,13.13361442,-3.355566718,-0.207600653
Adamts14,2.101921243,2.279659252,-1.070714361,-0.080383873
Adap1,23.46307485,29.34517841,-6.519634118,-0.31086155
Adar,18.14095883,16.52077956,-1.923149094,0.127596134
Adarb1,1.609854196,1.972317616,-1.399860883,-0.187619077
Adat1,2.392374845,2.040148811,-0.009398343,0.158153648
Adat2,9.273792548,13.71850507,-8.783833637,-0.5186623
Adat3,8.584321012,8.590253105,-1.872516872,-0.000892661
Adck1,6.374434498,6.170874225,-2.161752527,0.040383408
Adck2,10.42584587,9.657655549,-1.090985876,0.100410862
Adck5,6.173988661,5.032534925,-0.405178219,0.250011102
Adcy3,6.051032516,9.21091901,-8.033808949,-0.53420628
Adcy7,24.21578724,22.36038355,-1.184340503,0.110263305
Add1,61.71445659,64.29445776,-2.354589574,-0.058162496
Add3,51.06308962,47.00579353,-0.528155753,0.117052403
Adgre5,62.17189668,56.28111649,-0.271109447,0.141223275
Adgrg1,1.552301237,1.724915684,-0.936646716,-0.094412976
Adgrg5,30.67467299,29.1918245,-1.298169888,0.069171783
Adgrl1,4.698018021,7.471036564,-7.231980131,-0.572078332
Adh5,82.56579465,82.13432088,-0.953901503,0.007468339
Adi1,10.88622488,10.43221211,-1.533789978,0.056185992
Adipor1,82.36871973,80.65578393,-0.623995959,0.0299511
Adipor2,19.32923239,23.56526434,-7.268323613,-0.273064022
Adk,14.25642509,22.15801614,-11.62819235,-0.602094721
Adnp2,3.825284328,4.375963334,-2.272957998,-0.155909343
Ado,16.70019413,18.28575156,-4.720181185,-0.123770185
Adora2a,37.34402472,28.36799596,-0.371970289,0.384756954
Adpgk,7.95210794,9.916276149,-4.643381463,-0.286181459
Adprh,91.98113167,100.5983789,-2.654448218,-0.127867493
Adprhl2,24.14788416,29.97898762,-7.705341937,-0.300852975
Adprm,23.9828625,18.3757683,-0.23089521,0.36668527
Adrb1,1.25226781,1.252204012,-0.209484325,4.08665E-05
Adrb2,9.859458534,10.14133067,-2.794717259,-0.036969382
