gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
GAS2L1,-1.881763633,2.388043816,-5.261760897,6.75E-07,0.000169528,5.745503958
CLNK,2.277305395,2.655515571,5.248096372,7.17E-07,0.000176369,5.689863818
CKS2,-2.023487992,6.04347466,-5.160199919,1.05E-06,0.000253439,5.334029561
SFTPB,-4.828333191,4.119315801,-5.128198635,1.21E-06,0.000285435,5.205378149
UBB,-1.474627034,8.431814929,-5.119666653,1.25E-06,0.000290546,5.171160072
MAP7,1.717044637,2.14394813,5.102477066,1.35E-06,0.000307076,5.102325711
RGS16,-2.521858119,5.349247745,-5.097017295,1.38E-06,0.000308656,5.080492105
NUPR1,-3.138967583,3.499911015,-5.08721635,1.44E-06,0.000316185,5.041334102
SPIRE1,-1.791494262,2.426214819,-5.056382049,1.64E-06,0.000345261,4.918443275
SUSD4,2.36282529,3.369657385,5.054817746,1.65E-06,0.000345261,4.912220987
FAM19A2,1.77688012,2.852294117,5.054524046,1.66E-06,0.000345261,4.911052877
CD63,-2.09731355,7.855385564,-5.033537295,1.81E-06,0.000371369,4.827692649
BAG3,-2.739027099,7.544831245,-5.017792988,1.94E-06,0.000390654,4.765296929
GLUL,-2.355563961,8.807803063,-4.993963884,2.14E-06,0.000425375,4.671092338
LMO7,2.295780292,3.984234197,4.919974298,2.93E-06,0.00056541,4.38038312
FCGR2A,-3.399030611,4.312217111,-4.919209182,2.94E-06,0.00056541,4.37739126
FTL,-1.924615812,12.82273566,-4.914693507,3.00E-06,0.000567401,4.3597395
PMCH,1.105220874,1.807367458,4.899118233,3.20E-06,0.000596645,4.298934889
ZFAND2A,-2.636353284,7.410990561,-4.882376294,3.44E-06,0.000630542,4.23371292
TNFSF11,1.250271665,1.930005427,4.872994309,3.57E-06,0.000646192,4.197225686
YWHAH,-1.736172508,7.596187012,-4.856165587,3.83E-06,0.000674217,4.131890249
PGLYRP2,-1.384817187,2.228000662,-4.855925501,3.84E-06,0.000674217,4.130959195
CXCL2,-3.498446199,4.108639232,-4.833883615,4.21E-06,0.000728805,4.045606874
CDCA7L,2.295700642,3.779482643,4.826874042,4.33E-06,0.000739991,4.018516328
CDK14,1.896043121,2.500771773,4.818604856,4.48E-06,0.000755425,3.986590298
TYROBP,-2.986804948,4.628451656,-4.804041073,4.76E-06,0.000791745,3.930448008
ALDH2,-3.364113022,4.14980927,-4.795638447,4.93E-06,0.000808928,3.898106672
DNAH8,1.658655262,2.17805466,4.783798017,5.18E-06,0.000836661,3.852595866
GPNMB,-3.809863006,4.5284953,-4.781163162,5.24E-06,0.000836661,3.842478294
HSP90AB1,-2.200471795,11.92780152,-4.767197862,5.55E-06,0.000865206,3.78891368
MSC,-2.486207909,3.715317603,-4.766863527,5.56E-06,0.000865206,3.787632576
FPR1,-3.023591684,3.849090205,-4.739071968,6.23E-06,0.000958267,3.681346605
RGS9,-2.361329481,3.27792197,-4.725338727,6.60E-06,0.0010015,3.628975869
PLIN2,-2.368540154,9.111810908,-4.719560833,6.75E-06,0.001013075,3.606972187
HSPE1,-2.213968588,6.845284614,-4.708024668,7.08E-06,0.001033552,3.563092664
C5AR1,-2.830714117,3.640772626,-4.707895723,7.09E-06,0.001033552,3.562602604
COCH,1.118548045,1.891546325,4.705941176,7.14E-06,0.001033552,3.555175351
CXCL3,-3.074190574,3.532076373,-4.682451421,7.87E-06,0.001111835,3.466074313
TUBA3D,1.258402999,1.960431032,4.682448959,7.87E-06,0.001111835,3.46606499
OSM,-2.574617752,5.456866382,-4.672533946,8.19E-06,0.00114468,3.42854428
CLEC7A,-2.1052563,2.816996667,-4.666146838,8.41E-06,0.001158681,3.404401987
PCBP1,-1.148811987,5.056520359,-4.664054782,8.48E-06,0.001158681,3.396499114
TOX2,2.585719297,3.529409618,4.661188357,8.58E-06,0.001159433,3.385674842
MARCO,-3.647918046,5.16042505,-4.638826767,9.40E-06,0.001256228,3.301384863
VAMP8,-1.348262566,7.20686873,-4.634348009,9.57E-06,0.001265565,3.284535162
SFTPC,-4.742814211,3.838171362,-4.621407215,1.01E-05,0.001306356,3.235911397
FOSB,2.061001915,7.967698407,4.621302283,1.01E-05,0.001306356,3.235517495
CACYBP,-1.696586513,8.551083634,-4.608338337,1.06E-05,0.001362536,3.186899003
MCEMP1,-2.470316813,2.866472972,-4.583200716,1.18E-05,0.001490588,3.092887904
FCER1G,-3.010229344,5.12354515,-4.57752061,1.20E-05,0.001490588,3.071693206
MS4A7,-2.863183482,3.895304901,-4.577188894,1.21E-05,0.001490588,3.070455993
ANAPC2,1.84825678,3.844514163,4.57484523,1.22E-05,0.001490588,3.061716476
APOBEC3G,-1.682458469,6.884404874,-4.573562226,1.22E-05,0.001490588,3.056933437
APOE,-4.206179853,5.957293323,-4.565154147,1.27E-05,0.001526859,3.025610622
ZNF689,2.828977678,4.470291718,4.558265999,1.30E-05,0.001554565,2.999979155
ECH1,-0.962665637,7.476782645,-4.521755439,1.51E-05,0.001782709,2.864559576
LYZ,-2.842245779,4.141238646,-4.488082686,1.72E-05,0.002020053,2.740325604
ISG15,-1.287765795,6.797501264,-4.464900433,1.89E-05,0.002177049,2.655166743
EXOC8,1.775560177,3.354558747,4.464538191,1.89E-05,0.002177049,2.653838477
LRIG1,2.176259702,5.527307431,4.455365604,1.96E-05,0.002224939,2.620229287
LCP1,-1.071764136,11.00561053,-4.453699611,1.98E-05,0.002224939,2.614130059
CDK5R1,2.234779225,3.826907328,4.450784333,2.00E-05,0.002224939,2.603460975
SELL,2.571604045,9.247928644,4.443103041,2.06E-05,0.002224939,2.575372784
CAP1,-0.918873311,9.503234364,-4.441287895,2.08E-05,0.002224939,2.568740244
CEP112,-1.652682638,2.526252894,-4.440300498,2.09E-05,0.002224939,2.565133087
MANSC4,0.823075217,1.721529784,4.43941453,2.09E-05,0.002224939,2.561896938
IL10,-3.174842609,4.323289061,-4.438309447,2.10E-05,0.002224939,2.557861068
CRY2,2.806709103,5.81489099,4.437120238,2.11E-05,0.002224939,2.553518738
SAMD3,-2.350371887,5.068993224,-4.436524421,2.12E-05,0.002224939,2.551343446
CTSD,-2.392725049,6.354895769,-4.416621125,2.29E-05,0.002374037,2.478794334
SLCO2B1,-3.065658059,3.844531365,-4.415825659,2.30E-05,0.002374037,2.475899509
CMTM8,2.176928204,3.290014237,4.412436354,2.33E-05,0.002385949,2.463569357
TREM1,-2.808477513,3.240535987,-4.406355876,2.38E-05,0.002406509,2.441465352
XCL2,-1.620049065,3.703799479,-4.405792789,2.39E-05,0.002406509,2.43941947
COL5A1,-1.187301069,1.949234549,-4.403326832,2.41E-05,0.002406509,2.430461974
FCGR3A,-3.322851409,5.199353325,-4.401941321,2.43E-05,0.002406509,2.425430691
SERPINE1,-2.841847354,3.323529961,-4.399324382,2.45E-05,0.002411988,2.415930665
GLIPR2,-2.049475818,6.47580753,-4.387949894,2.56E-05,0.002502357,2.374684769
GNA15,-2.576654139,4.142458554,-4.383660807,2.61E-05,0.002524855,2.359151158
HCK,-3.141168673,4.34738624,-4.376604512,2.68E-05,0.002575511,2.333618791
FAM43A,2.413560639,4.348927523,4.36453673,2.81E-05,0.002679384,2.290019749
SH3BGRL3,-1.272293833,9.398110124,-4.349034716,2.99E-05,0.002825065,2.234137387
CDKN2D,-1.13744003,7.136104467,-4.320555581,3.34E-05,0.00313109,2.131839633
CPNE2,2.363724895,4.92773043,4.318751712,3.36E-05,0.00313109,2.125376072
S100A11,-1.748597466,6.934888095,-4.314372323,3.42E-05,0.003160949,2.10969194
DUSP5,-2.034251232,6.949653573,-4.309546749,3.48E-05,0.003188282,2.0924229
FAR2,-1.979583866,3.283800982,-4.308318318,3.50E-05,0.003188282,2.088028962
APOC1,-2.010443902,2.89661246,-4.305993875,3.53E-05,0.003193549,2.07971716
SPARC,-2.857590292,3.23923065,-4.300987397,3.60E-05,0.003232473,2.061825664
RAB31,-2.703958107,3.935045344,-4.297583973,3.65E-05,0.003251714,2.049671384
SOCS2,-2.220000889,4.337589146,-4.273283236,4.01E-05,0.003499856,1.963087516
MSR1,-2.030978168,2.531290483,-4.272349708,4.02E-05,0.003499856,1.959768313
DDIT4,-1.446790049,8.397512169,-4.271351999,4.04E-05,0.003499856,1.956221479
IL17A,-2.677961801,2.721028636,-4.269994076,4.06E-05,0.003499856,1.951395047
CXCL8,-3.389303742,4.394939623,-4.269396503,4.07E-05,0.003499856,1.949271454
HIST1H2AI,-1.774218291,3.262416501,-4.259777369,4.22E-05,0.003587659,1.91511714
JAKMIP2,-2.371403952,3.54001042,-4.259380555,4.23E-05,0.003587659,1.913709368
QPCT,-2.434861876,3.187170808,-4.253339385,4.33E-05,0.003628481,1.892288748
IFNG,-2.655037246,5.442989551,-4.252893451,4.34E-05,0.003628481,1.890708431
CDO1,2.948620721,3.329079163,4.249479808,4.39E-05,0.003651679,1.878614941
QSOX2,1.307424167,2.860122449,4.23715032,4.61E-05,0.003779178,1.834993246
MAGI1,0.885520007,1.812405331,4.237073831,4.61E-05,0.003779178,1.83472291
CLU,-2.693371706,4.24161305,-4.23204635,4.70E-05,0.003798785,1.81696199
MAL,1.91373271,5.560117332,4.231288986,4.71E-05,0.003798785,1.81428771
NEK3,1.820906191,3.177590635,4.230574174,4.73E-05,0.003798785,1.811763997
BTBD11,2.318150366,4.441971385,4.228068623,4.77E-05,0.003810607,1.802920327
S100A9,-2.632031534,4.452886411,-4.215654203,5.00E-05,0.003970676,1.759157506
SERPING1,-3.151375528,3.913908849,-4.20704857,5.17E-05,0.004077415,1.728875582
STAM,2.309822317,4.90381162,4.192589223,5.47E-05,0.004281707,1.678095733
CCDC107,-1.154636351,3.628910204,-4.176359172,5.82E-05,0.004526297,1.621247746
HLA-DRB5,-2.365815644,6.14285296,-4.162509024,6.13E-05,0.004695935,1.572861925
UBBP4,-0.928286487,3.293979191,-4.162168174,6.14E-05,0.004695935,1.571672627
MYL12B,-1.010922832,8.881657187,-4.161746006,6.15E-05,0.004695935,1.570199687
CD52,-1.16615084,8.508751671,-4.145804407,6.53E-05,0.00495808,1.514659132
ID2,-1.190935793,9.781544413,-4.143135275,6.60E-05,0.00497777,1.505375013
CXCL5,-1.923041631,2.166051197,-4.140803685,6.66E-05,0.004991318,1.497268538
IFITM3,-1.880783338,5.608629316,-4.121569857,7.16E-05,0.005335454,1.430523189
CTSH,-2.257102402,6.430853704,-4.118048048,7.25E-05,0.005348985,1.418326343
IL1B,-2.730382161,3.270800398,-4.116904409,7.29E-05,0.005348985,1.414367292
S100A8,-2.467551547,4.016103325,-4.116126073,7.31E-05,0.005348985,1.41167331
MGST1,-2.564425019,3.114726159,-4.113257541,7.39E-05,0.005375193,1.401747929
RGS2,-1.590092853,9.898625102,-4.099596072,7.78E-05,0.005567902,1.35454747
PLAU,-1.969741314,2.65926321,-4.099538099,7.78E-05,0.005567902,1.354347417
GZMH,-3.064013517,4.60078727,-4.097978927,7.82E-05,0.005567902,1.348967835
LDLRAD3,-1.761704629,2.240641382,-4.097698005,7.83E-05,0.005567902,1.347998732
MTBP,1.480730093,2.884228235,4.092492446,7.99E-05,0.005645354,1.33004985
NKG7,-2.381819672,5.297488037,-4.0849587,8.22E-05,0.00577425,1.304102967
FGFR2,0.969083754,1.805415839,4.079782175,8.38E-05,0.005854087,1.286294901
MATK,-1.994376604,5.608717409,-4.069625115,8.70E-05,0.006046935,1.251401255
PTCD3,1.933024702,7.196105837,4.065827176,8.83E-05,0.006099091,1.238370225
SOX6,1.248480149,3.101121768,4.060945591,8.99E-05,0.006176826,1.22163428
ALOX15B,-1.993059247,2.328929309,-4.041302994,9.67E-05,0.006587371,1.154441858
CCDC85B,-1.294842295,6.905697085,-4.040738986,9.70E-05,0.006587371,1.152516082
IKZF4,1.361996669,2.708477,4.038500677,9.78E-05,0.006606067,1.144875446
SLC11A1,-2.867872228,4.181297658,-4.0358927,9.87E-05,0.006634126,1.135976873
VSIG10L,-1.295508471,2.070873815,-4.032805631,9.99E-05,0.006654308,1.125449105
TPM4,-1.279252095,7.885972875,-4.031807898,0.000100232,0.006654308,1.122047832
DAPK2,-2.078127208,4.086543763,-4.03071047,0.000100642,0.006654308,1.118307419
MAGEF1,1.902043474,4.191369254,4.027593856,0.000101817,0.006695935,1.10768903
DFNA5,1.749093064,2.345974667,4.024490394,0.000102999,0.006708451,1.097121497
SRSF5,1.035831638,10.11772011,4.024231545,0.000103098,0.006708451,1.096240368
DBNDD1,1.763170355,2.804223468,4.019069445,0.000105095,0.006802414,1.078677219
PEX12,1.508259006,2.926294879,4.014356104,0.000106951,0.006886292,1.062655503
XCL1,-1.989668804,3.765382101,-4.006467878,0.000110127,0.007053869,1.035872859
LAPTM5,-0.975720405,10.03068523,-3.996274582,0.000114365,0.007287368,1.001321881
C1QB,-3.417358854,5.962160723,-3.976953558,0.000122829,0.007786375,0.936011685
RHOA,-0.844028471,9.51401904,-3.974841676,0.00012379,0.00780703,0.928887277
RAB4A,-1.523920733,4.994254829,-3.967208309,0.000127323,0.007988843,0.903159781
CDKN1A,-2.242328936,7.934801042,-3.959245775,0.00013111,0.008184716,0.876362266
TXN,-1.424510586,6.788687131,-3.953570471,0.000133875,0.008278915,0.857286907
SFTPA1,-3.84342596,3.340308216,-3.952302541,0.0001345,0.008278915,0.853028046
NBPF9,1.617156091,4.078372776,3.952022374,0.000134638,0.008278915,0.85208713
SPATA2,1.977435555,4.688452018,3.945883601,0.000137708,0.008425549,0.831483127
FGFR1,2.30594221,4.505712075,3.940414531,0.000140499,0.008553761,0.813147136
SON,0.695582588,8.141173328,3.932502222,0.000144633,0.008762045,0.786653559
PRAM1,-1.713861919,2.531257013,-3.923299142,0.000149587,0.009017739,0.755888315
STAT2,2.201607357,6.352476156,3.921167512,0.000150757,0.009043957,0.748770164
ST6GALNAC3,1.831834638,2.818969806,3.916068515,0.000153592,0.0091693,0.731754897
ZKSCAN2,1.736562376,2.743917434,3.914556654,0.000154442,0.009175521,0.726713048
GEMIN4,2.039021713,4.348047891,3.909123997,0.000157535,0.009314259,0.708607991
ANKDD1B,0.907522342,1.893559746,3.896595412,0.000164894,0.009702698,0.666927126
PTPLA,1.621002127,2.913402549,3.88783683,0.000170232,0.009969085,0.637848577
C9orf142,-1.174890395,7.03867741,-3.870605182,0.000181218,0.010515668,0.580783989
PPARG,-2.374268522,3.095334378,-3.870517462,0.000181275,0.010515668,0.580493985
CYP27A1,-2.810341964,3.789705417,-3.865727698,0.000184448,0.010649475,0.564666529
PPP3CA,-1.308884219,4.302877673,-3.863256153,0.000186105,0.010668404,0.556505293
CAPNS1,-0.940970281,5.578595181,-3.862655319,0.000186511,0.010668404,0.55452189
IL6ST,1.740892226,7.264089011,3.856532239,0.000190687,0.010854663,0.534322455
KDM2A,1.623797424,5.78590854,3.85530937,0.000191532,0.010854663,0.530291248
CA2,-2.102386741,2.868607717,-3.839970507,0.000202436,0.011419967,0.479809052
PLXDC2,-2.244299629,3.137975913,-3.834721829,0.0002063,0.011584849,0.462570165
ZNF460,1.924042849,4.213746269,3.823302608,0.000214953,0.012006318,0.425126718
LHFP,1.616991349,2.166868626,3.822261628,0.000215758,0.012006318,0.421717598
TIGIT,2.240397174,6.131630376,3.82047249,0.00021715,0.012029318,0.415859986
DRAP1,-1.061634579,6.368694992,-3.80813664,0.000226979,0.012517414,0.375529639
TPCN1,2.196563395,4.770794483,3.803870963,0.000230475,0.012641655,0.361606819
NR4A1,-2.40364169,8.486081827,-3.802888274,0.000231287,0.012641655,0.358401096
TNFSF14,-1.983211462,4.756279215,-3.799904113,0.000233772,0.012720914,0.348670072
CLEC12A,-1.749734897,2.334705334,-3.796740807,0.000236433,0.012762974,0.338361262
IL21R,1.705205099,5.943447922,3.796519516,0.00023662,0.012762974,0.337640349
GPX1,-1.445205098,7.147153011,-3.792426402,0.000240109,0.012894608,0.324311781
CLDN5,2.768756343,3.738900744,3.787141259,0.000244687,0.013083296,0.307117874
VEGFA,-2.226815026,3.811588837,-3.776751807,0.000253928,0.013518633,0.273372033
ZNF675,1.745153923,4.992482574,3.765896356,0.000263937,0.013990939,0.238188737
ACOXL,-1.007576045,1.836571919,-3.758205055,0.000271254,0.01431711,0.213307871
GPAM,1.780704384,3.083243159,3.751929492,0.000277367,0.014577184,0.193035872
ROGDI,-1.47995907,4.188155614,-3.74880613,0.000280458,0.014676903,0.182956192
ANKRD55,1.995444352,4.234423815,3.745404843,0.000283861,0.014792047,0.171986961
EMC10,1.131638395,3.959968208,3.740079868,0.000289268,0.015010183,0.15482924
TXK,1.685533768,7.416734835,3.735396659,0.000294103,0.015196983,0.139754957
ZBTB10,2.387123339,4.915000003,3.730782057,0.000298943,0.015303574,0.124915789
TBC1D8,2.045738781,3.758728566,3.730072569,0.000299694,0.015303574,0.12263555
F2R,-2.325652039,4.653913137,-3.729878662,0.000299899,0.015303574,0.122012404
CD74,-1.826773264,10.63666856,-3.724903981,0.000305217,0.015510591,0.106034228
ACTRT3,-1.438625976,2.441605321,-3.722276371,0.000308062,0.015590743,0.097601273
GPR19,1.324288126,2.515310188,3.719784748,0.000310783,0.015663988,0.089609006
CTB-133G6.1,1.585504384,4.170043615,3.708408181,0.000323499,0.016238343,0.053169637
DNAJA4,-1.991362164,6.316927908,-3.704362431,0.000328139,0.016404287,0.040231894
GSTP1,-1.1461012,7.559902743,-3.700749544,0.000332336,0.016546823,0.028687657
SDK1,0.953543311,2.001726538,3.698902143,0.000334501,0.016587487,0.02278805
TSHR,0.978598776,1.966739062,3.691692015,0.000343082,0.01694465,-0.000215317
LOXL1,-1.658551529,3.0621262,-3.681790647,0.000355205,0.017426954,-0.031747968
KIF9,1.516764206,3.846988491,3.68072963,0.000356528,0.017426954,-0.03512305
MROH1,2.165906737,5.688825367,3.680273568,0.000357098,0.017426954,-0.036573546
PFN1,-0.982186194,9.631943798,-3.675845504,0.000362678,0.01762932,-0.050649626
FAIM3,1.269053731,8.827794316,3.67213443,0.000367418,0.017735416,-0.062436336
GNLY,-3.012122687,5.804765728,-3.671553232,0.000368166,0.017735416,-0.064281431
SDC2,-2.198284013,2.804212017,-3.670555365,0.000369453,0.017735416,-0.067448776
MAP3K14,1.924840714,5.36874503,3.6696462,0.00037063,0.017735416,-0.070333981
MYO1F,-1.562646877,7.499143642,-3.66809016,0.000372651,0.017763034,-0.075270732
C1QA,-3.038102269,5.669568375,-3.666258347,0.000375044,0.017808086,-0.081080315
APP,1.724620395,3.705460904,3.655610195,0.000389246,0.018411356,-0.114805976
SIGLEC10,-2.036349737,3.137801964,-3.648455126,0.000399074,0.018765262,-0.13742499
CCDC65,-1.808457076,4.129873617,-3.647947335,0.00039978,0.018765262,-0.139028929
PGC,-2.891484163,2.727642444,-3.643860738,0.000405508,0.018891138,-0.151930748
ZNF540,1.590209549,3.257428894,3.643842011,0.000405534,0.018891138,-0.151989845
GPR25,-2.038715607,3.995651185,-3.641384555,0.000409016,0.018981428,-0.15974281
IL1RN,-2.510916067,3.105538558,-3.636067312,0.000416646,0.019256558,-0.176504016
SPI1,-2.20783985,3.661780396,-3.635081274,0.000418076,0.019256558,-0.17961013
ZNF597,1.765498858,3.19535774,3.628912736,0.000427126,0.019599999,-0.199026623
PLBD1,-2.28715844,3.438408655,-3.626523837,0.000430681,0.019689635,-0.206539129
MRPL18,-1.741427708,7.315680868,-3.619359417,0.000441509,0.02010992,-0.229046186
HBEGF,-2.209721706,3.979725521,-3.600423224,0.000471382,0.021327607,-0.28836581
CHST2,1.765061735,3.168534617,3.600220766,0.000471712,0.021327607,-0.288998708
PDK4,-3.012410511,4.190830546,-3.592998214,0.000483609,0.021785429,-0.311558555
C22orf29,1.615153896,3.856294095,3.591485313,0.000486137,0.021819375,-0.31627962
TGFB1,-1.195261113,6.734608,-3.586869945,0.000493925,0.022088346,-0.330672362
SERINC2,-1.234379977,2.17335773,-3.583299893,0.000500031,0.022280361,-0.341795333
HDAC9,1.915917838,3.146593578,3.580489106,0.000504888,0.022415565,-0.350546558
COMMD7,-0.791653697,7.165992528,-3.573188374,0.000517713,0.022896254,-0.373251625
FAM118A,1.5995689,6.819079117,3.572218907,0.000519439,0.022896254,-0.376263884
CASC1,0.782549723,2.118451279,3.5646929,0.000533023,0.023411137,-0.399626169
MB21D1,-1.679949,5.164753022,-3.562110872,0.000537761,0.023535155,-0.407632336
POLR1B,2.169398219,4.725169228,3.56052618,0.000540688,0.023579351,-0.412543757
SAP30,-1.574236124,5.075551192,-3.555803982,0.0005495,0.023878967,-0.427168966
ITGAM,-2.06495201,3.346193164,-3.552077143,0.00055655,0.024100177,-0.438700571
NLRP6,2.071616462,5.249225499,3.544409062,0.000571325,0.024653179,-0.462397017
ANKS1B,0.908389635,2.132684258,3.540916433,0.000578177,0.024861604,-0.473176716
RGS19,-1.342972734,6.124245953,-3.53164417,0.000596745,0.02557062,-0.5017538
TRIM16,1.416380828,2.890548755,3.529576837,0.000600961,0.025661856,-0.508117195
SLC7A1,1.56247193,3.591121534,3.526500092,0.000607287,0.025842271,-0.517582145
IWS1,1.748695892,5.835785272,3.523408689,0.000613707,0.025958764,-0.527085572
ZNF799,1.494047876,2.860401604,3.522820139,0.000614936,0.025958764,-0.528894109
ZCCHC14,1.314623508,2.889815128,3.52156227,0.000617572,0.025958764,-0.53275857
KYNU,-2.06106657,3.205250926,-3.520409615,0.000619996,0.025958764,-0.536298825
ARHGAP18,-1.823650971,4.739285519,-3.519218849,0.00062251,0.025958764,-0.539955164
HYKK,1.107894198,2.292148054,3.51822046,0.000624625,0.025958764,-0.543020037
MYEF2,1.337193498,3.160885624,3.517953098,0.000625192,0.025958764,-0.543840674
GALNT6,-2.104413897,4.693667222,-3.517144864,0.000626911,0.025958764,-0.546321147
FCGR1A,-1.388152255,2.229492416,-3.514150023,0.000633319,0.026065677,-0.555508369
TMEM55A,1.476820969,3.506522069,3.513957699,0.000633732,0.026065677,-0.556098147
ANK1,1.395312191,2.614398292,3.510482307,0.00064125,0.02628696,-0.566751266
POLR1C,1.601315033,5.5891629,3.506644782,0.000649648,0.026542764,-0.578504665
CYBA,-0.998496084,9.231167733,-3.497734391,0.00066955,0.027265313,-0.605755456
CSTA,-1.391025868,2.354690615,-3.495046067,0.000675666,0.027423577,-0.613966332
CD27,1.401170077,6.697538993,3.49202184,0.00068261,0.027542397,-0.623197118
YPEL1,-1.771695599,3.440588139,-3.491821139,0.000683073,0.027542397,-0.623809488
CPA5,1.618661552,3.17294418,3.487648899,0.000692769,0.027812814,-0.636533263
SFTPA2,-3.228496881,3.097871103,-3.486993904,0.000694303,0.027812814,-0.638529649
CD247,1.333615526,7.782615417,3.483430529,0.000702703,0.028057946,-0.649385347
ZNF441,1.801984504,3.138079938,3.481564538,0.000707141,0.028073994,-0.655066483
IST1,1.656068566,7.754735985,3.480734558,0.000709123,0.028073994,-0.657592632
DPY19L3,1.686587241,3.006352886,3.48038726,0.000709954,0.028073994,-0.658649534
VWDE,1.484744324,2.539625174,3.479020482,0.000713233,0.028113264,-0.662808109
FAM101B,-1.586831938,5.01896916,-3.473847037,0.000725774,0.028516206,-0.678537059
ANKRD42,2.04809133,4.375192431,3.471828702,0.000730723,0.02856212,-0.684668364
WRB,1.54864994,4.044122433,3.471477356,0.000731588,0.02856212,-0.685735393
RBM22,1.595998298,6.94246297,3.467955292,0.00074031,0.028811166,-0.69642703
GADD45B,-1.250632558,10.29877936,-3.464364601,0.000749302,0.029069138,-0.707318035
